"FilingID","Individual Name","Firm or Organization Name","CRD Number","Effective Date","Termination Date","Street 1","Street 2","City","State","Country","Postal Code","Private Residence?","Description"
1960431,"","KLUZ VENTURES, LLC",,05/22/2017,,"966 HUNGERFORD DRIVE","SUITE 3B","ROCKVILLE","MD","United States","20850","N","SOLE MEMBER."
1960431,"Wegner, Adam, William","",6906353,01/01/2018,,"866 HUNGERFORD DRIVE","SUITE 3B","ROCKVILLE","MD","United States","20850","N","CHIEF COMPLIANCE OFFICER"
1960431,"Kluz, Artur","",6916483,05/22/2017,,"966 HUNGERFORD DRIVE","SUITE 3B","ROCKVILLE","MD","United States","20850","N","MANAGER, KV MANAGEMENT,LLC"
1960431,"Scherrer, Daniel, Peter","",7571829,02/01/2022,,"553 DOUGLASS STREET","","SAN FRANCISCO","CA","United States","94114","N","CHIEF INVESTMENT OFFICER"
1941198,"Katra, Dany","",7893510,12/14/2023,,"CRAIGMUIR CHAMBERS","","ROAD TOWN, TORTOLA","","British Virgin Islands","VG1110","N","DIRECTOR"
1941198,"Graziola, Kerry","",7893513,12/14/2023,,"CRAIGMUIR CHAMBERS","","ROAD TOWN, TORTOLA","","British Virgin Islands","VG1110","N","DIRECTOR"
1955387,"BOLY, ADRIAN, MCGRAW","",7522188,01/01/2024,01/01/2025,"16150 SW UPPER BOONES FERRY RD","","PORTLAND","OR","United States","97224","N","CHIEF INVESTMENT OFFICER"
1945017,"","CITIC CAPITAL HOLDINGS LIMITED",,11/24/2014,,"28/F CITIC TOWER, 1 TIM MEI AVENUE","CENTRAL","HONG KONG","","Hong Kong","","N","TO THE BEST OF OUR KNOWLEDGE, THE ADVISER IS WHOLLY OWNED BY CITIC CAPITAL HOLDINGS LIMITED (""CCHL"").  CCHL DOES NOT HAVE ANY CONTROL PERSON (I.E. OWNER WITH OVER 25% INTEREST)"
1945021,"","CITIC CAPITAL HOLDINGS LIMITED",,11/24/2014,,"28/F CITIC TOWER, 1 TIM MEI AVENUE","CENTRAL","HONG KONG","","Hong Kong","","N","TO THE BEST OF OUR KNOWLEDGE, THE ADVISER IS WHOLLY OWNED BY CITIC CAPITAL HOLDINGS LIMITED (""CCHL"").  CCHL DOES NOT HAVE ANY CONTROL PERSON. (I.E. OWNER WITH OVER25% INTEREST)"
1945018,"","CITIC CAPITAL HOLDINGS LIMITED",,11/24/2014,,"28/F CITIC TOWER, 1 TIM MEI AVENUE","CENTRAL","HONG KONG","","Hong Kong","","N","TO THE BEST OF OUR KNOWLEDGE, THE ADVISER IS WHOLLY OWNED BY CITIC CAPITAL HOLDINGS LIMITED (""CCHL"").  CCHL DOES NOT HAVE ANY CONTROL PERSON (I.E. OWNER WITH OVER 25% INTEREST)"
1960328,"DUPONT, BENJAMIN, FRANKLIN","",5700212,02/26/2014,,"1105 N. MARKET STREET","SUITE 1800","WILMINGTON","DE","United States","19801","N","MANAGING PARTNER"
1960328,"STERN, PHILLIP, BAIRD","",5652488,02/26/2014,,"1105 N. MARKET STREET","SUITE 1800","WILMINGTON","DE","United States","19801","N","MANAGING PARTNER"
1961724,"KAMMERT, MARK, LAWRENCE","",1184869,04/23/2014,,"4021 WEST 108TH STREET","","HIALEAH","FL","United States","33018","N","50% OWNER OF SEVEN POINT MANAGEMENT, INC."
1961724,"BURCHILL, THOMAS, FRANCIS","",2524798,04/23/2014,,"4021 WEST 108TH STREET","","HIALEAH","FL","United States","33018","N","50% OWNER OF SEVEN POINT MANAGEMENT, INC."
1946715,"NOBILI, GIULIA","",2393432,10/31/2014,,"27 BOULEVARD DES MOULINS","","MONACO","","Monaco","98000","N","PRESIDENT AND SHAREHOLDER"
1948141,"GODWIN, TAYLOR","",7563404,12/07/2021,,"2 EAST JOPPA ROAD","APT. 860","TOWSON","MD","United States","21286","N","MANAGING MEMBER"
1948141,"CHANG, ERIC","",7563411,12/07/2021,,"2 EAST JOPPA ROAD","APT. 860","TOWSON","MD","United States","21286","N","PRINCIPAL"
1948141,"ROSS, DARREN, ADAM","",5313790,12/07/2021,,"2 EAST JOPPA ROAD","APT. 860","TOWSON","MD","United States","21286","N","PRINCIPAL AND COO"
1948024,"","THE PORTNOY FAMILY TRUST DATED JULY 12, 2006",,10/04/2012,,"1389 CENTER DR. STE 200","","PARK CITY","UT","United States","84098","N","MANAGING MEMBER"
1947904,"Gullapalli, Ravi","",7888475,02/21/2024,,"950 STATE HWY 114","SUITE 160","SOUTHLAKE","TX","United States","76092","N","MANAGEMENT CONROL"
1950600,"Yi, Yang","",7287918,12/30/2019,,"UNIT 1408-1409A, LEVEL 14, CHINA CENTRAL PLACE","TOWER 1, NO.81 JIANGUO ROAD, CHAOYANG DISTRICT","BEIJING","","China","","N","YI YANG IS A DIRECTOR AND A SHAREHOLDER OF THE COMPANY HOLDING 1/3 OF ALL THE COMPANY'S SHARES."
1950600,"Yao, Zhen","",7515253,08/12/2021,,"UNIT 1408-1409A, LEVEL 14, CHINA CENTRAL PLACE","TOWER 1, NO.81 JIANGUO ROAD, CHAOYANG DISTRICT","BEIJING","","China","","N","YAO ZHEN IS A DIRECTOR AND A SHAREHOLDER OF THE COMPANY HOLDING 1/3 OF ALL THE COMPANY'S SHARES."
1950600,"LI, HUI HUGH","",5220178,08/12/2021,,"UNIT 1408-1409A, LEVEL 14, CHINA CENTRAL PLACE","TOWER 1, NO.81 JIANGUO ROAD, CHAOYANG DISTRICT","BEIJING","","China","","N","LI HUI IS A DIRECTOR AND A SHAREHOLDER OF THE COMPANY HOLDING 1/3 OF ALL THE COMPANY'S SHARES."
1950581,"FLOSI, CHRISTOPHER, MARK","",6148431,10/15/2012,,"6 BATTERY ROAD","#35-05","SINGAPORE","","Singapore","049909","N","MR. FLOSI IS THE CHIEF COMPLIANCE OFFICER OF THE FIRM."
1950581,"WALUJO, SUGITO","",3278835,05/09/2006,,"6 BATTER ROAD","#35-05","SINGAPORE","","Singapore","049909","N","MR. WALUJO IS A DIRECTOR OF THE FIRM."
1936105,"O'Hara, Julie, Ann","",7948661,11/01/2023,,"WINDWARD 3","REGATTA OFFICE PARK","WEST BAY ROAD","","Cayman Islands","KY1 1204","N","DIRECTOR OF ASTARIS CAPITAL MANAGEMENT (CAYMAN) LIMITED"
1960852,"Aliev, Amir","",7422698,06/01/2019,,"","","","","","","Y","THE CONTROLLING MEMBER OF SYNTHESIS SUPERHOLDING LTD, A CAYMAN CORPORATION, WHICH IS THE SOLE MEMBER OF SYNTHESIS HOLDING LTD., A CAYMAN CORPORATION, WHICH IS IN TURN THE SOLE MEMBER OF SYNTHESIS INVESTMENT MANAGEMENT LLC."
1939220,"","ENDEAVOR GLOBAL, INC.",,05/30/2013,,"28 LIBERTY","53 FLOOR","NEW YORK","NY","United States","10005","N","ENDEAVOR GLOBAL, INC. IS A 501(C)(3) PUBLIC CHARITY AND THE SOLE MEMBER OF ENDEAVOR CATALYST, INC., WHICH IS A 501(C)(3) SUPPORTING ORGANIZATION OF ENDEAVOR GLOBAL, INC. THUS, ENDEAVOR GLOBAL, INC. HAS CONTROL OF ENDEAVOR CATALYST, INC. BUT DOES NOT HOLD ANY ECONOMIC INTEREST OR SECURITY. AS NOTED IN SCHEDULE A AND SCHEDULE D, ENDEAVOR CATALYST, INC. IS THE SOLE OWNER OF THE FILER AND THE RELYING ADVISERS."
1953597,"BARNARD, AUSTIN, W","",5977581,07/11/2019,,"1200 BRICKELL AVE","SUITE 1950, #1297","MIAMI","FL","United States","33131","N","MANAGER"
1953597,"Sekinger, Jeffrey, ronald","",6762761,07/11/2019,,"1200 BRICKELL AVE","SUITE 1950, #1297","MIAMI","FL","United States","33131","N","MANAGER"
1962200,"Attieh, Talal, Sami","",7275215,07/01/2023,,"","","","","","","Y","CO-FOUNDER AND 50% OWNER OF THE BUSINESS."
1962200,"Porter, Cameron, Bernard","",8004283,07/01/2023,,"160 W 16TH ST","APT 6L","NEW YORK","NY","United States","10011","N","CO-FOUNDER AND 50% OWNER OF THE BUSINESS."
1949024,"WHEELER, ADAM, HUGH","",6398699,12/27/2024,,"LEVEL 6, 33 CAVENDISH SQUARE","","LONDON","","United Kingdom","","N","INDIVIDUAL CONTROLLER THROUGH SHAREHOLDING & DIRECTORSHIP"
1950581,"SUGITA, GLENN, TIMOTHY","",6047810,05/09/2006,,"6 BATTERY ROAD","#35-05","SINGAPORE","","Singapore","049909","N","MR. SUGITA IS A DIRECTOR OF THE FIRM."
1950581,"WONG, CHEE-YANN","",6759035,02/11/2022,,"6 BATTERY ROAD","# 35-05","SINGAPORE","","Singapore","049909","N","MR WONG IS THE CEO AND A DIRECTOR OF THE FIRM."
1950581,"SUA, FONG CHA","",7229721,04/30/2019,,"6 BATTERY ROAD","#35-05","SINGAPORE","","Singapore","049909","N","MR SUA FONG CHA IS A DIRECTOR OF THE FIRM"
1949024,"Weightman, Paul, Louis","",8056919,12/22/2023,,"LEVEL 6, 33 CAVENDISH SQUARE","","LONDON","","United Kingdom","","N","INDIVIDUAL CONTROLLER THROUGH SHAREHOLDING"
1949024,"","NOMURA INC",,12/22/2023,,"2-2-1 TOYOSU","","TOKYO","","Japan","","N","CORPORATE CONTROLLER"
1949024,"Samonigg, Volker","",8058020,12/27/2024,,"LEVEL 6, 33 CAVENDISH SQUARE","","LONDON","","United Kingdom","","N","CONTROLLER BY DIRECTORSHIP"
1949024,"Wilton, Mark, Andrew","",8058024,12/27/2024,,"LEVEL 6, 33 CAVENDISH SQUARE","","LONDON","","United Kingdom","","N","CONTROLLER BY DIRECTORSHIP"
1949024,"Foucault, Alice","",8058027,12/27/2024,,"LEVEL 6, 33 CAVENDISH SQUARE","","LONDON","","United Kingdom","","N","CONTROLLER BY DIRECTORSHIP"
1949024,"Munro, Anthony, William","",7793035,12/27/2024,,"LEVEL 6, 33 CAVENDISH SQUARE","","LONDON","","United Kingdom","","N","CONTROL BY DIRECTORSHIP"
1949024,"Ball, Elizabeth, Mary Louise","",8058025,12/27/2024,,"LEVEL 6, 33 CAVENDISH SQUARE","","LONDON","","United Kingdom","","N","CONTROL BY DIRECTORSHIP"
