"FilingID","Initial/Amended","11.C(1)","11.C(2)","11.C(3)","11.C(4)","11.C(5)","11.D(1)","11.D(2)","11.D(3)","11.D(4)","11.D(5)","11.E(1)","11.E(2)","11.E(3)","11.E(4)","11.F.","11.G.","Filed Against","ReferenceID","Remove-Affiliate","Remove-Expired","Remove-Filed in Error","Error Explantion","Affiliate Submitted","Initiator Type","Initiated By","Principal Sanction","Other Sanctions","Date Initiated","Date Initiated Exact","Date Initiated Explanation","Case Number","Employing Firm","Principal Product","Other Product","Allegations","Status","Appeal Details","Resolution","Resolution Date","Resolution Date Exact","Resolution Date Explanation","Monetary Sanction","Monetary Amount","Revocation/Expulsion/Denial","Censure","Bar","Disgorgement/Restitution","Cease and Desist/Injunction","Suspension","Other Sanctions Ordered","Sanction Detail","Summary"
1920690,"AMENDED","","Y","","Y","Y","","","","","","","","","","","","Affiliates","1682859","","","","","Y","SEC","U.S. SECURITIES AND EXCHANGE COMMISSION","Civil and Administrative Penalt(ies) /Fine(s)","CEASE AND DESIST CENSURE","07/10/2018","Y","","3-18584","","Other","VENTURE CAPITAL FUNDS","ON JULY 10, 2018, THE SECURITIES AND EXCHANGE COMMISSION (""SEC""), ACTING PURSUANT TO AN OFFER BY THE REGISTRANT WHICH CONSENTED, WITHOUT ADMITTING OR DENYING THE FACTUAL ALLEGATIONS AND FINDINGS, TO THE ENTRY OF AN ORDER MAKING CERTAIN FINDINGS AND IMPOSING CERTAIN REMEDIES, INSTITUTED ADMINISTRATIVE PROCEEDINGS AGAINST THE REGISTRANT, FINDING THAT THE REGISTRANT HAD VIOLATED SECTION 206(4) OF THE INVESTMENT ADVISERS ACT OF 1940 (THE ""ADVISERS ACT"") AND RULE 206(4)-5 THEREUNDER WHEN THE REGISTRANT PROVIDED INVESTMENT ADVISORY SERVICES FOR COMPENSATION TO CERTAIN GOVERNMENT ENTITIES IN TEXAS, WISCONSIN, AND INDIANA WITHIN TWO YEARS AFTER COVERED ASSOCIATES OF THE REGISTRANT MADE CAMPAIGN CONTRIBUTIONS TO CANDIDATES FOR ELECTIVE OFFICES WHO WERE ""OFFICIALS"" OF THE GOVERNMENT ENTITIES AS DEFINED IN THE RULE.  THE SEC NOTED THAT ADVISERS ACT RULE 206(4)-5 DOES NOT REQUIRE A SHOWING OF QUID PRO QUO OR ACTUAL INTENT TO INFLUENCE AN ELECTED CANDIDATE.","Final","","Order","07/10/2018","Y","","Y","500000","N","Y","N","N","Y","N","","WITHOUT ADMITTING TO ANY FACTUAL ALLEGATIONS OR FINDINGS, THE REGISTRANT CONSENTED TO THE ISSUANCE OF AN ORDER AND PAID A CIVIL PENALTY OF $500,000.","THE ACTION WAS RESOLVED PURSUANT TO COMMISSION ORDER: IN THE MATTER OF ENCAP INVESTMENTS L.P., ADMINISTRATIVE PROCEEDING FILE NO. 3-18584 (""ORDER"").  PURSUANT TO THE ORDER, THE REGISTRANT WAS ORDERED TO CEASE AND DESIST FROM COMMITTING OR CAUSING ANY VIOLATIONS AND ANY FUTURE VIOLATIONS OF SECTION 206(4) OF THE ADVISERS ACT AND RULE 206(4)-5 THEREUNDER.  ADDITIONALLY, PURSUANT TO THE ORDER, THE REGISTRANT WAS CENSURED AND WAS ALSO ORDERED TO, WITHIN 10 DAYS OF THE ENTRY OF THE ORDER, PAY A CIVIL MONETARY PENALTY OF $500,000 TO THE SEC.  THE REGISTRANT PAID THE CIVIL PENALTY ON JULY 10, 2018."
1920960,"AMENDED","","Y","","Y","Y","","","","","","","","","","","","Advisory Firm","1683063","","","","","Y","SEC","U.S. SECURITIES AND EXCHANGE COMMISSION","Civil and Administrative Penalt(ies) /Fine(s)","CEASE AND DESIST  CENSURE","07/10/2018","Y","","3-18584","","Other","VENTURE CAPITAL FUNDS","ON JULY 10, 2018, THE SECURITIES AND EXCHANGE COMMISSION (""SEC""), ACTING PURSUANT TO AN OFFER BY THE REGISTRANT WHICH CONSENTED, WITHOUT ADMITTING OR DENYING THE FACTUAL ALLEGATIONS AND FINDINGS, TO THE ENTRY OF AN ORDER MAKING CERTAIN FINDINGS AND IMPOSING CERTAIN REMEDIES, INSTITUTED ADMINISTRATIVE PROCEEDINGS AGAINST THE REGISTRANT, FINDING THAT THE REGISTRANT HAD VIOLATED SECTION 206(4) OF THE INVESTMENT ADVISERS ACT OF 1940 (THE ""ADVISERS ACT"") AND RULE 206(4)-5 THEREUNDER WHEN THE REGISTRANT PROVIDED INVESTMENT ADVISORY SERVICES FOR COMPENSATION TO CERTAIN GOVERNMENT ENTITIES IN TEXAS, WISCONSIN, AND INDIANA WITHIN TWO YEARS AFTER COVERED ASSOCIATES OF THE REGISTRANT MADE CAMPAIGN CONTRIBUTIONS TO CANDIDATES FOR ELECTIVE OFFICES WHO WERE ""OFFICIALS"" OF THE GOVERNMENT ENTITIES AS DEFINED IN THE RULE.  THE SEC NOTED THAT ADVISERS ACT RULE 206(4)-5 DOES NOT REQUIRE A SHOWING OF QUID PRO QUO OR ACTUAL INTENT TO INFLUENCE AN ELECTED CANDIDATE.","Final","","Order","07/10/2018","Y","","Y","500000","N","Y","N","N","Y","N","","WITHOUT ADMITTING TO ANY FACTUAL ALLEGATIONS OR FINDINGS, THE REGISTRANT CONSENTED TO THE ISSUANCE OF AN ORDER AND PAID A CIVIL PENALTY OF $500,000.","THE ACTION WAS RESOLVED PURSUANT TO COMMISSION ORDER: IN THE MATTER OF ENCAP INVESTMENTS L.P., ADMINISTRATIVE PROCEEDING FILE NO. 3-18584 (""ORDER"").  PURSUANT TO THE ORDER, THE REGISTRANT WAS ORDERED TO CEASE AND DESIST FROM COMMITTING OR CAUSING ANY VIOLATIONS AND ANY FUTURE VIOLATIONS OF SECTION 206(4) OF THE ADVISERS ACT AND RULE 206(4)-5 THEREUNDER.  ADDITIONALLY, PURSUANT TO THE ORDER, THE REGISTRANT WAS CENSURED AND WAS ALSO ORDERED TO, WITHIN 10 DAYS OF THE ENTRY OF THE ORDER, PAY A CIVIL MONETARY PENALTY OF $500,000 TO THE SEC.  THE REGISTRANT PAID THE CIVIL PENALTY ON JULY 10, 2018."
1925130,"INITIAL","","Y","","","","","","","","","","","","","","","Advisory Firm","1699017","","","","","","SEC","SECURITIES AND EXCHANGE COMMISSION","Cease and Desist","A. RESPONDENT HI2 MANAGER CEASE AND DESIST FROM COMMITTING OR CAUSING ANY VIOLATIONS AND ANY FUTURE VIOLATIONS OF SECTION 206(4) OF THE ADVISERS ACT AND RULES 206-4(2) AND 206-4(7) PROMULGATED THEREUNDER; B. RESPONDENT HI2 MANAGER IS CENSURED. C. RESPONDENT HI2 MANAGER SHALL, WITHIN 21 DAYS OF THE ENTRY OF THIS ORDER, PAY A CIVIL MONEY PENALTY IN THE AMOUNT OF $75,000.00 TO THE SECURITIES AND EXCHANGE COMMISSION FOR TRANSFER TO THE GENERAL FUND OF THE UNITED STATES TREASURY","09/10/2024","Y","","3-22104","","Debt - Asset Backed","","HI2 FAILED TO COMPLY WITH ITS OBLIGATIONS UNDER SECTION 206(4) OF THE ADVISERS ACT AND RULE 206(4)-2 THEREUNDER (THE ""CUSTODY RULE""). HI2 FAILED TO DISTRIBUTE TO INVESTORS WITHIN THE REQUIRED TIME PERIOD AUDITED ANNUAL FINANCIAL STATEMENTS PREPARED IN ACCORDANCE WITH GENERALLY ACCEPTED ACCOUNTING PRINCIPLES (""GAAP"") AND AUDITED BY A PCAOB-REGISTERED INDEPENDENT PUBLIC ACCOUNTANT.","Final","","Settled","09/10/2024","Y","","Y","75000","N","Y","N","N","Y","N","A. RESPONDENT HI2 MANAGER CEASE AND DESIST FROM COMMITTING OR CAUSING ANY VIOLATIONS AND ANY FUTURE VIOLATIONS OF SECTION 206(4) OF THE ADVISERS ACT AND RULES 206-4(2) AND 206-4(7) PROMULGATED THEREUNDER; B. RESPONDENT HI2 MANAGER IS CENSURED. C. RESPONDENT HI2 MANAGER SHALL, WITHIN 21 DAYS OF THE ENTRY OF THIS ORDER, PAY A CIVIL MONEY PENALTY IN THE AMOUNT OF $75,000.00 TO THE SECURITIES AND EXCHANGE COMMISSION FOR TRANSFER TO THE GENERAL FUND OF THE UNITED STATES TREASURY","A. RESPONDENT HI2 MANAGER CEASE AND DESIST FROM COMMITTING OR CAUSING ANY VIOLATIONS AND ANY FUTURE VIOLATIONS OF SECTION 206(4) OF THE ADVISERS ACT AND RULES 206-4(2) AND 206-4(7) PROMULGATED THEREUNDER; B. RESPONDENT HI2 MANAGER IS CENSURED. C. RESPONDENT HI2 MANAGER SHALL, WITHIN 21 DAYS OF THE ENTRY OF THIS ORDER, PAY A CIVIL MONEY PENALTY IN THE AMOUNT OF $75,000.00 TO THE SECURITIES AND EXCHANGE COMMISSION FOR TRANSFER TO THE GENERAL FUND OF THE UNITED STATES TREASURY","HI2 SUBMITTED AN OFFER OF SETTLEMENT (THE ""OFFER"") WHICH THE COMMISSION HAS DETERMINED TO ACCEPT ON SEPTEMBER 10, 2024"
1925603,"AMENDED","","","","","","","","","","","","Y","","","","","Affiliates","1686246","","","","","N","SRO","ICE CLEAR CREDIT LLC","Civil and Administrative Penalt(ies) /Fine(s)","","02/07/2013","Y","","2012-404B-044","UBS AG","Other","INDEX CREDIT DEFAULT SWAPS (CDX.NA.IG)","ICE CLEAR CREDIT LLC (""ICE"") ALLEGED THAT ON NOVEMBER 16, 2012 AND DECEMBER 12, 2012, UBS AG UNWOUND FIRM TRADES MADE ON NOVEMBER 15, 2012 AND DECEMBER 11, 2012, RESPECTIVELY, WITH THE SAME COUNTERPARTY CLEARING PARTICIPANT AT THE ORIGINAL FIRM TRADE PRICES RATHER THAN THE THEN-CURRENT MARKET PRICES, IN VIOLATION OF ICE RULE 404(B) AND ICE'S END OF DAY PRICE DISCOVERY POLICIES AND PROCEDURES.","Final","N/A","Settled","10/29/2013","Y","","Y","30951","N","N","N","N","N","N","N/A","MONETARY FINE OF $10,290 IN RELATION TO THE NOVEMBER 16, 2012 OFFSETTING TRADE AND $20,661 IN RELATION TO THE DECEMBER 12, 2012 OFFSETTING TRADE. THESE AMOUNTS WERE PAID ON OCTOBER 31, 2013.","PURSUANT TO ICE RULE 404(B) ""MARK-TO-MARKET PRICE"" AND THE ICE ""END-OF-DAY PRICE DISCOVERY POLICIES AND PROCEDURES,"" CLEARING PARTICIPANTS OF ICE MAY BE REQUIRED TO ENTER INTO TRANSACTIONS (""FIRM TRADES"") WITH OTHER CLEARING PARTICIPANTS AS A RESULT OF ICE'S END-OF-DAY (""EOD"") SETTLEMENT PRICE DISCOVERY PROCESS. ALTHOUGH ICE DOES NOT REQUIRE THAT A CLEARING PARTICIPANT MAINTAIN A FIRM TRADE AS AN OUTSTANDING POSITION FOR ANY PARTICULAR LENGTH OF TIME, IF A CLEARING PARTICIPANT ELECTS TO OFFSET A FIRM TRADE, IT MUST DO SO ON TERMS REFLECTING THE THEN-CURRENT MARKET PRICE. ON NOVEMBER 15, 2012 AND DECEMBER 11, 2012, ICE REQUIRED UBS AG, AN ICE CLEARING PARTICIPANT, TO ENTER FIRM TRADES WITH ANOTHER CLEARING PARTICIPANT, WHICH FIRM TRADES UBS AG UNWOUND ON NOVEMBER 16, 2012 AND DECEMBER 12, 2012, RESPECTIVELY, WITH THE SAME COUNTERPARTY CLEARING PARTICIPANT AT THE ORIGINAL FIRM TRADE PRICES. ICE ALLEGED THAT THE FIRM TRADE PRICES DID NOT REPRESENT THE MARKET PRICES AT THE TIME OF UBS AG'S OFFSETTING TRADES, AND THAT THE TRADES THEREFORE VIOLATED ICE RULE 404(B) AND ICE'S EOD SETTLEMENT POLICIES AND PROCEDURES. WITHOUT ADMITTING OR DENYING GUILT, AND HAVING TAKEN REASONABLE MEASURES TO ENSURE THAT UBS AG PERSONNEL IN THE PERTINENT LINE OF BUSINESS AND WITH REPONSIBILITY FOR THE PURCHASE AND SALE OF CREDIT DEFAULT SWAPS CLEARED THROUGH ICE ARE FULLY INFORMED OF THEIR RESPONSIBILITIES UNDER ICE'S RULES AND PROCEDURES, INCLUDING ICE RULE 404(B) AND ICE'S EOD PRICE DISCOVERY POLICIES AND PROCEDURES, UBS AG COMPROMISED AND SETTLED THE MATTER AND AGREED TO THE SANCTIONS SPECIFIED ABOVE."
1925603,"AMENDED","","","","","","","","","","","","Y","","","","","Affiliates","1686253","","","","","N","Foreign","ICE FUTURES SECURITIES","Civil and Administrative Penalt(ies) /Fine(s)","","01/11/2021","Y","","REF: 14264 AND 14710","UBS AG LONDON BRANCH","Futures - Commodity","FUTURES - FINANCES","THE ICE FUTURES EUROPE EXCHANGE ALLEGES THAT UBS AG WERE IN BREACH OF THE FOLLOWINGEXCHANGE RULES: G.17.1, G.17.4 AND G.17.5.","Final","","Settled","01/12/2021","Y","","Y","50000","N","N","N","N","N","N","","UBS WILL PAY A TOTAL SETTLEMENT AMOUNT OF £36,666,67 (APPROX. $50,000) THIS COMPRISES: (I)AFINE OF £55,000 FOR THE BREACHES OF THE RULES DESCRIBED AT SECTION 7 ABOVE; (II)ADISCRETIONARY 1/3 DISCOUNT FROM £55,000 FOR EARLY SETTLEMENT","UBS AND THE SRO HAVE AGREED THE CONTENT OF A DRAFT CIRCULAR CAPTURING THE SETTLEMENT,WHICHWILL BE PUBLISHED BY THE SRO IN DUE COURSE. THIS PROVIDES FOR THE ABOVE SETTLEMENTAMOUNT ANDCONFIRMS THAT UBS DID BREACH RULES G.17.1, G17.4, AND G.17.5. THE DATE OF PAYMENTHAS NOT YETBEEN AGREED."
1925603,"AMENDED","","","","","","","","","","Y","","","","","","","Affiliates","1686258","","","","","N","Foreign","KOREA EXCHANGE (""KRX"")","Suspension","ON 28 JULY 2021, KRX IMPOSED RESTRICTION ON UBS AG WHEN ENGAGING IN NEW SHORTSELLINGACTIVITY IN KOREA FOR A PERIOD OF 80 DAYS WITH AN EFFECTIVE START DATE OF 29 JULY2021. IF THERE ISCOVERED SHORT SELL ORDER BY UBS AG, THERE IS REQUIREMENT OF PRE-DELIVERYOF BORROWED SHARES TO THE BROKER BEFORE ORDER (PRE-MARGINING REQUIREMENT).","07/28/2021","Y","","KRX'S UNIQUE CASE NUMBER IN ENGLISH IS GAMSIGONGGAM-111","UBS AG","Other","SYNTHETIC SHORT ACCESS PRODUCT RELATED TO KOREA MARKET","ON 25 MAY 2021, UBS AG INADVERTENTLY CONDUCTED PARTIALLY UNCOVERED SHORT SELLING INKOREA.THIS IS A ONE-OFF INCIDENT INVOLVING MIS-BOOKING BY HUMAN ERROR WHICH OCCURRED AS RESULT OF A STANDARD MANUAL PROCESS REQUIRED WHEN GLOBAL ONE (THE GLOBAL BOOKS ANDRECORDS FOR STOCK, BORROW & LENDING) WAS OFFLINE FOR ITS DAILY BATCH RUNS. THIS LED TO ANINCORRECT LEVEL OF AVAILABLE INVENTORY RECORDED, RESULTING IN THE UNCOVERED TRADES.REMEDIATION ACTIONS HAVE BEEN PUT IN PLACE TO ENHANCE SYSTEMS CONFIGURATIONS TO AVOIDTHE MANUAL PROCESS.","Final","","Other","07/28/2021","Y","","N","","N","N","N","N","N","Y","KRX IMPOSED RESTRICTION ON UBS AG WHEN ENGAGING IN NEW SHORT SELLING ACTIVITY INKOREAFOR A PERIOD OF 80 DAYS. IF THERE IS COVERED SHORT SELL ORDER BY UBS AG, THEREISREQUIREMENT OF PRE-DELIVERY OF BORROWED SHARES TO THE BROKER BEFORE ORDER (PRE-MARGINING REQUIREMENT).","THE RESTRICTION AND PRE-MARGINING REQUIREMENT IMPOSED ON UBS AG (AS DETAILED INTHERESPONSE TO ITEM 12B ABOVE) WAS COMMUNICATED BY KRX ON 28 JULY 2021, WITH THEEFFECTIVE START DATE OF THE 80-DAY RESTRICTION OF 29 JULY 2021.","UBS AG HAS REQUESTED CLIENTS THAT UTILIZE SYNTHETIC SHORT ACCESS PRODUCT RELATED TOKOREA MARKET OFFERED BY UBS AG TO TRADE THROUGH ALTERNATIVE PROVIDERS DURING THISPERIOD."
1925603,"AMENDED","","","","","","","","","Y","","","","","","","","Affiliates","1686252","","","","","N","Other Federal","OFFICE OF THE COMPTROLLER OF THE CURRENCY","","N/A","05/31/2018","Y","","AA-EC-2018-30","N/A","No Product","","THE OFFICE OF COMPTROLLER OF THE CURRENCY FOUND THAT UBS AG, NEW YORK BRANCH, UBS AG, STAMFORD BRANCH, UBS AG, MIAMI BRANCH (COLLECTIVELY, THE ""UBS BRANCHES"" HAD DEFICIENCIES IN THEIR BANK SECRECY ACT AND ANTI-MONEY LAUNDERING COMPLIANCE PROGRAM THAT RESULTED IN VIOLATIONS OF 12. C.F.R SECTION 21 AND 12.C.F.R SECTION 21.11 AND OTHER VIOLATIONS.","Final","","Order","05/31/2018","Y","","N","","N","N","N","N","N","N","N/A","ON MAY 31, 2018 THE UBS BRANCHES ENTERED IN TO A CONSENT ORDER WITH THE OFFICE OF COMPTROLLER OF THE CURRENCY (""OCC""), WHICH FOUND DEFICIENCIES IN THE BRANCHES BANK SECRECY ACT AND ANTI-MONEY LAUNDERING COMPLIANCE PROGRAM THAT RESULTED IN VIOLATIONS OF 12 C.F.R SECTION 21.21 AND 12 C.F.R SECTION 21.11 AND OTHER VIOLATIONS. WITHOUT ADMITTING OR DENYING THE OCC'S FINDINGS, THE UBS BRANCHES CONSENTED TO THE ENTRY OF THE CONSENT ORDER PERSUANT TO WHICH THE UBS BRANCHES SHALL COMPLY WITH THE UNDERTAKINGS SET FORTH IN THE CONSENT ORDER.","PERSUANT TO THE MAY 31, 2018 CONSENT ORDER, THE UBS BRANCHES SHALL COMPLY WITH THE UNDERTAKINGS SET FORTH THEREIN, INCLUDING SUBMITTING WRITTEN PROPOSALS FOR APPROVAL BY THE OCC, COVERING THE UBS BRANCHES BANK SECRECY ACT AND ANTI-MONEY LAUNDERING COMPLIANCE PROGRAM."
1925603,"AMENDED","","","","","","","Y","","","","","","","","","","Affiliates","1686237","","","","","N","Foreign","SIX SWISS EXCHANGE","Civil and Administrative Penalt(ies) /Fine(s)","","09/18/2009","Y","","","","Equity Listed (Common & Preferred Stock)","","THE INVESTIGATION CONCERNED WHETHER UBS AG BREACHED PROVISIONS OF THE STOCK EXCHANGE RULES ON AD HOC PUBLICITY IN THE PERIOD FROM 2007 TO THE END OF 2008 AND THE DIRECTIVE ON INFORMATION RELATING TO CORPORATE GOVERNANCE IN CONNECTION WITH UBS'S 2008 ANNUAL REPORT.","Final","","Decision","12/22/2010","Y","","Y","104000","N","N","N","N","N","N","","CONVERTED FROM 100,000 CHF","UBS ACKNOWLEDGES THE DECISION BY THE SIX SANCTIONS COMMISSION AND WILL PAY THE FINE."
1925603,"AMENDED","","","","","","","Y","","","","","","","","","","Affiliates","1686240","","","","","N","Foreign","NORWEGIAN KREDITTILSYNET","Civil and Administrative Penalt(ies) /Fine(s)","","01/27/2010","N","PENALTY CHARGE NOTICE WAS POSTED ON THIS DATE.","09/6731","","Equity Listed (Common & Preferred Stock)","EQUITY AND EQUITY RELATED PRODUCT TYPES ACCORDING TO NORWEGIAN DISCLOSURE RULES","ON JUNE 17, 2009, UBS AG MADE A SUBSTANTIAL SHAREHOLDING DISCLOSURE IN THE ISSUER PETROLEUM GEO-SERVICES ASA 3 DAYS LATE.","Final","","Acceptance, Waiver & Consent(AWC)","02/01/2010","Y","","Y","33780","N","N","N","N","N","N","CURRENT STATUS IS FINAL.","ACTUAL FINE WAS 200,000 NORWEGIAN KRONERS, FINE AMOUNT ABOVE IS A CONVERSION TO USD AT TODAY'S RATE.","ON JUNE 17, 2009, UBS AG MADE A SUBSTANTIAL SHAREHOLDING DISCLOSURE IN THE ISSUER PETROLEUM GEO-SERVICES ASA 3 DAYS LATE. MATTER WAS CLOSED WITH (AWC) AND FINE."
1925603,"AMENDED","","","","","","","Y","","","","","","","","","","Affiliates","1686242","","","","","N","Foreign","UK FINANCIAL SERVICES AUTHORITY (FSA)","Civil and Administrative Penalt(ies) /Fine(s)","","02/08/2013","Y","","","UBS AG LONDON BRANCH","Other","SINGLE PREMIUM LIFE ASSURANCE BOND","THE FSA FOUND THAT UBS AG LONDON BRANCH FAILED TO TAKE REASONABLE CARE TO ENSURE THE SUITABILITY OF ITS ADVICE TO ITS CUSTOMERS TO INVEST IN THE FUND, AND ALSO FAILED TO PAY DUE REGARD TO THE INTERESTS OF ITS CUSTOMERS. FURTHER, THE BREACH WAS IN RELATION, AND LIMITED TO, UBS AG LONDON BRANCH'S BUSINESS IN THE UK IN THIS PARTICULAR PRODUCT.","Final","","Settled","02/08/2013","Y","","Y","14930000","N","N","N","N","N","N","","FSA IMPOSED A FINE OF GBP 9.45 MILLION, WHICH CONVERTED TO USD 14.93 MILLION AS OF 2/08/2013.","THE FSA FOUND THAT UBS AG LONDON BRANCH FAILED TO TAKE REASONABLE CARE TO ENSURE THE SUITABILITY OF ITS ADVICE TO ITS CUSTOMERS TO INVEST IN THE FUND, AND ALSO FAILED TO PAY DUE REGARD TO THE INTERESTS OF ITS CUSTOMERS. FURTHER, THE BREACH WAS IN RELATION, AND LIMITED TO, UBS AG LONDON BRANCH'S BUSINESS IN THE UK IN THIS PARTICULAR PRODUCT. FSA IMPOSED A FINE OF GBP 9.45 MILLION, WHICH CONVERTED TO USD 14.93 MILLION AS OF 2/08/2013."
