"FilingID","Other Name","BD","RR","Pool","FCM","Real Estate","Insurance","Bank","Trust","Municipal","Swap Dealer","Swap Participant","Accountant","Lawyer","Other","Other Description"
1999282,"FUTURE ADVICE","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","OUTSOURCED FINANCIAL PLANNING SERVICE BUREAU, CRM MANAGEMENT"
1997593,"UNITED PLANNERS FINANCIAL SERVICES","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
1999554,"GUERRA ADVISORS INC.","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
2000115,"ACCU-VEST PLANNING, INC.","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1997765,"GREAT PATH TAX SERVICES","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1998184,"BOSC INSURANCE SERVICES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1999914,"BAM DIGITAL","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","DIGITAL WRAP FEE PLATFORM"
1999973,"HEROLD & LANTERN INVESTMENTS, INC.","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
1999973,"HEROLD INSURANCE AGENCY, INC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1999904,"LEIGH BALDWIN & COMPANY","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
1999904,"CYNTHIA DICCIANNI","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
2000115,"MUTUAL FUNDS ASSOCIATES, INC.","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
2000098,"HERITAGE MARKETING INSURANCE AGENCY","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1995860,"PHILOSMITH SECURITIES LLC","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
1996249,"SIMONDAVIS BROKERAGE SERVICES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1996249,"ROBERT SCHECHTER & ASSOCIATES, INC. DBA SCHECHTER WEALTH SERVICES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
