"FilingID","Other Products and Services","Business Name"
1936910,"INSURANCE PRODUCTS",""
1929550,"CERTAIN  REPRESENTATIVES MAY OFFER OR SELL FIXED LIFE INSURANCE OR ANNUITY PRODUCTS IN CONNECTION WITH THEIR ROLES AS LICENSED INSURANCE PROFESSIONALS.",""
1950113,"RECOMMENDATION OF INSURANCE PRODUCTS","INDIVIDUAL CAPACITY"
1958410,"SALE OF COMMISSIONABLE PRODUCTS.","INDIVIDUAL CAPACITY."
1957865,"BBJS FINANCIAL ADVISORS, LLC IS AFFILIATED WITH A FULL SERVICE CPA FIRM. WILLIAM SERRES IS A PARTNER IN THE CPA FIRM AS WELL AS SOLE OWNER OF BBJS FINANCIAL ADVISORS, LLC. THE CPA FIRM PROVIDES TAX PLANNING AND TAX COMPLIANCES SERVICES.","BANCROFT BUCKLEY JOHNSTON & SERRES LLP"
1950098,"ADVISORY AFFILIATES MAY SELL SECURITIES AND INSURANCE PRODUCTS AS AN OUTSIDE BUSINESS ACTIVITY.",""
1947184,"INSURANCE PRODUCTS  TAX PREPARATION SERVICES","TAX PREP SERVICES UTILIZES NAME: WELCH TAX SERVICES, LLC"
1949153,"INSURANCE PRODUCTS",""
1946152,"TRUST ADMINISTRATION SERVICES AND BUSINESS CONSULTING SERVICES",""
1955995,"INSURANCE POLICIES","YANDELL & COMPANY P.A"
1942611,"INSURANCE SERVICES -  LESS THAN 5% OF TIME AND COMP FOR 1 IAR OF THE FIRM",""
1946167,"INSURANCE PRODUCTS, HELP WITH TAX RETURNS AND EMPLOY A CPA TO ASSIST WITH TAXES.","ELEVATED FINANCIAL SERVICES, LLC. ELEVATED TAX GROUP, LLC."
1929234,"INSURANCE PRODUCTS",""
1940625,"LIFE INSURANCE AND HEALTH INSURANCE",""
1940853,"THE EMPLOYEES OF THE FIRM PROVIDE SECURITIES RELATED PRODUCTS AND SERVICES TO AND EXECUTE SECURITIES TRANSACTIONS FOR ADVISORY CLIENTS THROUGH PURSHE KAPLAN STERLING INVESTMENTS AND PROVIDE INUSRANCE PRODUCTS TO ADVISORY CLIENT THROUGH INSURANCE COMPANIES.",""
1945040,"INSURANCE PRODUCTS",""
1944071,"CLEARWATER ADVISORS MAKES AVAILABLE A THIRD-PARTY INVESTMENT PERFORMANCE AND REPORTING TOOL TO CERTAIN CLIENTS.",""
1951038,"TAX PREPARATION SERVICES",""
1951240,"COMPREHENSIVE PERSONAL FINANCIAL PLANNING",""
1938685,"INSURANCE PRODUCER AND TAX PREPARATION",""
1944477,"BENEFIT PLAN ADMINISTRATION",""
1961012,"INSURANCE,INCLUDING LIFE, DISABILITY,HEALTH AND LONG TERM CARE AND FIXED INDEX ANNUITIES.",""
1957749,"RECOMMENDATIONS OF COMMISSIONABLE INVESTMENT AND INSURANCE PRODUCTS.","INDIVIDUALS MAY BE REGISTERED REPRESENTATIVES AND INSURANCE AGENTS IN THEIR INDIVIDUAL CAPACITY."
1951382,"THIRD PARTY ADMINISTRATOR SERVICES",""
1957384,"CERTAIN OF THE FIRM'S INVESTMENT ADVISER REPRESENTATIVES MAY OFFER COMMISSION-BASED INSURANCE PRODUCTS",""
1940197,"COMPREHENSIVE FINANCIAL PLANNING",""
1956221,"INSURANCE","CONFIDENCE WEALTH INSURANCE SOLUTIONS LLC & CONFIDENCE LIFE INSURANCE SOLUTIONS"
1950400,"RECOMMENDATIONS OF COMMISSIONABLE INSURANCE PRODUCTS.","INDIVIUDUAL NAME / CAPACITY."
1955988,"SOME EMPLOYEES ARE REGISTERED REPRESENTATIVES WITH LPL FINANICAL. SECURITIES ARE OFFERED THROUGH LPL FINANCIAL.  INSURANCE PRODUCTS ARE OFFERED THROUGH INDEPENDENT INSURANCE AGENTS.",""
1928138,"FIXED INSURANCE PRODUCTS (EX. TERM LIFE INSURANCE, MEDICARE INSURANCE)",""
1959752,"REPRESENTATIVES OF THE FIRM MAY ALSO BE REGISTERED REPRESENTATIVE AND/OR LICENSED INSURANCE AGENTS AND MAY OFFER SECURITIES AND/OR INSURANCE PRODUCTS TO THEIR CLIENTS.",""
1941213,"IN ADDITION TO INSURANCE AND INVESTMENT ADVISORY SERVICES, WE MAY ALSO PROVIDE SPECIALIZED CONSULTING SERVICES RELATED TO BENEFITS AND RESOURCES FOR FAMILIES WITH SPECIAL NEEDS.  WE ALSO PROVIDE EXPERT WITNESS SERVICES.",""
1946829,"LICENSED INSURANCE AGENTS OFFER PRODUCTS AND SERVICES VIA UNAFFILIATED INSURANCE AGENCIES.",""
1958984,"BETH ZILKA IS AN INDEPENDENTLY LICENSED INSURANCE AGENT.","NO OTHER BUSINESS NAME"
