"Filing ID","5K(3)(a)","5K(3)(b)","5K(3)(c) City","5K(3)(c) State","5K(3)(c) Country","5K(3)(d)","5K(3)(e)","5K(3)(f)","5K(3)(g)"
1975654,"NATIONAL FINANCIAL SERVICES LLC","NATIONAL FINANCIAL SERVICES LLC","BOSTON","MA","USA","N","8-26740","",146440145
1980453,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",266698255
1980461,"PERSHING, LLC","PERSHING, LLC","JERSEY CITY","NJ","USA","N","","",1228301086
1980470,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",93649322
1980470,"AXOS CLEARING LLC","AXOS CLEARING LLC","OMAHA","NE","USA","N","8-53595","",90205073
1980482,"ALTRUIST FINANCIAL LLC","ALTRUIST FINANCIAL LLC","CULVER CITY","CA","USA","N","8-70244","",12769267
1980451,"GOLDMAN SACHS & CO. LLC","GOLDMAN SACHS & CO. LLC","NEW YORK","NY","USA","N","","",154254600
1980558,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",1015887078
1980570,"THE BANK OF NOVA SCOTIA TRUST COMPANY","SCOTIATRUST","TORONTO, ONTARIO","","CAN","Y","","",624613686
1980581,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",7657715668
1976190,"U.S. BANK INSTITUTIONAL TRUST AND CUSTODY","U.S. BANK","PHILADELPHIA","PA","USA","N","","",4706715359
1976190,"THE NORTHERN TRUST COMPANY","NORTHERN TRUST","CHICAGO","IL","USA","N","","",1707639733
1976190,"WILMINGTON TRUST, N.A.","WILMINGTON TRUST, N.A.","BUFFALO","NY","USA","N","","",1303832680
1975314,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",191000000
1979208,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",346804749
1979208,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",655038134
1979208,"NATIONAL BANK INDEPENDENT NETWORK","NATIONAL BANK INDEPENDENT NETWORK","TORONTO, ONTARIO","","CAN","N","","",368101952
