"FilingID","Initial/Amended","11.H(1)(a)","11.H(1)(b)","11.H(1)(c)","11.H(2)","Filed Against","ReferenceID","Remove-Affiliate","Remove-Expired","Remove-Filed in Error","Error Explantion","Affiliate Submitted","Initiated By","Relief Sought","Other Relief Sought","Filing Date","Filing Date Exact","Filing Date Explanation","Principal Product","Other Product","Court","Employing Firm","Allegations","Status","Appeal Details","Date Served","Date Served Exact","Date Served Explanation","Resolution Type","Resolution Date","Resolution Date Exact","Resolution Date Explanation","Monetary Sanction","Monetary Amount","Revocation/Expulsion/Denial","Censure","Bar","Disgorgement/Restitution","Cease and Desist/Injunction","Suspension","Other Sanctions","Sanction Detail","Summary"
1937828,"AMENDED","","","","Y","Advisory Firm","1692547","","","","","","PRIVATE PLAINTIFF","Money Damages (Private/Civil Complaint)","","12/06/2021","N","SUMMONS RECEIVED ON THIS DATE","Investment Contract(s)","","ROYAL COURTS OF JERSEY","","THE PLAINTIFFS HAD BROUGHT A CLAIM FOR DAMAGES IN RESPECT OF ADVISORY AND DISCRETIONARY INVESTMENT MANAGEMENT SERVICES IT PROVIDED TO THEM.","Final","","","Y","MATTER RESOLVED","Settled","04/03/2023","Y","THE PROCEEDINGS WERE SETTLED SUBJECT TO A SETTLEMENT AGREEMENT PURSUANT TO WHICH THE PLAINTIFFS WITHDREW THEIR CLAIM BEFORE THE COURT.","","","","","","","","","SETTLEMENT WAS AGREED BETWEEN THE PARTIES WITHOUT ORDER OF THE COURT.","SETTLEMENT WAS AGREED BETWEEN THE PARTIES WITHOUT ORDER OF THE COURT.","THE PLAINTIFF SOUGHT A CERTAIN LEVEL OF DAMAGES FOR ALLEGED LOSSES RESULTING FROM BREACH OF CONTRACT."
1937828,"AMENDED","","","","Y","Advisory Firm","1692548","","","","","","PRIVATE PLAINTIFF","Money Damages (Private/Civil Complaint)","","07/21/2020","N","2025 UPDATE - APPEAL TO HIGH COURT, LONDON, WAS DISMISSED AND CERTIFIED AS BEING TOTALLY WITHOUT MERIT ON 3 MAY 2024. PLAINTIFF WAS DIRECTED TO FILE ANY NOTICE OF APPEAL BY 7 JUNE 2024. THEY FAILED TO DO SO BUT SUBSEQUENTLY FILED A NOTICE OF TIME. THE CLAIM CAME TO AN END BY WAY OF ORDER OF THE COURT OF APPEAL ON 6 DECEMBER 2024. THE PLAINTIFF'S APPLICATION FOR PERMISSION TO APPEAL WAS FOUND TO BE ""TOTALLY WITHOUT MERIT"" EFFECTIVELY ENDING THE PROCEEDINGS.","Investment Contract(s)","","WANDSWORTH COUNTY COURT, LONDON","","THE CLAIM WAS FOR INTEREST DUE ON ALLEGED LOSSES.","Final","","","Y","","Other","12/06/2024","Y","","","","","","","","","","N/A NO SANCTIONS","N/A NO SANCTIONS","ORIGINAL PROCEEDINGS DISMISSED BY THE COUNTY COURT. THE COURT ALSO IMPOSED A CIVIL RESTRAINT ORDER AGAINST THE PLAINTIFF BARRING THE PLAINTIFF FROM COMMENCING FURTHER PROCEEDINGS WITHOUT PERMISSION OF THE COURT. THE PLAINTIFF HAD APPEALED THIS ORDER AND THE ORDER TO DISMISS THE PROCEEDINGS. 2025 UPDATE - APPEAL TO HIGH COURT, LONDON, WAS DISMISSED & CERTIFIED AS BEING TOTALLY WITHOUT MERIT ON 3 MAY 2024. PLAINTIFF WAS DIRECTED TO FILE ANY NOTICE OF APPEAL BY 7 JUNE 2024. THEY FAILED TO DO THIS BUT SUBSEQUENTLY FILED A NOTICE OF TIME. THE CLAIM CAME TO AN ENDBY WAY OF ORDER OF THE COURT OF APPEAL ON 6 DECEMBER 2024. THE PLAINTIFF'S APPLICATIONFOR PERMISSION TO APPEAL WAS FOUND TO BE ""TOTALLY WITHOUT MERIT"" EFFECTIVELY ENDING THE PROCEEDINGS."
1938433,"AMENDED","Y","Y","","","Affiliates","1693164","","","","","N","COMMODITY FUTURES TRADING COMMISSION","Civil Penalty(ies)/Fine(s)","INJUNCTION","04/02/2012","Y","","Futures - Financial","","UNITED STATES DISTRICT COURT FOR THE SOUTHERN DISTRICT OF NEW YORK, CIVIL ACTION NO, 12-CV-2497 (AKH/KNF)","ROYAL BANK OF CANADA","ROYAL BANK OF CANADA IS ALLEGED TO HAVE VIOLATED SECTION 4C(A) OF THE COMMODITY EXCHANGE ACT, AND COMMISSION REGULATION 1.38(A), BY KNOWINGLY ENTERING INTO PURCHASES AND SALES OF SINGLE STOCK FUTURES AND NARROW-BASED INDEX FUTURES CONTRACTS OPPOSITE ITS SUBSIDIARIES WITH THE EXPRESS OR IMPLIED UNDERSTANDING THAT THE POSITION WOULD BE OFFSET OR DELIVERED OPPOSITE EACH OTHER.","Final","","","","","Consent","12/18/2014","Y","","Y","35000000","","","","","Y","","","WITHOUT ADMITTING OR DENYING THE FINDINGS, THE FIRM CONSENTED TO THE SANCTIONS AND TO THE ENTRY OF FINDINGS THAT IT VIOLATED SECTION 4C(A) OF THE COMMODITY EXCHANGE ACT, AND COMMISSION REGULATION 1.38(A), BY KNOWINGLY ENTERING INTO PURCHASES AND SALES OF SINGLE STOCK FUTURES AND NARROW-BASED INDEX FUTURES CONTRACTS OPPOSITE ITS SUBSIDIARIES WITH THE EXPRESS OR IMPLIED UNDERSTANDING THAT THE POSITIONS WOULD BE OFFSET OR DELIVERED OPPOSITE EACH OTHER; THEREFORE THE FIRM IS FINED $35,000,000.00 AND IS PERMANENTLY PERMANENTLY RESTRAINED, ENJOINED, AND PROHIBITED FROM DIRECTLY OR INDIRECTLY ENTERING INTO OR CONFIRMING THE EXECUTION OF A TRANSACTION THAT IS, IS OF THE CHARACTER OF, OR IS COMMONLY KNOWN TO THE TRADE AS A WASH SALE, OR IS A FICTITIOUS SALE. THE FIRM IS ALSO PERMANENTLY RESTRAINED, ENJOINED, AND PROHIBITED FROM DIRECTLY OR INDIRECTLY EXECUTING ANY NONCOMPETITIVE TRANSACTION.","WITHOUT ADMITTING OR DENYING THE FINDINGS, THE FIRM CONSENTED TO THE SANCTIONS AND TO THE ENTRY OF FINDINGS THAT IT VIOLATED SECTION 4C(A) OF THE COMMODITY EXCHANGE ACT, AND COMMISSION REGULATION 1.38(A), BY KNOWINGLY ENTERING INTO PURCHASES AND SALES OF SINGLE STOCK FUTURES AND NARROW-BASED INDEX FUTURES CONTRACTS OPPOSITE ITS SUBSIDIARIES WITH THE EXPRESS OR IMPLIED UNDERSTANDING THAT THE POSITIONS WOULD BE OFFSET OR DELIVERED OPPOSITE EACH OTHER; THEREFORE THE FIRM IS FINED $35,000,000.00 AND IS PERMANENTLY PERMANENTLY RESTRAINED, ENJOINED, AND PROHIBITED FROM DIRECTLY OR INDIRECTLY ENTERING INTO OR CONFIRMING THE EXECUTION OF A TRANSACTION THAT IS, IS OF THE CHARACTER OF, OR IS COMMONLY KNOWN TO THE TRADE AS A WASH SALE, OR IS A FICTITIOUS SALE. THE FIRM IS ALSO PERMANENTLY RESTRAINED, ENJOINED, AND PROHIBITED FROM DIRECTLY OR INDIRECTLY EXECUTING ANY NONCOMPETITIVE TRANSACTION."
1975670,"AMENDED","","","","Y","Advisory Firm","1711291","","","","","","PRIVATE PLAINTIFF","Money Damages (Private/Civil Complaint)","","12/06/2021","N","SUMMONS RECEIVED ON THIS DATE","Investment Contract(s)","","ROYAL COURTS OF JERSEY","","THE PLAINTIFFS HAD BROUGHT A CLAIM FOR DAMAGES IN RESPECT OF ADVISORY AND DISCRETIONARY INVESTMENT MANAGEMENT SERVICES IT PROVIDED TO THEM.","Final","","","Y","MATTER RESOLVED","Settled","04/03/2023","Y","THE PROCEEDINGS WERE SETTLED SUBJECT TO A SETTLEMENT AGREEMENT PURSUANT TO WHICH THE PLAINTIFFS WITHDREW THEIR CLAIM BEFORE THE COURT.","","","","","","","","","SETTLEMENT WAS AGREED BETWEEN THE PARTIES WITHOUT ORDER OF THE COURT.","SETTLEMENT WAS AGREED BETWEEN THE PARTIES WITHOUT ORDER OF THE COURT.","THE PLAINTIFF SOUGHT A CERTAIN LEVEL OF DAMAGES FOR ALLEGED LOSSES RESULTING FROM BREACH OF CONTRACT."
1975670,"AMENDED","","","","Y","Advisory Firm","1711292","","","","","","PRIVATE PLAINTIFF","Money Damages (Private/Civil Complaint)","","07/21/2020","N","2025 UPDATE - APPEAL TO HIGH COURT, LONDON, WAS DISMISSED AND CERTIFIED AS BEING TOTALLY WITHOUT MERIT ON 3 MAY 2024. PLAINTIFF WAS DIRECTED TO FILE ANY NOTICE OF APPEAL BY 7 JUNE 2024. THEY FAILED TO DO SO BUT SUBSEQUENTLY FILED A NOTICE OF TIME. THE CLAIM CAME TO AN END BY WAY OF ORDER OF THE COURT OF APPEAL ON 6 DECEMBER 2024. THE PLAINTIFF'S APPLICATION FOR PERMISSION TO APPEAL WAS FOUND TO BE ""TOTALLY WITHOUT MERIT"" EFFECTIVELY ENDING THE PROCEEDINGS.","Investment Contract(s)","","WANDSWORTH COUNTY COURT, LONDON","","THE CLAIM WAS FOR INTEREST DUE ON ALLEGED LOSSES.","Final","","","Y","","Other","12/06/2024","Y","","","","","","","","","","N/A NO SANCTIONS","N/A NO SANCTIONS","ORIGINAL PROCEEDINGS DISMISSED BY THE COUNTY COURT. THE COURT ALSO IMPOSED A CIVIL RESTRAINT ORDER AGAINST THE PLAINTIFF BARRING THE PLAINTIFF FROM COMMENCING FURTHER PROCEEDINGS WITHOUT PERMISSION OF THE COURT. THE PLAINTIFF HAD APPEALED THIS ORDER AND THE ORDER TO DISMISS THE PROCEEDINGS. 2025 UPDATE - APPEAL TO HIGH COURT, LONDON, WAS DISMISSED & CERTIFIED AS BEING TOTALLY WITHOUT MERIT ON 3 MAY 2024. PLAINTIFF WAS DIRECTED TO FILE ANY NOTICE OF APPEAL BY 7 JUNE 2024. THEY FAILED TO DO THIS BUT SUBSEQUENTLY FILED A NOTICE OF TIME. THE CLAIM CAME TO AN ENDBY WAY OF ORDER OF THE COURT OF APPEAL ON 6 DECEMBER 2024. THE PLAINTIFF'S APPLICATIONFOR PERMISSION TO APPEAL WAS FOUND TO BE ""TOTALLY WITHOUT MERIT"" EFFECTIVELY ENDING THE PROCEEDINGS."
1975734,"AMENDED","","","","","Advisory Firm","1711304","","","","","","FAIR POLITICAL PRACTICES COMMISSION","Civil Penalty(ies)/Fine(s)","","08/29/2011","Y","","No Product","","FPPC NO. 11/403","","FAILURE TO TIMELY DISCLOSE GIFTS ON A STATEMENT OF ECONOMIC INTERESTS (FORM 700).","Final","","","","","Settled","08/29/2011","N","STIPULATION, DECISION AND ORDER","Y","1400","","","","","","","","THE DATE OF PAYMENT OF THE FINE WAS 8/29/11, IT WAS PAID BY JONCARLO R. MARK AND NO PORTION WAS WAIVED.","IN 2011, JONCARLO MARK, ALONG WITH OTHER MEMBERS OF THE CALPERS INVESTMENT STAFF AND BOARD OF ADMINISTRATION, SETTLED A CASE IN WHICH LAWFUL GIFTS WERE REPORTED ON CALPERS MONTHLY GIFT REPORTS INSTEAD OF AN ANNUAL FORM 700.  MR. MARK AGREED TO PAY A ""STREAMLINED PRGRAM"" ADMINISTRATIVE FINE (AS DID OTHERS) OF $1,400 TO THE FAIR POLITICAL PRACTICES COMMISSION (FPPC) TO SETTLE THE CASE."
1976595,"AMENDED","","","","Y","Affiliates","1711653","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1976595,"AMENDED","","Y","","","Affiliates","1711654","","","","","Y","AUSTRALIAN SECURITIES AND INVESTMENTS COMMISSION","Civil Penalty(ies)/Fine(s)","ADVERSE PUBLICITY NOTICE","07/24/2023","Y","","Mutual Fund(s)","","SERVED BY FEDERAL COURT OF AUSTRALIA, VICTORIA CASE# - VID563/2023","NA","ON 25 JULY 2023, ASIC LODGED CIVIL PENALTY PROCEEDINGS IN THE FEDERAL COURT OF AUSTRALIA AGAINST VANGUARD INVESTMENTS AUSTRALIA LTD (VIA), ALLEGING MISREPRESENTATIONS IN RELATION TO CLAIMS ABOUT CERTAIN ENVIRONMENTAL, SOCIAL AND GOVERNANCE (ESG) EXCLUSIONARY SCREENS APPLIED TO INVESTMENTS IN THE VANGUARD ETHICALLY CONSCIOUS GLOBAL AGGREGATE BOND INDEX AND ETF. ASIC ALLEGED THAT THE DESCRIPTION OF THE EXCLUSIONARY SCREENS IN THE PRODUCT DISCLOSURE STATEMENTS (PDS) DID NOT PROVIDE A SUFFICIENTLY DETAILED EXPLANATION THAT CERTAIN COMPANY DEBT ISSUERS LACKING ESG RESEARCH COVERAGE WERE INCLUDED IN THE BENCHMARK SUCH THAT THE FUND AND ETF HAD EXPOSURE TO CERTAIN SECURITIES THAT MAY NOT HAVE REASONABLY EXPECTED BY INVESTORS. IN ADDITION, ANCILLIARY STATEMENTS MADE BY VIA, IN THE FORM OF A MEDIA RELEASE AND TWO INDUSTRY PRESENTATIONS, WERE ALLEGED TO NOT ADEQUATELY DISCLOSE THE LIMITATIONS OF THE EXCLUSIONARY SCREENS APPLIED TO THE PRODUCTS.","Final","NA","","Y","","Judgment Rendered","09/25/2024","Y","","Y","8772000","","","","","","","VIA TO PUBLISH A WRITTEN ADVERSE PUBLICITY NOTICE SPECIFIED IN THE ANNEXURE TO THE ORDERS; AND MAINTAIN THE PRESCRIBED NOTICE UNTIL 25 SEPTEMBER 2025 (12 MONTHS FROM THE DATE OF THE ORDERS)","N/A","ON 25 JULY 2023, ASIC LODGED CIVIL PENALTY PROCEEDINGS IN THE FEDERAL COURT OF AUSTRALIA AGAINST VANGUARD INVESTMENTS AUSTRALIA LTD (VIA), ALLEGING MISREPRESENTATIONS IN RELATION TO CLAIMS ABOUT CERTAIN ENVIRONMENTAL, SOCIAL AND GOVERNANCE (ESG) EXCLUSIONARY SCREENS APPLIED TO INVESTMENTS IN THE VANGUARD ETHICALLY CONSCIOUS GLOBAL AGGREGATE BOND INDEX AND ETF. ASIC ALLEGED THAT THE DESCRIPTION OF THE EXCLUSIONARY SCREENS IN THE PRODUCT DISCLOSURE STATEMENTS (PDS) DID NOT PROVIDE A SUFFICIENTLY DETAILED EXPLANATION THAT CERTAIN COMPANY DEBT ISSUERS LACKING ESG RESEARCH COVERAGE WERE INCLUDED IN THE BENCHMARK SUCH THAT THE FUND AND ETF HAD EXPOSURE TO CERTAIN SECURITIES THAT MAY NOT HAVE REASONABLY EXPECTED BY INVESTORS. IN ADDITION, ANCILLIARY STATEMENTS MADE BY VIA, IN THE FORM OF A MEDIA RELEASE AND TWO INDUSTRY PRESENTATIONS, WERE ALLEGED TO NOT ADEQUATELY DISCLOSE THE LIMITATIONS OF THE EXCLUSIONARY SCREENS APPLIED TO THE PRODUCTS.   IN CONSIDERING THE FACTS, JUSTICE O'BRYAN OF THE FEDERAL COURT ISSUED A REASONS FOR JUDGEMENT AND ORDERS ON 25 SEPTEMBER 2024, THAT OBLIGATES:1) VIA TO PAY PECUNIARY PENALTY TO THE COMMONWEALTH OF AUSTRALIA OF AUD$12.9 MILLION WHICH WAS PAID IN FULL ON 14 OCTOBER 2024;2) VIA TO PUBLISH ADVERSE PUBLICITY NOTICES AS PRESCRIBED BY THE ANNEXURE ACCOMPANYING THE ORDERS BY 25 OCTOBER 2024 ON SPECIFIED INTERNET WEB ADDRESSES UNTIL AT LEAST 25 SEPTEMBER 2025; AND3) ASIC TO PAY VIA'S COSTS OF AND INCIDENTAL TO THE HEARING ON 8 MARCH 2024 AND VIA TO OTHERWISE PAY THE COSTS OF THE PROCEEDINGS."
1976627,"AMENDED","","","","Y","Affiliates","1711687","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1976627,"AMENDED","","Y","","","Affiliates","1711688","","","","","Y","AUSTRALIAN SECURITIES AND INVESTMENTS COMMISSION","Civil Penalty(ies)/Fine(s)","ADVERSE PUBLICITY NOTICE","07/24/2023","Y","","Mutual Fund(s)","","SERVED BY FEDERAL COURT OF AUSTRALIA, VICTORIA CASE# - VID563/2023","NA","ON 25 JULY 2023, ASIC LODGED CIVIL PENALTY PROCEEDINGS IN THE FEDERAL COURT OF AUSTRALIA AGAINST VANGUARD INVESTMENTS AUSTRALIA LTD (VIA), ALLEGING MISREPRESENTATIONS IN RELATION TO CLAIMS ABOUT CERTAIN ENVIRONMENTAL, SOCIAL AND GOVERNANCE (ESG) EXCLUSIONARY SCREENS APPLIED TO INVESTMENTS IN THE VANGUARD ETHICALLY CONSCIOUS GLOBAL AGGREGATE BOND INDEX AND ETF. ASIC ALLEGED THAT THE DESCRIPTION OF THE EXCLUSIONARY SCREENS IN THE PRODUCT DISCLOSURE STATEMENTS (PDS) DID NOT PROVIDE A SUFFICIENTLY DETAILED EXPLANATION THAT CERTAIN COMPANY DEBT ISSUERS LACKING ESG RESEARCH COVERAGE WERE INCLUDED IN THE BENCHMARK SUCH THAT THE FUND AND ETF HAD EXPOSURE TO CERTAIN SECURITIES THAT MAY NOT HAVE REASONABLY EXPECTED BY INVESTORS. IN ADDITION, ANCILLIARY STATEMENTS MADE BY VIA, IN THE FORM OF A MEDIA RELEASE AND TWO INDUSTRY PRESENTATIONS, WERE ALLEGED TO NOT ADEQUATELY DISCLOSE THE LIMITATIONS OF THE EXCLUSIONARY SCREENS APPLIED TO THE PRODUCTS.","Final","NA","","Y","","Judgment Rendered","09/25/2024","Y","","Y","8772000","","","","","","","VIA TO PUBLISH A WRITTEN ADVERSE PUBLICITY NOTICE SPECIFIED IN THE ANNEXURE TO THE ORDERS; AND MAINTAIN THE PRESCRIBED NOTICE UNTIL 25 SEPTEMBER 2025 (12 MONTHS FROM THE DATE OF THE ORDERS)","N/A","ON 25 JULY 2023, ASIC LODGED CIVIL PENALTY PROCEEDINGS IN THE FEDERAL COURT OF AUSTRALIA AGAINST VANGUARD INVESTMENTS AUSTRALIA LTD (VIA), ALLEGING MISREPRESENTATIONS IN RELATION TO CLAIMS ABOUT CERTAIN ENVIRONMENTAL, SOCIAL AND GOVERNANCE (ESG) EXCLUSIONARY SCREENS APPLIED TO INVESTMENTS IN THE VANGUARD ETHICALLY CONSCIOUS GLOBAL AGGREGATE BOND INDEX AND ETF. ASIC ALLEGED THAT THE DESCRIPTION OF THE EXCLUSIONARY SCREENS IN THE PRODUCT DISCLOSURE STATEMENTS (PDS) DID NOT PROVIDE A SUFFICIENTLY DETAILED EXPLANATION THAT CERTAIN COMPANY DEBT ISSUERS LACKING ESG RESEARCH COVERAGE WERE INCLUDED IN THE BENCHMARK SUCH THAT THE FUND AND ETF HAD EXPOSURE TO CERTAIN SECURITIES THAT MAY NOT HAVE REASONABLY EXPECTED BY INVESTORS. IN ADDITION, ANCILLIARY STATEMENTS MADE BY VIA, IN THE FORM OF A MEDIA RELEASE AND TWO INDUSTRY PRESENTATIONS, WERE ALLEGED TO NOT ADEQUATELY DISCLOSE THE LIMITATIONS OF THE EXCLUSIONARY SCREENS APPLIED TO THE PRODUCTS.   IN CONSIDERING THE FACTS, JUSTICE O'BRYAN OF THE FEDERAL COURT ISSUED A REASONS FOR JUDGEMENT AND ORDERS ON 25 SEPTEMBER 2024, THAT OBLIGATES:1) VIA TO PAY PECUNIARY PENALTY TO THE COMMONWEALTH OF AUSTRALIA OF AUD$12.9 MILLION WHICH WAS PAID IN FULL ON 14 OCTOBER 2024;2) VIA TO PUBLISH ADVERSE PUBLICITY NOTICES AS PRESCRIBED BY THE ANNEXURE ACCOMPANYING THE ORDERS BY 25 OCTOBER 2024 ON SPECIFIED INTERNET WEB ADDRESSES UNTIL AT LEAST 25 SEPTEMBER 2025; AND3) ASIC TO PAY VIA'S COSTS OF AND INCIDENTAL TO THE HEARING ON 8 MARCH 2024 AND VIA TO OTHERWISE PAY THE COSTS OF THE PROCEEDINGS."
