"FilingID","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","Telephone Number","Facsimile Number","Branch Number","Employees","BD","Bank","Insurance","Commodity","Municipal","Accounting","Law","Other"
1992529,"MOLENGRAAFFSINGEL 10","","DELFT","","Netherlands","2629 JD","N","+31 152789589","",,3,"N","N","N","N","N","N","N",""
1987594,"SONATUS BUILDING, 25TH FLOOR","15 LE THANH TON, DISTRICT 1","HO CHI MINH CITY","","Vietnam","700000","N","+842838273161","",,31,"N","N","N","N","N","N","N",""
1987594,"LOTTE HANOI CENTRE, 12TH FLOOR, EAST TOWER","54 LIEU GIAI, BA DINH DISTRICT","HANOI","","Vietnam","100000","N","+842437724888","",,6,"N","N","N","N","N","N","N",""
1987044,"305 FIFTH AVENUE SOUTH","SUITE 204-H","NAPLES","FL","United States","34102","N","612-723-6450","",,1,"N","N","N","N","N","N","N","FUNDRAISING, OPERATIONAL FUNCTIONS, FUND MANAGEMENT, AND INVESTMENT DECISION-MAKING"
1987044,"20 NORTH UPPER WACKER DRIVE","12TH FLOOR","CHICAGO","IL","United States","60606","N","6122434406","",,1,"N","N","N","N","N","N","N","FUNDRAISING, OPERATIONAL FUNCTIONS, FUND MANAGEMENT AND INVESTMENT DECISION-MAKING"
1989354,"2484 SAND HILL ROAD","","MENLO PARK","CA","United States","94025","N","650-854-5560","650-854-5712",,3,"N","N","N","N","N","N","N",""
1989136,"444 W WABASH AVENUE","","CHICAGO","IL","United States","60611","N","(773) 868-4188","",,1,"N","N","N","N","N","N","N",""
1989136,"","","","","","","Y","(858) 832-2000","",,1,"N","N","N","N","N","N","N",""
1989136,"1075 TURNBERRY CT","","MIDWAY","UT","United States","64049","N","217-819-5206","",,1,"N","N","N","N","N","N","N",""
1986635,"PALLISER HOUSE","PALLISER ROAD","LONDON","","United Kingdom","W14 9EQ","N","442081591101","",,0,"N","N","N","Y","N","N","N",""
1986635,"THE PLAZA, 367-375 QUEEN'S ROAD CENTRAL","SUITE 1506, 15/F","SHUENG WAN","","Hong Kong","","N","02081591101","",,0,"N","N","N","N","N","N","N",""
1986635,"2F, NO. 320, SECTION 4, ZHONGXIAO E. ROAD","DA'AN DISTRICT","TAIPEI CITY 10694","","Taiwan,  Republic of China","","N","02081591115","",,2,"N","N","N","N","N","N","N",""
1988590,"","","","","","","Y","44 7733 301179","",,1,"N","N","N","N","N","N","N",""
1990073,"783 GIFFORD RD","","WESTPORT","MA","United States","02970","N","5106844865","",,0,"N","N","N","N","N","N","N",""
1990333,"4-5 LANGHAM PLACE","","LONDON","","United Kingdom","W1B 3DG","N","+442037879847","",,1,"N","N","N","N","N","N","N",""
1990118,"UNIT 1509, 15/F, THE CENTER","99 QUEEN'S ROAD CENTRAL","HONG KONG","","Hong Kong","","N","+852 2851 8055","",,1,"N","N","N","Y","N","N","N",""
1991902,"","","","","","","Y","6176060719","",,1,"N","N","N","N","N","N","N",""
