"FilingID","Individual Name","Firm or Organization Name","CRD Number","Effective Date","Termination Date","Street 1","Street 2","City","State","Country","Postal Code","Private Residence?","Description"
2005281,"ISRAEL, BENJAMIN","",5806052,08/20/2025,,"330 MARSHALL STREET, SUITE 1000","","SHREVEPORT","LA","United States","71101","N","MR. ISRAEL IS THE SOLE OWNER AND SOLE MANAGER OF CYPRESS FUND MANAGEMENT, LLC."
2006384,"Howerton, Terry, Ivan","",7324076,07/31/2025,,"20 NORTH WACKER DRIVE","12TH FLOOR","CHICAGO","IL","United States","60606","N","FOUNDER AND CEO"
2006384,"HOCH, JAMES, ALFRED","",7324071,07/31/2025,,"20 NORTH WACKER DRIVE","12TH FLOOR","CHICAGO","IL","United States","60606","N","FOUNDER, MANAGING MEMBER, AND CHIEF COMPLIANCE OFFICER"
2010589,"Kenworthy, Karsten, John Paul","",8151457,01/31/2022,,"16211 N. SCOTTSDALE RD.","STE A6A #138","SCOTTSDALE","AZ","United States","85254","N","PARTNER, MANAGER"
2010589,"Laney, Benjamin, Reeves","",8151462,01/31/2022,,"16211 N. SCOTTSDALE RD.","STE A6A #138","SCOTTSDALE","AZ","United States","85254","N","MANAGING PARTNER, MANAGER"
1997137,"Van Otterloo, Bradley, John","",8122235,05/09/2025,,"600 WEST 5TH STREET","","AUSTIN","TX","United States","78701","N","30% OWNER"
1997137,"VARMA, SAMIT, KUMAR","",6049405,05/09/2025,,"12201 MUSKET RIM","","AUSTIN","TX","United States","78738","N","70% OWNER"
2009458,"OMOJOLA, AYOKUNLE, TANIMOLA","",4851137,08/14/2025,,"","","","","","","Y","1/3 OWNER OF THE ENTITY"
2009458,"djavaherian, caesar","",8149512,08/14/2025,,"","","","","","","Y","1/3 OWNER"
2009458,"KELLOGG, KERRY, MARTIN","",5192487,08/14/2025,,"","","","","","","Y","1/3 OWNER"
2008560,"Gullapalli, Ravi","",7888475,02/21/2024,,"950 STATE HWY 114","SUITE 160","SOUTHLAKE","TX","United States","76092","N","MANAGEMENT CONROL"
