"FilingID","Other Products and Services","Business Name"
1999602,"BROKER DEALER BUSINESS INCLUDING BUT NOT LIMITED TO STOCKS, BONDS, MUTUAL FUNDS, EXCHANGE TRADES FUNDS/NOTES, VARIABLE ANNUITIES, REITS, BDC, OPTIONS.",""
1999621,"RECOMMENDATION OF INSURANCE PRODUCTS.","INDIVIDUAL CAPACITY."
1999124,"IMPLEMENTATION OF INSURANCE SALES AND COMMISSIONABLE SECURITIES.",""
1997842,"SERVICES RELATING TO ITS CAPACITY AS A BROKER-DEALER, FUTURES COMMISSION MERCHANT, REGISTERED SECURITY-BASED SWAP DEALER, AND CFTC SWAP DEALER.",""
1999372,"SAME AS LISTED IN 6.B.(2) - FINANCIAL PLANNING",""
1997154,"DBA YELLOWWOOD: LICENSED INSURANCE AGENTS OFFER PRODUCTS AND SERVICES VIA UNAFFILIATED BROKER DEALER.  REGISTERED REPRESENTATIVES OFFER PRODUCTS AND SERVICES VIA UNAFFILIATED BROKER DEALER.","REGISTERED REPRESENTATIVES OF APW CAPITAL, INC."
1996092,"PLEASE SEE THE ""TYPES OF BUSINESS"" ITEMIZED IN ATB CAPITAL MARKETS USA INC.'S DETAILED REPORT (FROM THE FIRM'S FORM BD) AVAILABLE ON FINRA'S BROKERCHECK WEBSITE AT HTTPS://BROKERCHECK.FINRA.ORG.",""
1997283,"APOGEM CAPITAL LLC SERVES AS ADMINISTRATIVE AGENT ON BEHALF OF LOAN SYNDICATES IN WHICH THE ADVISORY CLIENTS PARTICIPATE. APOGEM CAPITAL LLC ALSO PROVIDES SERVICES AS MANAGER TO CERTAIN PRIVATE INVESTMENT FUNDS.",""
1997307,"COMMISSIONABLE SECURITIES PRODUCTS.","HUNTWICKE SECURITIES LLC."
1997369,"PROVIDE TRUSTEE SERVICES.",""
1997423,"REGISTRANT COMPLEMENTS ITS ADVISORY SERVICES BY PROVIDING CLIENTS WITH WEALTH ADVISORY SERVICES, PAYMENT SERVICES AND MARGIN LOANS. IN ADDITION, WHERE APPROPRIATE, REGISTRANT INTRODUCES  ITS CLIENTS TO THE BROADER NETWORK AND RESOURCES OF GOLDMAN SACHS.",""
1989589,"PROVIDE INSURANCE SERVICES",""
1995905,"PROVIDE INSURANCE SERVICES",""
