"FilingID","ReferenceID","SubreferenceID","Name of General Partner, etc."
1961586,476584,151333,"JAMES CHERVAK"
1971031,168521,116047,"DAVID SUNG"
1971031,168521,116047,"SAI FAI YIP"
1971031,168521,116046,"MARK FAGAN"
1971031,168521,116046,"SAI FAI YIP"
1971031,168521,116047,"MARK FAGAN"
1971031,168521,116046,"DAVID SUNG"
1971031,482968,152150,"SAI FAI YIP"
1971031,482968,152151,"DAVID SUNG"
1971031,482968,152151,"MARK FAGAN"
1971031,482968,152151,"SAI FAI YIP"
1971031,482968,152150,"DAVID SUNG"
1971031,482968,152150,"MARK FAGAN"
1977795,288489,138179,"GREENWOODS ASSET MANAGEMENT HONG KONG LIMITED"
1977795,288429,138173,"GREENWOODS ASSET MANAGEMENT HONG KONG LIMITED"
1977795,288429,138172,"GREENWOODS ASSET MANAGEMENT HONG KONG LIMITED"
1979092,238065,131851,"ASIA RESEARCH & CAPITAL MANAGEMENT (DIFC) LIMITED (MANAGER)"
1979092,238065,131850,"ASIA RESEARCH & CAPITAL MANAGEMENT (DIFC) LIMITED (MANAGER)"
1979092,238065,131850,"GEORGE BROKAW"
1979092,238065,131850,"JAVED HAMID"
1979092,238065,131850,"GARY LINFORD"
1979092,238065,131850,"ASIA RESEARCH & CAPITAL MANAGEMENT, LTD. (SUB-MANAGER)"
1979092,238065,131851,"ASIA RESEARCH & CAPITAL MANAGEMENT, LTD. (SUB-MANAGER)"
1979092,238065,131851,"GEORGE BROKAW"
1979092,238065,131851,"JAVED HAMID"
1979092,238065,131851,"GARY LINFORD"
1982995,485387,152609,"RH TAILWIND MANAGEMENT, LLC"
1975136,68930,14100,"SPE SELECT GP LIMITED"
1976021,314569,142058,"DACM AUSTRALIA PTY LTD."
1965216,337389,143006,"JULIAN FLETCHER"
1965216,337389,143006,"VUMINDABA DUBE"
1965216,337389,143006,"RUOFAN FANG"
1965216,337389,143007,"JULIAN FLETCHER"
1965216,337389,143007,"VUMINDABA DUBE"
1965216,337389,143007,"RUOFAN FANG"
1966769,483162,152345,"QUILVEST CAPITAL PARTNERS PE FUND GP"
1973581,484052,152365,"THOMAS KEEGAN"
1975424,373648,145515,"GWENDOLINE TILGHMAN"
1975424,373648,145515,"SING DUFFY"
1975424,373648,145516,"VOLT GLOBAL GP LLC"
1973400,250027,133767,"LEE MORONEY"
1973400,250027,133767,"TODD HAZLEWOOD"
