"FilingID","Wrap Fee Program","Sponsor","Sponsor SEC File Number","Sponsor CRD Number"
1999553,"URSA FINANCIAL, LLC WRAP FEE PROGRAM","URSA FINANCIAL, LLC","801-117785",306491
1997842,"MULTI-ASSET CLASS SOLUTIONS PROGRAM","CITIGROUP GLOBAL MARKETS INC.","801-3387",7059
1997842,"DYNAMIC ALLOCATION PORTFOLIOS - UMA PROGRAM","CITIGROUP GLOBAL MARKETS INC.","801-3387",7059
1997842,"CITI PORTFOLIO MANAGER PROGRAM","CITIGROUP GLOBAL MARKETS INC.","801-3387",7059
1997842,"CITI ADVISOR PROGRAM","CITIGROUP GLOBAL MARKETS INC.","801-3387",7059
1997842,"ADVISORY PORTFOLIOS PROGRAM","CITIGROUP GLOBAL MARKETS INC.","801-3387",7059
1997842,"CITI WEALTH BUILDER PROGRAM","CITIGROUP GLOBAL MARKETS INC.","801-3387",7059
1999732,"ADVISORY SERVICES NETWORK LLC WRAP FEE PROGRAM","ADVISORY SERVICES NETWORK LLC","",
1997154,"YELLOWWOOD WEALTH SOLUTIONS, LLC","TRU INDEPENDENCE ASSET MANAGEMENT, LLC","801-78748",168256
1997391,"WELLS FARGO SECURITIES","WELLS FARGO SECURITIES","",
1997234,"ASHTON THOMAS WRAP PROGRAM","ASHTON THOMAS PRIVATE WEALTH, LLC","",
1996860,"NORTHCAPE WEALTH MANAGEMENT WRAP FEE PROGRAM","NORTHCAPE WEALTH MANAGEMENT","801-120425",312350
1997391,"UBS FINANCIAL SERVICES INC.","UBS FINANCIAL SERVICES INC.","",
1997391,"RBC WEALTH MANAGEMENT","RBC WEALTH MANAGEMENT","",
1997391,"MORGAN STANLEY","MORGAN STANLEY","",
1995505,"CAERUS WRAP PROGRAM","CAERUS INVESTMENT ADVISORS, LLC","801-110401",171716
1997385,"UBS STRATEGIC WEALTH PORTFOLIO","UBS FINANCIAL SERVICES, INC.","",
1997385,"ENVESTNET WEALTH MANAGEMENT SOLUTIONS","ENVESTNET, INC.","",
1997385,"LOCKWOOD MANAGED ACCOUNTS PROGRAM","LOCKWOOD ADVISORS/PERSHING","",
1997385,"CHARLES SCHWAB MANAGED ACCOUNT ACCESS PROGRAM","CHARLES SCHWAB & CO., INC.","",
1997385,"UBS ACCESS ADVISORY PROGRAM","UBS FINANCIAL SERVICES, INC.","",
1997385,"WELLS MANAGED DIVERSIFIED PORTFOLIOS","WELLS FARGO BANK, N.A.","",
1999761,"ADVISORY SERVICES NETWORK LLC WRAP FEE PROGRAM","ADVISORY SERVICES NETWORK LLC","",
1997318,"UBS ACCESS PROGRAM","UBS FINANCIAL SERVICES INC.","801-7163",8174
1997318,"UBS INSTITUTIONAL CONSULTING PROGRAM","UBS FINANCIAL SERVICES INC.","801-7163",8174
1997318,"RBC MANAGED ACCOUNT PLATFORM (MAP)","RBC CAPITAL MARKETS, LLC","801-13059",31194
1997318,"JP MORGAN SECURITIES STRATEGIC INVESTMENT SERVICES (STRATIS)","J.P. MORGAN SECURITIES LLC","801-3702",79
1997318,"MERRILL LYNCH MANAGED ACCOUNT SERVICE","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","801-14235",7691
1997318,"WELLS FARGO BANK, NATIONAL ASSOCIATION","WELLS FARGO BANK","",
1997318,"MORGAN STANLEY SELECT UMA PROGRAM","MORGAN STANLEY","801-70103",149777
1997318,"UBS STRATEGIC WEALTH PORTFOLIO PROGRAM","UBS FINANCIAL SERVICES INC.","801-7163",8174
1997318,"WELLS FARGO MASTERS PROGRAM","WELLS FARGO ADVISORS","801-57434",11025
1997318,"JP MORGAN PORTFOLIO MANAGER PROGRAM (PMP)","J.P. MORGAN SECURITIES LLC","801-3702",79
1997318,"SCHWAB MARKETPLACE","CHARLES SCHWAB & CO., INC.","801-29938",5393
1997318,"CHARLES SCHWAB MANAGED ACCOUNT SELECT","CHARLES SCHWAB & CO., INC.","801-29938",5393
1997318,"CITIGROUP GLOBAL MARKETS FIDUCIARY SERVICES PROGRAM","CITIGROUP GLOBAL MARKETS INC.","801-3387",7059
1997318,"UBS ADVISOR ALLOCATION PROGRAM","UBS FINANCIAL SERVICES INC.","801-7163",8174
1997318,"GOLDMAN SACHS AND CO. GLOBAL MANAGER STRATEGIES SEPARATE ACCOUNT PROGRAM","GOLDMAN SACHS & CO. LLC","801-16048",361
1997318,"BAIRD RECOMMENDED MANAGERS PROGRAM","ROBERT W. BAIRD & CO. INCORPORATED","801-7571",8158
1997318,"WELLS FARGO PRIVATE ADVISOR NETWORK","WELLS FARGO ADVISORS","801-57434",11025
1997017,"SELECT UMA","MORGAN STANLEY","801-70103",149777
1997318,"UBS MANAGED ACCOUNTS CONSULTING (MAC)","UBS FINANCIAL SERVICES INC.","801-7163",8174
1997005,"GRAYSTONE PARTNERS WEALTH MANAGEMENT, LLC WRAP PROGRAM","GRAYSTONE PARTNERS WEALTH MANAGEMENT, LLC","801-117895",306068
1995905,"PARAMOUNT ASSOCIATES WEALTH MANAGEMENT, LLC","PARAMOUNT ASSOCIATES WEALTH MANAGEMENT","801-125797",288537
