"FilingID","ReferenceID","Name of Partner, etc."
1937921,284509,"LIGHTSWITCH CAPITAL GP, LLC"
1946806,454347,"HERITAGE POINT PARTNERS GP I, LLC"
1946806,311560,"HERITAGE POINT PARTNERS GP I, LLC"
1952775,237587,"LONG HILL CAPITAL VENTURE PARTNERS GP 1 PLUS, L.P."
1952775,251077,"LONG HILL CAPITAL VENTURE PARTNERS GP 1 PLUS, L.P."
1944956,438576,"HANABI CAPITAL FUND I GP, LLC"
1930755,170370,"LEP III MANAGEMENT LP - GENERAL PARTNER"
1930755,170370,"LEX CAPITAL MANAGEMENT INC. - MANAGER"
1930755,214027,"LEX ENERGY PARTNERS IV INC. - GENERAL PARTNER"
1930755,214027,"LEX CAPITAL MANAGEMENT INC. - MANAGER"
1930755,316638,"LEX ENERGY PARTNERS V INC. - GENERAL PARTNER"
1930755,316638,"LEX CAPITAL MANAGEMENT INC. - MANAGER"
1945703,368920,"LEAD CAPITAL PARTNERS, LLC"
1945703,368932,"LEAD CAPITAL PARTNERS, LLC"
1945703,368937,"LEAD CAPITAL PARTNERS, LLC"
1945703,368938,"LEAD CAPITAL PARTNERS, LLC"
1945703,368930,"LEAD CAPITAL PARTNERS, LLC"
1945703,368940,"LCP II MANAGER LLC"
1945703,368929,"LEAD CAPITAL PARTNERS, LLC"
1945703,368935,"LEAD CAPITAL PARTNERS, LLC"
1951018,211060,"INDIGO CAPITAL PARTNERS GP LLC"
1951018,211061,"INDIGO CAPITAL PARTNERS GP LLC"
1934508,280817,"MFO ASSET MANAGEMENT LTD"
1934508,280806,"MFO ASSET MANAGEMENT LTD"
1934508,280842,"MFO ASSET MANAGEMENT LTD"
1934508,280593,"MFO ASSET MANAGEMENT LTD"
1934508,280844,"MFO ASSET MANAGEMENT LTD"
1934508,280794,"MFO ASSET MANAGEMENT LTD"
1934508,280839,"MFO ASSET MANAGEMENT LTD"
1934508,315430,"MFO ASSET MANAGEMENT LTD"
1934508,315431,"MFO ASSET MANAGEMENT LTD"
1934508,280596,"MFO ASSET MANAGEMENT LTD"
1934508,280796,"MFO ASSET MANAGEMENT LTD"
1934508,280822,"MFO ASSET MANAGEMENT LTD"
1934508,315428,"MFO ASSET MANAGEMENT LTD"
1934508,369409,"MFO ASSET MANAGEMENT LTD"
1934508,315433,"MFO ASSET MANAGEMENT LTD"
1934508,437155,"MFO ASSET MANAGEMENT LTD"
1934508,437156,"MFO ASSET MANAGEMENT LTD"
1934508,437157,"MFO ASSET MANAGEMENT LTD"
1940016,367878,"ALIGN PARTNERS CAPITAL MANAGEMENT LIMITED"
1940016,367700,"ALIGN PARTNERS CAPITAL MANAGEMENT LIMITED"
1956289,285022,"HASSAN DAYEKH AND AHMED HENTATI"
1956289,459365,"HASSAN DAYEKH AND AHMED HENTATI"
1954345,219471,"ECHELON FUND GP LLC"
1951460,450899,"JBSL LEGAL FINANCE LLC (MANAGER)"
1951460,450898,"JBSL LEGAL FINANCE LLC (MANAGER)"
1957112,231693,"DELGATTO CAPITAL GROUP LLC"
1954579,289016,"FIFTY YEARS III GP, LLC"
1954579,289014,"FIFTY YEARS II GP, LLC"
1954579,289010,"FIFTY YEARS GP, LLC"
1954579,354882,"SETH BANNON, MANAGER"
1954579,354882,"ELZBIETA MADEJ, MANAGER"
1954579,354882,"FIFTY YEARS DEEP GP, LLC"
1955392,36048,"MILESTONE CAPITAL PARTNERS III LIMITED"
1951942,32904,"MARVIN V. BOLT (DIRECTOR)"
1951942,32904,"SWISS SELECT ADVISORS, LLC"
1951942,316066,"RUTH I. CLESS"
1946830,231884,"GABRIELE GREGO"
1946830,231884,"KAREN SCHWOK"
1946830,231887,"QUINTESSENTIAL PURE ACTIVIST FUND GP LLC"
1952158,192919,"MICAMOLD MULTI-MANAGER FUND GP, LLC"
1952225,452418,"COUNTERVIEW CAPITAL MANAGEMENT LLC"
1952225,253147,"COUNTERVIEW CAPITAL MANAGEMENT LLC"
1952225,253149,"COUNTERVIEW CAPITAL MANAGEMENT LLC"
1952225,232094,"COUNTERVIEW CAPITAL MANAGEMENT LLC"
1952225,232086,"COUNTERVIEW CAPITAL MANAGEMENT LLC"
1952225,232087,"COUNTERVIEW CAPITAL MANAGEMENT LLC"
1952225,232097,"COUNTERVIEW CAPITAL MANAGEMENT LLC"
1952225,232084,"COUNTERVIEW CAPITAL MANAGEMENT LLC"
1952225,282903,"COUNTERVIEW CAPITAL MANAGEMENT LLC"
1936267,370648,"RESILIENCEVC GP I LLC (GENERAL PARTNER)"
1936267,370648,"RESILIENCEVC LLC (MANAGER)"
