"FilingID","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","Telephone Number","Facsimile Number","Branch Number","Employees","BD","Bank","Insurance","Commodity","Municipal","Accounting","Law","Other"
1957112,"THE PARAGON,1 KRAMER RD","SUITE G1,E7","BEDFORDVIEW, JOHANNESBURG","","South Africa","2007","N","27 11 027 9130","",,1,"N","N","N","N","N","N","N",""
1957112,"28-B ALMAS TOWER, JUMEIRAH LAKES TOWERS","","DUBAI","","United Arab Emirates","","N","9714-5832532","",,2,"N","N","N","N","N","N","N",""
1957112,"256 WORTH AVE.","SUITE 210","PALM BEACH","FL","United States","33480","N","561-249-1845","",,2,"N","N","N","N","N","N","N",""
1957112,"3436 BRUTON STREET","","LONDON","","United Kingdom","W1J6QX","N","917-698-6603","",,1,"N","N","N","N","N","N","N",""
1951608,"13-15, AVENUE DE LA LIBERTÉ","","LUXEMBOURG","","Luxembourg","1931","N","+3522649792213","",,1,"N","N","N","N","N","N","N",""
1960431,"","","","","","","Y","2404766786","",,1,"N","N","N","N","N","N","N",""
1934064,"777 WEST PUTNAM AVENUE","SUITE 3","GREENWICH","CT","United States","06830","N","212-612-3006","",,2,"N","N","N","N","N","N","N",""
1937738,"ONE BANK STREET","SECOND FLOOR","WILLIAMSTOWN","MA","United States","01267","N","646-374-1792","",,1,"N","N","N","N","N","N","N",""
1955465,"595 MADISON AVENUE","","NEW YORK","NY","United States","10022","N","(212) 223-7400","",,5,"N","N","N","N","N","N","N",""
1949951,"CLAUDIO COELLO 33 2O A","","MADRID","","Spain","28001","N","+34915789257","",,1,"N","N","N","N","N","N","N",""
1953388,"81 GREENE STREET","FLOOR 2","NEW YORK","NY","United States","10012","N","6174532250","",,4,"N","N","N","N","N","N","N",""
1945018,"9/F, EAST TOWER, GENESIS BEIJING,","8 XINYUAN SOUTH ROAD, CHAOYANG DISTRICT,","BEIJING","","China","","N","+86 10 5802 39","",,0,"N","N","N","N","N","N","N",""
1945018,"40/F, HKRI CENTRE ONE, 288 SHIMEN FIRST ROAD,","","SHANGHAI","","China","","N","+86 21 6170 55","",,0,"N","N","N","N","N","N","N",""
1942190,"","","","","","","Y","203-482-5805","",,1,"N","N","N","N","N","N","N",""
1945017,"9/F, EAST TOWER, GENESIS BEIJING,","8 XINYUAN SOUTH ROAD, CHAOYANG DISTRICT,","BEIJING","","China","","N","+86 10 5802 39","",,0,"N","N","N","N","N","N","N",""
1945017,"40/F, HKRI CENTRE ONE, 288 SHIMEN FIRST ROAD,","","SHANGHAI","","China","","N","+86 21 6170 55","",,0,"N","N","N","N","N","N","N",""
1945021,"9/F, EAST TOWER, GENESIS BEIJING,","8 XINYUAN SOUTH ROAD, CHAOYANG DISTRICT,","BEIJING","","China","","N","+86 10 5802 39","",,0,"N","N","N","N","N","N","N",""
1945021,"40/F, HKRI CENTRE ONE, 288 SHIMEN FIRST ROAD,","","SHANGHAI","","China","","N","+86 21 6170 55","",,0,"N","N","N","N","N","N","N",""
1953619,"C/O IQ EQ FUND SERVICES (MAURITIUS) LTD","33, EDITH CAVELL STREET","PORT LOUIS","","Mauritius","11324","N","+2302129800","+2302129833",,2,"N","N","N","N","N","N","N",""
1961039,"475 GATE FIVE ROAD","SUITE 324","SAUSALITO","CA","United States","94965","N","415-331-7100","",,1,"N","N","N","N","N","N","N",""
1941369,"2 PRODROMOU & DIMITRAKOPOULOU STR.","","NICOSIA","","Cyprus","1090","N","+357 96 300353","",,2,"N","N","N","N","N","N","N",""
1941369,"15 GHETARILOR, 1ST DISTRICT","HERASTRAU OFFICE BUILDING (3RD FLOOR)","BUCHAREST","","Romania","014106","N","+40 31 4322988","+40 31 4322987",,4,"N","N","N","N","N","N","N",""
1941369,"UL. GRZYBOWSKA 5A","","WARSAW","","Poland","00-132","N","+48 22 5645858","+48 22 5645859",,10,"N","N","N","N","N","N","N",""
1947472,"UNIT 1401, 14/F, CAR PO COMMERCIAL BUILDING","18-20 LYNDHURST TERRACE, CENTRAL","HONG KONG","","Hong Kong","","N","852-2815-7746","",,1,"N","N","N","N","N","N","N",""
1951590,"ROOM 1901, 19/F, LEE GARDEN ONE","NO. 33, HYSAN AVENUE","CAUSEWAY BAY","","Hong Kong","","N","0085228480186","0085228459198",,4,"N","N","N","N","N","N","N",""
1951590,"","","","","","","Y","00862161414788","00862161414789",,1,"N","N","N","N","N","N","N",""
1961389,"","","","","","","Y","3103442626","",,1,"N","N","N","N","N","N","N",""
1949206,"1 FINSBURY AVENUE","FLOOR 2","LONDON","","United Kingdom","EC2M 2PF","N","44-203356-1800","",,0,"N","N","N","N","N","N","N",""
1949868,"CLAUDIO COELLO 33 2O A","","MADRID","","Spain","28001","N","34 91 578 9257","",,1,"N","N","N","N","N","N","N",""
1949278,"39 BROADWAY","STE 1830","NY","NY","United States","10006","N","2127427002","",,1,"N","N","N","N","N","N","N",""
1946832,"","","","","","","Y","6465351002","",,1,"N","N","N","Y","N","N","N",""
1942369,"116 NATOMA STREET, 110","","SAN FRANCISCO","CA","United States","94105","N","N/A","",,2,"N","N","N","N","N","N","N",""
1943563,"3 ST JAMES'S SQUARE","","LONDON","","United Kingdom","SW1Y4JU","N","+4420344384","",,7,"N","N","N","N","N","N","N",""
1937823,"MIKONKATU 2D","","HELSINKI","","Finland","00100","N","08 51 75 85 00","",,10,"N","N","N","N","N","N","N",""
1937823,"FRIDTJOF NANSENS PLASS 5","","OSLO","","Norway","160","N","47 23 00 31 00","",,4,"N","N","N","N","N","N","N",""
1937823,"BLOX,BRYGHUSPLADSEN 8C","","COPENHAGEN","","Denmark","1473","N","+45 88 96 87 8","",,13,"N","N","N","N","N","N","N",""
1941218,"1533 LEWIS ST","PO 220","INDIANAPOLIS","IN","United States","46202","N","219-819-2002","",,2,"N","N","N","N","N","N","N","SOURCE, MEET WITH AND EVALUATE POTENTIAL STARTUP INVESTMENTS"
1944095,"","","","","","","Y","917-565-9194","",,1,"N","N","N","N","N","N","N",""
1949184,"806 JOHNNIE DODDS BLVD","","MT. PLEASENT","SC","United States","29464","N","6309880334","",,1,"N","N","N","N","N","N","N",""
1937139,"NIHONBASHI MUROMACHI MITSUI TOWER 7F","3-2-1 NIHONBASHI MUROMACHI, CHUO-KU","TOKYO","","Japan","103-0022","N","+818096635545","",,3,"N","N","N","N","N","N","N",""
1955414,"55 POST ROAD WEST","2ND FLOOR","WESTPORT","CT","United States","06880","N","212-581-2000","",,3,"N","N","N","N","N","N","N",""
1947610,"101 CHURCH STREET, SUITE D","","VIENNA","VA","United States","22180","N","(612) 217-8688","",,2,"N","N","N","N","N","N","N",""
1937391,"AV. PAULISTA 1337 20TH FLOOR","","SAO PAULO","","Brazil","01311-200","N","+55 11 9916698","",315221,3,"N","N","N","N","N","N","N",""
1942575,"ROTHSCHILD BLVD 18","","TEL AVIV-YAFO","","Israel","6688121","N","+97237307044","",,2,"N","N","N","N","N","N","N",""
1956026,"171 N ABERDEEN ST SUITE 400","","CHICAGO","IL","United States","60607","N","(312) 834-3213","",,3,"N","N","N","N","N","N","N",""
1952058,"NO 2 LANE 25 XIAMEN STREET","","TAIPEI","","Taiwan,  Republic of China","","N","886-225770885","882-225770885",,0,"N","N","N","N","N","N","N",""
1955829,"206B & 208B TELOK AYER STREET","","SINGAPORE","","Singapore","068641","N","+6565000911","+6562385621",,4,"N","N","N","N","N","N","N",""
1955829,"EQUITY TOWER, 33RD FLOOOR, SUITE 33A, SCBD, LOT 9","JL. JEND. SUNDIRMAN KAV. 52-53","JAKARTA","","Indonesia","12190","N","+622157973086","+622157973070",,5,"N","N","N","N","N","N","N",""
1955829,"UNIT 1108, 11TH FLOOR, ME LINH POINT TOWER","NO.2, NGO DUC KE STREET, DISTRICT 1","HO CHI MINH","","Vietnam","","N","+842873018883","",,5,"N","N","N","N","N","N","N",""
1955829,"54BB TOWER, ROOM 1710","SUKHUMVIT 21 (ASOK) RD., KLONGTOEY NUA, WATTANA","BANGKOK","","Thailand","10110","N","+60322970180","",,0,"N","N","N","N","N","N","N",""
1958138,"LUDWIGSTRAßE 9","","MÜNCHEN","","Germany","80539","N","+4989954572","",,2,"N","N","N","N","N","N","N",""
1946690,"","","","","","","Y","2482270333","",,1,"N","N","N","N","N","N","N",""
1950613,"33 W 17TH ST","SUITE 401","NEW YORK","NY","United States","10011","N","305-834-8372","",,1,"N","N","N","N","N","N","N",""
1950613,"","","","","","","Y","305-834-8372","",,1,"N","N","N","N","N","N","N",""
1935935,"","","","","","","Y","5614863054","",495286,1,"Y","N","N","N","N","N","N",""
1947152,"","","","","","","Y","732-406-2970","",,1,"N","N","N","N","N","N","N",""
