"FilingID","Wrap Fee Program","Sponsor","Sponsor SEC File Number","Sponsor CRD Number"
1992460,"ADVISOR MANAGED PORTFOLIOS","VISION2020 WEALTH MANAGEMENT CORP.","801-71541",154149
1992460,"SIGNATOR MANAGED ACCOUNT PLATFORM","OSAIC WEALTH, INC.","801-54859",23131
1992460,"SCHWAB - ADVISOR MANAGED PORTFOLIOS","VISION2020 WEALTH MANAGEMENT CORP.","801-71541",154149
1992664,"GLOBAL MANAGER STRATEGIES SEPARATE ACCOUNT PROGRAM","GOLDMAN SACHS & CO. LLC","801-16048",361
1992664,"UBS FINANCIAL SERVICES INC. MANAGED ACCOUNTS CONSULTING","UBS FINANCIAL SERVICES INC.","801-7163",8174
1992664,"MANAGED ACCOUNT MARKETPLACE","CHARLES SCHWAB & CO., INC.","801-29938",5393
1992664,"UBS FINANCIAL SERVICES INC. ACCESS","UBS FINANCIAL SERVICES INC.","801-7163",8174
1992664,"UBS FINANCIAL SERVICES INC. STRATEGIC WEALTH PORTFOLIO","UBS FINANCIAL SERVICES INC.","801-7163",8174
1992664,"UBS FINANCIAL SERVICES INC. ADVISOR ALLOCATION","UBS FINANCIAL SERVICES INC.","801-7163",8174
1992674,"MANAGED ACCOUNT SERVICE (MAS)","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","801-14235",7691
1992674,"OUTSIDE MANAGER (OSM) PLATFORM","RAYMOND JAMES & ASSOCIATES, INC.","801-10418",705
1992674,"PRIVATE ADVISOR NETWORK (PAN)","WELLS FARGO ADVISORS","801-37967",19616
1992674,"STRATEGIC PORTFOLIO ADVISOR SERVICE (SPA)","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","801-14235",7691
1992674,"MANAGED ACCOUNT PROGRAM","ENVESTNET PMC","801-57260",111694
1992674,"BNYMA SPONSORED PROGRAM","BNY ADVISORS","801-52378",106108
1992674,"MANAGED ACCOUNT ACCESS","CHARLES SCHWAB & CO., INC.","801-29938",5393
1992674,"MANAGED ACCOUNTS CONSULTING (MAC)","UBS FINANCIAL SERVICES INC.","801-7163",8174
1992674,"MANAGER SELECT PROGRAM","LPL FINANCIAL LLC","801-10970",6413
1992674,"MANAGED ACCOUNT COMMAND","BNY ADVISORS","801-52378",106108
1992674,"SELECT UMA PROGRAM","MORGAN STANLEY","801-70103",149777
1992674,"DUAL CONTRACT PROGRAM","ROBERT W. BAIRD & CO. INCORPORATED","801-7571",8158
1992674,"CONSULTING AND EVALUATION SERVICES (CES) PROGRAM","MORGAN STANLEY","801-70103",149777
1992674,"INVESTMENT MANAGEMENT SERVICES (IMS) PROGRAM","MORGAN STANLEY","801-70103",149777
1992674,"MANAGED ACCOUNT MARKETPLACE","CHARLES SCHWAB & CO., INC.","801-29938",5393
1992674,"MANAGED ACCOUNT PROGRAM (MAP)","RBC CAPITAL MARKETS, LLC","801-13059",31194
1992674,"MODEL DELIVERY PROGRAM","BNY ADVISORS","801-52378",106108
1993410,"IMG MANAGED SHORT-TERM CREDIT FIXED INCOME PORTFOLIO","ARVEST WEALTH MANAGEMENT","801-63738",42057
1993081,"TEXAS CAPITAL BANK PRIVATE WEALTH ADVISORS WRAP PROGRAM","TEXAS CAPITAL BANK PRIVATE WEALTH ADVISORS","",298422
1993087,"INVESTMENT MANAGEMENT PROGRAM II","SANCHEZ WEALTH MANAGEMENT GROUP, LLC","801-78772",169274
1993410,"IMG STRATEGIC  ETF MODELS","ARVEST WEALTH MANAGEMENT","801-63738",42057
1993410,"IMG MANAGED CORE EQUITY PORTFOLIO","ARVEST WEALTH MANAGEMENT","801-63738",42057
1993410,"IMG MANAGED CREDIT FIXED INCOME PORTFOLIO","ARVEST WEALTH MANAGEMENT","801-63738",42057
1993410,"IMG MANAGED MUNICIPAL BOND PORTFOLIO","ARVEST WEALTH MANAGEMENT","801-63738",42057
1993410,"IMG MANAGED STRATEGIC EQUITY PORTFOLIO","ARVEST WEALTH MANAGEMENT","801-63738",42057
1993410,"IMG CORE FIXED INCOME PORTFOLIO","ARVEST WEALTH MANAGEMENT","801-63738",42057
1993410,"ADVISOR DIRECTED-DISCRETIONARY","ARVEST WEALTH MANAGEMENT","801-63738",42057
1993410,"IMG DIVIDEND INCOME AND GROWTH (DIG) PORTFOLIO","ARVEST WEALTH MANAGEMENT","801-63738",42057
1993410,"IMG BLENDED STRATEGIES PORTFOLIOS","ARVEST WEALTH MANAGEMENT","801-63738",42057
