"FilingID","Wrap Fee Program","Sponsor","Sponsor SEC File Number","Sponsor CRD Number"
1950098,"DEAN JACOBSON FINANCIAL SERVICES WRAP FEE PROGRAM","DEAN JACOBSON FINANCIAL SERVICES LLC","",
1942611,"JUPITER WEALTH MANAGEMENT, LLC","JUPITER WEALTH MANAGEMENT, LLC","801-114274",299220
1929234,"CONCENTRUM WEALTH MANAGEMENT WRAP PROGRAM","CONCENTRUM WEALTH MANAGEMENT","801-77888",167151
1940197,"NORTHSTAR ASSET MANAGEMENT PROGRAM","NORTHSTAR FINANCIAL COMPANIES, INC.","801-115004",119396
1931177,"INSIGHTS INVESTMENTS WRAP FEE PROGRAM","INSIGHTS INVESTMENTS","801-119340",309727
1920871,"THE HOLLAND GROUP WRAP FEE PROGRAM","THE HOLLAND GROUP, RETIREMENT WEALTH ADVISORS, LLC","801-128805",326421
1948903,"PURSUIT WEALTH MANAGEMENT WRAP FEE PROGRAM","PURSUIT WEALTH MANAGMENT LLC","801-118856",308969
1951829,"STRATEGIC ASSET MANAGEMENT","RELEVANT WEALTH ADVISORS, LLC","",
1948798,"BRADY FAMILY WEALTH WRAP FEE PROGRAM","BRADY FAMILY WEALTH, LLC","801-122035",315635
1942185,"724 CAPITAL, LLC WRAP FEE PROGRAM","724 CAPITAL, LLC","",318170
1952478,"AMS EQUITY PLUS PLATFORM","DIVERSIFY ADVISORY SERVICES, LLC","",
1928914,"WRAP FEE INVESTMENT PROGRAM","STEWARDSHIP ADVISORS, LLC","",
1955988,"ASSET MANAGEMENT SERVICES","GER LOFTIN WEALTH ADVISORS, LLC","801-117350",305359
1945616,"INVERA WEALTH WRAP FEE PROGRAM","INVERA WEALTH ADVISORS LLC","801-126833",323792
1941213,"ARCHER CONSULTING GROUP WRAP FEE PROGRAM","THE ARCHER CONSULTING GROUP, LLC","801-113282",156062
1958039,"GLOBAL MANAGER STRATEGIES SEPARATE ACCOUNT PROGRAM","GOLDMAN SACHS & CO. LLC","801-16048",361
1955695,"SEPARATE ACCOUNT WRAP PROGRAM","CHICAGO PARTNERS WEALTH ADVISORS, LLC","",
1955695,"ASSET MANAGEMENT SERVICES (AMS)","RAYMOND JAMES","",
1955695,"MANAGED ACCOUNT PROGRAM","RBC","",
1955695,"PRIVATE ADVISOR NETWORK PROGRAM","WELLS FARGO","",
1955695,"MANAGED ACCOUNT COMMAND","BNY MELLON ADVISORS","",
1955695,"MANAGED ACCOUNT CONSULTING","UBS MAC","",
1955695,"GLOBAL MANAGER STRATEGIES SEPARATE ACCOUNT PROGRAM","GOLDMAN, SACHS & CO.","",
1955695,"FIDUCIARY ASSET MANAGEMENT PROGRAM","MORGAN STANLEY SMITH BARNEY","",
1942479,"FORM ADV PART 2A APP 1 - WRAP FEE BROCHURE","SPECTRUM WEALTH ADVISORY GROUP, LLC","801-114024",298632
1955695,"MANAGER ACCESS PLATFORM","CHARLES SCHWAB","",
1955695,"MANAGED ACCOUNT MARKETPLACE","CHARLES SCHWAB","",
1955695,"SEPARATE ACCOUNT MANAGEMENT PROGRAM","DA DAVIDSON","",
1955695,"WEALTHCENTRAL PLATFORM","FIDELITY","",
1955695,"CORIENT SMA PLATFORM","CORIENT","",
1955695,"MAC PLATFORM","MORGAN STANLEY WEALTH MANAGEMENT","",
1955695,"MANAGED ACCOUNT SOLUTIONS","PERSHING","",
1928636,"UMA PROGRAM","FULTON BANK","",
1928636,"UMA PROGRAM","SMARTLEAF INC.","",
1928636,"CHASE WEALTH MANAGEMENT","J.P. MORGAN SECURITIES LLC","801-3702",79
1928636,"ACCESS OVERLAY 1 AND 2","LPL FINANCIAL LLC","801-10970",6413
1928636,"SVB WEALTH ADVISORY SMA PLATFORM","SVB INVESTMENT SERVICES INC.","801-78209",168116
1928636,"KEY PRIVATE BANK SMA PLATFORM","KEYBANK NATIONAL ASSOCIATION","",
1928636,"MERRILL 1PLATFORM","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","801-14235",7691
1928636,"UMA STRATEGIST","AMERIPRISE FINANCIAL SERVICES, LLC","801-28543",6363
1928636,"UNIFIED MANAGED ACCOUNTS PROGRAM","BNY ADVISORS","801-52378",106108
1928636,"UMA PROGRAM","ELEVATION POINT WEALTH PARTNERS, LLC","801-65068",137068
1928636,"AMC PREMIER PLATFORM","TRUIST INVESTMENT SERVICES, INC.","8-35355",17499
1928636,"FREEDOM UMA PROGRAM","RAYMOND JAMES & ASSOCIATES, INC.","801-10418",705
1928636,"CONSULTING EVALUATION SERVICES","MORGAN STANLEY","801-70103",149777
1928636,"SELECT ACCOUNT PLATFORM","AMERIPRISE FINANCIAL SERVICES, LLC","801-28543",6363
1928636,"SELECT UMA","MORGAN STANLEY","801-70103",149777
1928636,"WEALTHADV UMA","ADHESION WEALTH ADVISOR SOLUTIONS","801-67829",143593
1928636,"US BANK UMA PROGRAM","US BANK","",
1928636,"WELLS FARGO PRIVATE ADVISORY NETWORK PROGRAM","WELLS FARGO ADVISORS","801-57434",11025
1928636,"SELECT UMA","SYSTM WEALTH SOLUTIONS","801-126218",321267
1928636,"GLOBAL MANAGER STRATEGIES SEPARATE ACCOUNT PROGRAM","GOLDMAN SACHS & CO. LLC","801-16048",361
1928636,"UNIFIED OVERLAY MANAGEMENT PROGRAM","FDX ADVISORS, INC.","801-29775",104601
1928636,"ENVESTNET UMA PROGRAM","ENVESTNET PMC","801-57260",111694
1928636,"CALLAN UMA PROGRAM","NATIXIS ADVISORS, LLC","801-48408",106800
1928636,"CHARLES SCHWAB MARKET PLACE","CHARLES SCHWAB & CO., INC.","801-29938",5393
1928636,"CHARLES SCHWAB ACCESS PROGRAM","CHARLES SCHWAB & CO., INC.","801-29938",5393
1928636,"STRATIS","J.P. MORGAN SECURITIES LLC","801-3702",79
1928636,"MERRILL LYNCH UMA PROGRAM","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","801-14235",7691
1928636,"PRIVATE BANK","CITIGROUP GLOBAL MARKETS INC.","801-3387",7059
1928636,"UNIFIED MANAGED ACCOUNTS UMA","J.P. MORGAN SECURITIES LLC","801-3702",79
1928636,"LOCKWOOD MANAGED ACCOUNT COMMAND","BNY ADVISORS","801-52378",106108
1928636,"MERRILL LYNCH CONSULTS PROGRAM","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","801-14235",7691
1928636,"MERRILL LYNCH ADVISORY PROGRAM","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","801-14235",7691
1928636,"OUTSIDE MANAGEMENT PROGRAM","RAYMOND JAMES & ASSOCIATES, INC.","801-10418",705
1928636,"VESTMARK MANAGER MARKETPLACE","VESTMARK ADVISORY SOLUTIONS, INC.","801-107854",221518
1928636,"UMA PROGRAM","ICR PARTNERS","801-117434",304689
1928636,"NUCLEUS MODEL MARKETPLACE","ADVYZON INVESTMENT MANAGEMENT, LLC","801-123361",318816
1928636,"PUMA (PERONALIZED UMA)","WELLS FARGO ADVISORS","801-37967",19616
1928636,"MAC (MANAGED ACCOUNTS CONSULTING)","UBS FINANCIAL SERVICES INC.","801-7163",8174
1928636,"SAN (SEPARATE ACCOUNT NETWORK) PLATFORM","FIDELITY BROKERAGE SERVICES LLC","8-23292",7784
1928636,"FMAX","FIDELITY INSTITUTIONAL WEALTH ADVISER LLC","801-116860",301896
1955407,"PENSERRA WRAP FEE PROGRAM","PENSERRA WEALTH MANAGEMENT","801-131343",333218
1939607,"MANAGER SELECT","LPL FINANCIAL LLC","801-10970",6413
1947570,"CLIENT FIRST WRAP FEE PROGRAM","CLIENT FIRST WRAP FEE PROGRAM","",
1939607,"PRIVATE ADVISOR NETWORK","WELLS FARGO ADVISORS","801-57434",11025
1939607,"PERSONALIZED UMA","WELLS FARGO ADVISORS","801-57434",11025
1939607,"INVESTMENT MANAGEMENT SERVICES","MORGAN STANLEY","801-70103",149777
1939607,"S-MAP ADVISORY WRAP PROGRAM","CETERA ADVISOR NETWORKS LLC","801-47342",13572
1939607,"ACCESS","UBS FINANCIAL SERVICES INC.","801-7163",8174
1939607,"STRATEGIC WEALTH PORTFOLIO","UBS FINANCIAL SERVICES INC.","801-7163",8174
1939607,"MANAGER ACCESS NETWORK","LPL FINANCIAL LLC","801-10970",6413
1939607,"STRATEGIC PORTFOLIO ADVISOR SERVICE","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","801-14235",7691
1939607,"OUTSIDE MANAGER PROGRAM","RAYMOND JAMES & ASSOCIATES, INC.","801-10418",705
1939607,"ENVESTNET PORTFOLIO SOLUTIONS","ENVESTNET PMC","801-57260",111694
1939607,"MANAGED ACCOUNT MARKETPLACE","CHARLES SCHWAB & CO., INC.","801-29938",5393
1939607,"STIFEL OPPORTUNITY PROGRAM","STIFEL, NICOLAUS & COMPANY, INCORPORATED","801-10746",793
1939607,"LOCKWOOD - PERSHING ADVISOR SOLUTIONS","PERSHING LLC","8-17574",7560
1939607,"UNITED COMMUNITY BANK","UNITED COMMUNITY BANK","",
