"FilingID","Full Legal Name","CIK Number"
1988527,"HSBC HOLDINGS PLC",1089113
1998777,"TOYOTA MOTOR CORPORATION",1094517
1997777,"ARES MANAGEMENT CORPORATION",1176948
1995859,"CBRE GROUP, INC.",1138118
1991744,"PRUDENTIAL FINANCIAL INC",1137774
1998359,"SONY GROUP CORP",313838
1995366,"AFFILIATED MANAGERS GROUP, INC.",1004434
1995366,"DAI-ICHI LIFE HOLDINGS, INC.",948518
1996244,"MANULIFE FINANCIAL CORPORATION",1086888
1995543,"AIR T, INC.",353184
1995943,"AFFILIATED MANAGERS GROUP, INC.",1004434
1995943,"DAI-ICHI LIFE HOLDINGS, INC.",948518
1998811,"BLACKROCK, INC.",2012383
1998813,"BLACKROCK, INC.",2012383
1997942,"DOMINARI HOLDINGS INC.",12239
1997689,"DIGITALBRIDGE GROUP, INC.",1679688
1997734,"STEPSTONE GROUP INC.",1796022
1996835,"LEGAL & GENERAL GROUP PLC",1417162
1995646,"DEUTSCHE BANK AG",948046
