"FilingID","Fund Name","Fund ID","Adviser Name","Adviser SEC Number","Clients Solicited?"
1950395,"WHITNEY CAPITAL SERIES FUND LLC",805-3974373214,"SCHONFELD STRATEGIC ADVISORS LLC","801-106963","N"
1943734,"HFREU PROXIMUS FUND",805-6655416292,"HFR ASSET MANAGEMENT, L.L.C","801-60143","N"
1943734,"NEW HOLLAND TACTICAL ALPHA FUND LP",805-4079867382,"NEW HOLLAND CAPITAL, LLC","801-74244","N"
1952376,"SIT MUNICIPAL OPPORTUNITY BOND FUND, LLC",805-6295981261,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1960006,"NORTH HAVEN ALTERNATIVES INSURANCE FUND A SERIES INTERESTS OF THE SALI MULTI-SERIES FUND, L.P.",805-1371175540,"SALI FUND SERVICES","801-61702","N"
1958630,"BOOTHBAY DIVERSIFIED ALPHA MASTER FUND LP",805-3035644699,"BOOTHBAY FUND MANAGEMENT","801-80018","N"
1958630,"BOOTHBAY ABSOLUTE RETURN STRATEGIES, LP",805-5663558974,"BOOTHBAY FUND MANAGEMENT","801-80018","N"
1950269,"ABS DIRECT EQUITY FUND LLC - LATAM SERIES 1",805-1228255364,"ABS GLOBAL INVESTMENTS","801-62188","N"
1947710,"EAGLE HARBOR MULTI-STRATEGY MASTER FUND LIMITED",805-5201965961,"LIGHTHOUSE INVESTMENT PARTNERS, LLC","801-64978","N"
1947710,"OPPORTUNISTIC ACCESS MASTER FUND, LP",805-3180424275,"JPMORGAN ALTERNATIVE ASSET MANAGEMENT","801-38319","N"
1943826,"SALI MULTISERIES FUND, L.P.",805-9473799224,"SALI FUND SERVICES","801-61702","N"
1949786,"HELIOS INVESTORS III LP",805-3326891827,"HELIOS INVESTMENT PARTNERS LLP","802-75753","N"
1949315,"DEUTSCHE REAL ASSETS FUND: CAYMAN REAL ASSETS FUND, LTD",805-3785921345,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.","801-252","N"
1949315,"DB REAL ESTATE GLOBAL OPPORTUNITIES IB, LP",805-2005396818,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.","801-252","N"
1958334,"KINTEGRAL INSURANCE FUND I, A SERIES OF SALI MULTI-SERIES FUND V, L.P.",805-7843472175,"SALI FUND SERVICES","801-61702","N"
1952376,"SIT OPPORTUNITY BOND FUND, LLC",805-8960208259,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1952376,"SIT MINNESOTA MUNICIPAL BOND FUND, LLC",805-8609888279,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1952376,"SIT SHORT DURATION GOVERNMENT FUND, LLC",805-3095801302,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1952376,"SIT BOND PORTFOLIO, L.P.",805-9368077459,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1952376,"SIT ALPHA II BOND FUND, LTD.",805-7134336097,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1952376,"SIT ALPHA III BOND FUND, LTD.",805-8571131232,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1952376,"SIT CUSTOM ALPHA FUND, L.P. - SERIES A",805-7129740805,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1952376,"SIT CUSTOM ALPHA FUND, L.P. - SERIES B",805-1534712963,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1952376,"SIT CUSTOM ALPHA FUND, L.P. - SERIES C",805-2069121287,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1952376,"SIT CUSTOM ALPHA FUND, L.P. - SERIES E",805-9748423239,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1952376,"SIT CUSTOM ALPHA FUND, L.P. - SERIES F",805-5457692188,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1952376,"SIT CUSTOM ALPHA FUND, L.P. - SERIES G",805-1229031079,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1952376,"SIT OFFSHORE CUSTOM ALPHA FUND SPC - SEGREGATED PORTFOLIO A",805-1732856697,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1952376,"SIT OFFSHORE CUSTOM ALPHA FUND SPC - SEGREGATED PORTFOLIO B",805-7217197386,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1952376,"SIT TARGETED OPPORTUNITY FUND, LLC",805-6482167390,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1952376,"SIT TOTAL RETURN BOND FUND, LLC",805-6180456969,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1952376,"SIT HIGH INCOME RETURN PLUS FUND, LLC",805-7990073159,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1952376,"SIT OFFSHORE CUSTOM ALPHA FUND SPC - SEGREGATED PORTFOLIO C",805-7557258379,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1952376,"SIT CUSTOM ALPHA FUND, L.P. - SERIES H",805-7175024776,"SIT FIXED INCOME ADVISORS II, LLC","801-55201","N"
1940772,"WHITNEY CAPITAL SERIES FUND LLC",805-3974373214,"SCHONFELD STRATEGIC ADVISORS LLC","801-106963","N"
1940772,"EAGLE CAPITAL SERIES FUND LLC - SERIES A3",805-1532318191,"SCHONFELD STRATEGIC ADVISORS LLC","801-106963","N"
1940772,"DUKE CAPITAL SERIES FUND LLC",805-8694674034,"SCHONFELD STRATEGIC ADVISORS LLC","801-106963","N"
1940772,"EMORY CAPITAL SERIES FUND LLC",805-6543531376,"SCHONFELD STRATEGIC ADVISORS LLC","801-106963","N"
1942249,"CAPITAL Z N2 ALTERNATIVE ASSET INVESTORS, LLC",805-4998502224,"CZ HEDGE MANAGEMENT, LLC","802-74991","N"
1947062,"COMPASS EUROPEAN INFRASTRUCTURE SCSP",805-3125330400,"DWS INVESTMENT S.A.","802-115197","N"
1953320,"AFPC DIVERSIFIED PARTNERS III, L.P.",805-6868774697,"DIVERSIFIED PARTNERS, INC.","801-57543","N"
1953320,"CMWA SMALL CAP FUND LLC",805-8712020463,"CM WEALTH ADVISORS LLC","801-62376","N"
1923322,"NR 1 SP, A SEGREGATED PORTFOLIO OF NORTH ROCK SPC",805-5517156357,"LIGHTHOUSE INVESTMENT PARTNERS, LLC","801-64978","N"
1949023,"FIAM GLOBAL CREDIT EX-U.S. HEDGED FUND, LP",805-4029340684,"FIAM LLC","801-63658","N"
1949023,"FIAM GLOBAL FOUNDERS FUND LP",805-2802861464,"FIAM LLC","801-63658","N"
1945577,"SCALEBUILDER ALLOCATION FORMAT LP",805-6372209330,"SCALEBUILDER, LLC","801-126334","N"
1945577,"POINT72 ASSOCIATES, LLC",805-5793294177,"POINT72 ASSET MANAGEMENT, L.P.","801-107348","N"
1947062,"DB REAL ESTATE GLOBAL OPPORTUNITIES IB. L.P.",805-2005396818,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.","801-252","N"
1947062,"AWM LUXEMBOURG S.A. - SICAV-SIF -  EUROPEAN PROPERTY FUND",805-6785513745,"DWS INVESTMENT S.A.","802-115197","N"
1947062,"PAN-EUROPEAN INFRASTRUCTURE FUND III SCSP",805-9992626654,"DWS INVESTMENT S.A.","802-115197","N"
