"FilingID","Name","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","Phone","Fax","Type","Description"
1981548,"JARRED BASSETT","159 W 25TH ST.","SUITE 513","NEW YORK","NY","United States","10011","N","2698060201","","One of your branch offices or affiliates","THE BUSINESS AND CLIENT RECORDS OF THE ADVISOR."
1981548,"NAV FUND SERVICES","1 TRANS AM PLAZA DRIVE","","OAKBROOK TERRACE","IL","United States","60181","N","(630) 954-1919","","A third-party unaffiliated record keeper","PRIVATE FUND FINANCIAL STATEMENTS AND RELATED BOOKS AND RECORDS (SUCH AS KNOW-YOUR-CLIENT DOCUMENTS AND SUBSCRIPTION DOCUMENTS)"
2004033,"SISU CAPITAL LIMITED","96 KENSINGTON HIGH STREET","","LONDON","","United Kingdom","W8 4SG","N","+44 72905450","","One of your branch offices or affiliates","BOOKS AND RECORDS ARE MAINTAINED AND STORED BY THE FIRM, SISU CAPITAL LIMITED"
1985702,"STANDISH MANAGEMENT","3300 NORTH ASHTON BLVD","SUITE 240","LEHI","UT","United States","84043","N","385-722-4861","","A third-party unaffiliated record keeper","STANDISH MANAGEMENT IS THE INDEPENDENT FUND ADMINISTRATOR TO THE PRIVATE FUND ADVISED BY PILATUS CAPITAL LLC AND MAINTAINS CERTAIN OF THE PRIVATE FUND'S ACCOUNTING BOOKS AND RECORDS."
1996769,"CARTA","195 PAGE MILL RD #101","","PALO ALTO","CA","United States","94306","N","801-890-7542","","A third-party unaffiliated record keeper","CARTA IS AN UNAFFILIATED THIRD-PARTY FUND ADMINISTRATOR THAT IS THE ADMINISTRATOR FOR A FUND MANAGED BY THE ADVISER.  CARTA MAINTAINS SOME OF SUCH FUND'S ADMINISTRATIVE BOOKS AND RECORDS."
1996769,"AFI CAPITAL PARTNERS LLC","","","","","","","Y","8-817-6540","","One of your branch offices or affiliates","CERTAIN ORGANIZATIONAL AND INVESTOR INFORMATION RECORDS."
2005445,"WESPI & PARTNER AG","SEIDENSTRASSE 4","","WALLISELLEN","","Switzerland","8304","N","41432663620","","Other","UNAFFILIATED ACCOUNTANT"
2000501,"MGX FUND MANAGEMENT (US) LLC","ONE VANDERBILT AVENUE","51ST FLOOR","NEW YORK","NY","United States","10017","N","212-914-9400","","One of your branch offices or affiliates","BOOKS AND RECORDS RELATED TO U.S. ACTIVITIES, INCLUDING FINANCIAL, INVESTMENT, COMPLIANCE, CORPORATE GOVERNANCE, AND OPERATIONAL RECORDS."
2000501,"MICROSOFT CLOUD","ONE MICROSOFT WAY","","REDMOND","WA","United States","98052","N","877-696-7786","","A third-party unaffiliated record keeper","BOOKS AND RECORDS INCLUDE INVESTMENT- AND PORTFOLIO-RELATED DATA (STORED AND PROCESSED WITHIN AZURE AND MICROSOFT 365), SECURITY AND COMPLIANCE LOGS (AUDIT LOGS, ACCESS CONTROLS), OPERATIONAL RECORDS (INFRASTRUCTURE MONITORING, SYSTEM PERFORMANCE DATA, AND SERVICE HEALTH REPORTS), FINANCIAL AND BILLING RECORDS (SUBSCRIPTION DETAILS, INVOICES), AND REGULATORY AND LEGAL COMPLIANCE DOCUMENTATION."
2006694,"NX WANBISHI ARCHIVES","4-1-28 TORANOMON, MINATO-KU","","TOKYO","","Japan","105-0001","N","81 354255100","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"SHRED IT DUBAI","10 SAN'A RD - RAS AL KHOR INDUSTRIAL AREA","","DUBAI","","United Arab Emirates","48852","N","97143403588","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"EVENSONBEST LLC","55 5TH AVE FL 12","","NEW YORK","NY","United States","10003","N","212 5498000","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"IRON MOUNTAIN DO BRASIL LTDA.","AV PREFEITO JOÃO VILALLOBO QUERO, 1200","","BARUERI- SÃO PAULO","","Brazil","06400-001","N","55 11 37670818","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"IRON MOUNTAIN LTD","5443 S. 108TH E AVE","","TULSA","OK","United States","74146","N","918 280 0841","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"CISCRA SPA","VIA SAN MICHELE, 36","","VILLANOVA DEL GHEBBO RO","","Italy","45020","N","390425651111","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"MITSUI SOKO BUSINESS PARTNERS","5-1-1, OMAGARIKOGYODANCHI, KITAHIROSHIMA SHI","","HOKKAIDO","","Japan","061-1274","N","81 11 376 2801","","A third-party unaffiliated record keeper","CERTAIN BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH APPROPRIATE REGULATORY REQUIREMENTS."
2006694,"JANNEY MONTGOMERY SCOTT, LLC","1717 ARCH STREET","","PHILADELPHIA","PA","United States","19103","N","2156656000","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"UBS FINANCIAL SERVICES, INC","1000 HARBOR BOULEVARD","","WEEHAWKEN","NJ","United States","07086","N","2013523000","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"MYCOMPLIANCEOFFICE","535 5TH AVENUE, 4TH FLOOR","","NEW YORK","NY","United States","10017","N","8669512280","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"CROWN WORLDWIDE PTE LTD","MALLARDS ROAD","","PETERBOROUGH","","United Kingdom","PE3 8YN","N","020 7510 9892","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"AMAZON WEB SERVICES, INC","410 TERRY AVENUE NORTH","","SEATTLE","WA","United States","98109","N","2062661000","","A third-party unaffiliated record keeper","BOOKS AND RECORDS KEPT WITH ACCORDANCE OF STATE REGULATORS"
2006694,"CROWN RECORDS MANAGEMENT LTD","UNIT D, PROLOGIS BUSINESS PARK","","LONDON","","United Kingdom","E3 3JG","N","4410000000000","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"IRON MOUNTAIN LTD","175 BEARFOOT RD.","","NORTHBOROUGH","MA","United States","01532","N","800 934 3453","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"MICROSOFT CORPORATION","6880 SIERRA CENTER PKWY","","RENO","NV","United States","89511","N","7758235600","","A third-party unaffiliated record keeper","BOOKS AND RECORDS KEPT IN ACCORDANCE WITH THE STATE REGULATORS"
2006694,"FIDELITY INSTITUTIONAL WEALTH ADVISER LLC","245 SUMMER STREET","","BOSTON","MA","United States","02210","N","8003433548","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"IRON MOUNTAIN CANADA CORPORATION","70 TALMAN COURT","","CONCORD","","Canada","L4K 4L5","N","905 695 0564","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE MAINTAINED IN ACCORDANCE WITH CANADIAN LAWS AND REGULATIONS."
2006694,"CROWN WORLDWIDE (HK) LTD.","1 LEUNG YIP STREET","","HONG KONG","","China","","N","852 2636 8388","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"IRON MOUNTAIN MEXICO S DE RL DE CV","PARQUE INDUSTRIAL TOLUCA 2000","","TOLUCA","","Mexico","50200","N","800 5526246","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"IRON MOUNTAIN NEDERLAND B.V.","J. KEPLERWEG 2","","ALPHEN AAN DEN RIJN","","Netherlands","2408 AC","N","317 204 60070","","One of your branch offices or affiliates","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"UNE PIECE EN PLUS","1 RUE FRANCOIS JACOB","","RUEIL-MALMAISON","","France","92500","N","33 1 4137 9500","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"IRON MOUNTAIN INDIA PVT LTD","B-13B-15B PANDURANG BUDHKAR MARG, 1ST FL","","MUMBAI","","India","400 013","N","91 22 24988416","","A third-party unaffiliated record keeper","CERTAIN BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH APPROPRIATE REGULATORY REQUIREMENTS."
2006694,"AKTENEINLAGERUNG","STROOFSTRAßE 27","","FRANKFURT","","Germany","65933","N","4.9616E+11","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"IRON MOUNTAIN ESPANA SAU","CALLE DE LOS REYES CATÓLICOS, 6","","MADRID","","Spain","28108","N","34 958200697","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"CROWN WORLDWIDE KOREA","2201 GWANGHWAMOON OFFICIA 163","","SEOUL","","Korea, South","110-999","N","82 2 796 5717","","A third-party unaffiliated record keeper","CERTAIN BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH APPROPRIATE REGULATORY REQUIREMENTS."
2006694,"IRON MOUNTAIN SWITZERLAND LTD","GRUBENSTRASSE 11","","URTENEN-SCHÖNBÜHL","","Switzerland","3322","N","41800002424","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"IRON MOUNTAIN LTD","600 DISTRIBUTION DRIVE","","ATLANTA","GA","United States","30336","N","800 899 4766","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"VERTIV INFRASTRUCTURE LIMITED","STONEHAM PLACE, STONEHAM LN.","","SOUTHAMPTON","","United Kingdom","SO50 9NW","N","442380610311","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"ORION PORTOLIO SOLUTIONS","17605 WRIGHT STREET","","OMAHA","NE","United States","68130","N","4028951600","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"STIFEL","501 NORTH BROADWAY","","ST. LOUIS","MO","United States","63102","N","3143422000","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"SNOWFLAKE INC","450 CONCAR DR","","SAN MATEO","CA","United States","94402","N","8447669355","","A third-party unaffiliated record keeper","BOOKS AND RECORDS KEPT IN ACCORDANCE WITH THE STATE REGULATORS"
2006694,"MITSUI SOKO CO LTD KANTO BRANCH OFFICE","MSC CENTER BUILDING, 3-22-23 KAIGAN, MINATO-KU","","TOKYO","","Japan","108-0022","N","81364008300","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"MICROSOFT CORPORATION","NUMBER AND STREET","","RENO","NV","United States","89511-1137","N","7758235600","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"PNC","300 FIFTH AVENUE, 26TH FLOOR","","PITTSBURGH","PA","United States","15222","N","8887262265","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"FIS EMPLOYEE COMPLIANCE MANAGER","347 RIVERSIDE AVE","","JACKSONVILLE","FL","United States","32202","N","9074386000","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"ASSET MARK, INC","1655 GRANT STREET","","CONCORD","CA","United States","94520","N","8006645345","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"IRON MOUNTAIN LTD","100 HARBOR DRIVE","","JERSEY CITY","NJ","United States","07305","N","800 934 3453","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
2006694,"IRON MOUNTAIN COLOMBIA SAS","69B - 57, FONTIBÓN","","BOGOTÁ","","Colombia","110110","N","57 1 742 19 04","","A third-party unaffiliated record keeper","BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940."
