FilingID,FormVersion,DateSubmitted,1A,1B1,1C-Legal,1C-Business,1C-New Name,1D,1E1,1F1-Street 1,1F1-Street 2,1F1-City,1F1-State,1F1-Country,1F1-Postal,1F1-Private,1F2-M-F,1F2-Other,1F2-Hours,1F3,1F4,1F5,1G-Street 1,1G-Street 2,1G-City,1G-State,1G-Country,1G-Postal,1G-Private,1I,1L,1M,1N,1O,1OAmount,1P,2B1,2B2,2B3,2B-Assets,3A,3A-Other,3B,3C-State,3C-Country,6A1,6A2,6A3,6A4,6A5,6A6,6A7,6A8,6A9,6A10,6A11,6A12,6A13,6A14,6A14-Other,6B1,6B2,6B3,7A1,7A2,7A3,7A4,7A5,7A6,7A7,7A8,7A9,7A10,7A11,7A12,7A13,7A14,7A15,7A16,7B,10A,11,11A1,11A2,11B1,11B2,11C1,11C2,11C3,11C4,11C5,11D1,11D2,11D3,11D4,11D5,11E1,11E2,11E3,11E4,11F,11G,11H1a,11H1b,11H1c,11H2,Execution Type,Signatory,Execution Date,Title
1980356,Oct-21,4/17/2025,VENTUREWAVE CAPITAL LIMITED,VENTUREWAVE CAPITAL LIMITED,N,N,,802-126028,317886,"5TH FLOOR, THE MALTING TOWER, GRAND CANAL QUAY",,DUBLIN,,Ireland,D02HW27,N,Monday - Friday,,9AM-5PM,353 1 685 2500,,0,,,,,,,,Y,Y,Y,N,N,,,Y,Y,N,0,Other (specify),LIMITED COMPANY,APRIL,,Ireland,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,Y,,Y,,N,N,N,N,N,N,N,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Non-Resident,ALAN DAVID FOY,4/17/2025,CHAIRMAN
1938433,Oct-21,4/17/2025,RBC INDIGO ASSET MANAGEMENT INC.,RBC INDIGO ASSET MANAGEMENT INC.,N,N,,802-75724,161641,"3RD FLOOR, 885 WEST GEORGIA STREET",,VANCOUVER,,Canada,V6C 3E8,N,Monday - Friday,,7:00AM - 5:00PM,604-331-5003,604-669-2756,1,,,,,,,,Y,Y,Y,N,N,,213800HG45ZN7MURNW49,,,,,Corporation,,OCTOBER,,Canada,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,"INVESTMENT FUND MANAGER, PM, EXEMPT MARKET DEALER",N,,N,Y,,Y,,Y,N,N,Y,Y,N,N,,,,,,Y,N,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Non-Resident,BRIAN BEALLE,4/17/2025,CHIEF OPERATING OFFICER
1976606,Oct-21,4/4/2025,"INTELLIGENT LENDING ADVISERS, LLC",ILA CAPITAL,N,N,,802-125708,282368,1 BOSTON PLACE,26TH FLOOR,BOSTON,MA,United States,02108,N,Monday - Friday,,9:00AM  TO 4:30PM,203-430-9010,,0,,,,,,,,Y,N,N,N,N,,549300X5BDBNB8SJU560,N,Y,N,31555833,Limited Liability Company,,DECEMBER,Massachusetts,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,,N,,N,N,N,N,N,N,N,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Domestic,LAUREN COHEN,4/4/2025,MANAGING MEMBER
1976801,Oct-21,4/4/2025,"AMR ACTION FUND GP, LLC","AMR ACTION FUND GP, LLC",N,N,,802-120537,312684,225 FRANKLIN STREET,SUITE 1750,BOSTON,MA,United States,02110,N,Other,"TUESDAY, WEDNESDAY AND THURSDAY",9:00 AM - 5:00 PM,617-850-2876,,1,,,,,,,,Y,Y,N,N,N,,,Y,N,N,,Limited Liability Company,,DECEMBER,Delaware,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,,Y,,N,N,N,N,N,N,N,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Domestic,DAVID HELLMUTH,4/4/2025,GENERAL COUNSEL AND CHIEF OPERATING OFFICER
1968133,Oct-21,4/7/2025,BSP ADVISORS LTD.,BSP ADVISORS LTD.,N,N,,802-74825,162094,ONE NEXUS WAY,SUITE 5B201,"GEORGE TOWN, GRAND CAYMAN",,Cayman Islands,KY1-1103,N,Monday - Friday,,9AM-5PM,1.345.749.2419,1.345.949.2877,0,,,,,,,,N,N,Y,N,N,,,N,Y,N,0,Corporation,,DECEMBER,,Cayman Islands,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,,N,,N,N,N,N,N,N,N,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Non-Resident,MEIR COHEN,4/7/2025,DIRECTOR
1976926,Oct-21,4/7/2025,CAMROSE CAPITAL INVESTMENT PARTNERS LLP,CAMROSE CAPITAL INVESTMENT PARTNERS LLP,N,N,,802-131721,333538,2ND FLOOR,"21A KINGLY STREET, CARNABY",LONDON,,United Kingdom,W1B 5QA,N,Monday - Friday,,8:30 AM - 5:30PM,44-20-4603-3430,,0,,,,,,,,Y,Y,Y,N,N,,213800OKMVQO9L7HH689,N,Y,N,0,Limited Liability Partnership,,MARCH,,United Kingdom,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,,N,,N,N,N,N,N,N,N,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Non-Resident,SARAH JANE MAIDENS,4/7/2025,CHIEF COMPLIANCE OFFICER
1978850,Oct-21,4/14/2025,"GALEN HEALTHCARE MANAGEMENT, LLC","GALEN HEALTHCARE MANAGEMENT, LLC",N,N,,802-113108,289442,,,,,,,Y,Monday - Friday,,8:30AM-5PM,203-653-6473,203-653-6499,0,,,,,,,,Y,N,N,N,N,,,Y,N,N,,Limited Liability Company,,DECEMBER,Delaware,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,,N,,N,N,N,N,N,N,N,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Domestic,DAVID W. JAHNS,4/11/2025,MANAGER
1978768,Oct-21,4/14/2025,PRIMAL DAO ASSET MANAGEMENT LLC,PRIMAL DAO ASSET MANAGEMENT LLC,N,N,,802-132780,318157,,,,,,,Y,Monday - Friday,,9:00 AM - 5:00 PM,(304) 680-6223,N/A,0,,,,,,,,Y,N,N,N,N,,,N,Y,N,1560000,Limited Liability Company,,DECEMBER,Delaware,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,,N,,N,N,N,N,N,N,N,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Domestic,JOSEPH TENNANT,4/14/2025,MANAGING MEMBER
1978534,Oct-21,4/14/2025,YPV MANAGEMENT LLC,YPV MANAGEMENT LLC,N,N,,802-132782,336289,,,,,,,Y,Monday - Friday,,5-Oct,562-716-1273,,0,,,,,,,,N,N,N,N,N,,,N,Y,N,300000,Limited Liability Company,,DECEMBER,Delaware,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,,N,,N,N,N,N,N,N,N,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Domestic,YASH VAIDYA,4/10/2025,MANAGER
1971671,Oct-21,4/14/2025,VICTORY ADVISORS LIMITED,VICTORY ADVISORS LIMITED,N,N,,802-126434,321718,21 SOHO SQUARE,,LONDON,,United Kingdom,W1D 3QP,N,Monday - Friday,,9AM - 6PM,00442038785036,,0,"6TH FLOOR, 9 APPOLD STREET",,LONDON,,United Kingdom,EC2A 2AP,N,Y,N,Y,N,Y,1-10B,894500HDQZ7UB3IBNX67,N,Y,N,0,Limited Liability Company,,DECEMBER,,United Kingdom,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,,N,,N,N,N,N,N,N,N,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Non-Resident,SIMON  NORRIS,3/31/2025,DIRECTOR
