"FilingID","Initial/Amended","11.C(1)","11.C(2)","11.C(3)","11.C(4)","11.C(5)","11.D(1)","11.D(2)","11.D(3)","11.D(4)","11.D(5)","11.E(1)","11.E(2)","11.E(3)","11.E(4)","11.F.","11.G.","Filed Against","ReferenceID","Remove-Affiliate","Remove-Expired","Remove-Filed in Error","Error Explantion","Affiliate Submitted","Initiator Type","Initiated By","Principal Sanction","Other Sanctions","Date Initiated","Date Initiated Exact","Date Initiated Explanation","Case Number","Employing Firm","Principal Product","Other Product","Allegations","Status","Appeal Details","Resolution","Resolution Date","Resolution Date Exact","Resolution Date Explanation","Monetary Sanction","Monetary Amount","Revocation/Expulsion/Denial","Censure","Bar","Disgorgement/Restitution","Cease and Desist/Injunction","Suspension","Other Sanctions Ordered","Sanction Detail","Summary"
2005001,"AMENDED","","","","","","","","","Y","","","","","","","","Affiliates","1732993","","","","","N","State","SECURITIES ENFORCEMENT BRANCH OF THE DEPARTMENT OF COMMERCE AND CONSUMER AFFAIRS, STATE OF HAWAII","Civil and Administrative Penalt(ies) /Fine(s)","","07/13/2022","Y","","SEB20220029","","No Product","","HAWAII ADMINISTRATIVE RULES ? 16-39-221 PROVIDES THAT FOR A SECURITY ISSUED UNDER THE SECURITIES ACT OF 1933, REGULATION D, 17 CFR ? 230.506, A NOTICE FILING SHALL BE FILED WITH THE COMMISSIONER OF SECURITIES OF THE STATE OF HAWAII NO LATER THAN FIFTEEN (15) CALENDAR DAYS AFTER THE FIRST SALE IS MADE IN HAWAII. REGEN VENTURES FUND 1 TRUST'S FIRST SALE IN HAWAII WAS ON JUNE 29, 2021, AND DUE TO AN ADMINISTRATIVE OVERSIGHT, ITS FORM D NOTICE WAS RECEIVED BY THE COMMISSIONER ON MARCH 28, 2022.","Final","","Stipulation and Consent","08/22/2022","Y","","Y","500","N","N","N","N","N","N","","THE TOTAL AMOUNT OF THE ADMINISTRATIVE PENALTY WAS $500. REGEN VENTURES FUND I TRUST PAID THE PENALTY, AND THE CONSENT ORDER WAS SIGNED ON AUGUST 22, 2022.","REGEN VENTURES FUND I TRUST PAID THE ADMINISTRATIVE PENALTY OF $500, AND THE CONSENT ORDER WAS SIGNED ON AUGUST 22, 2022."
2006356,"AMENDED","","","","","","","Y","","Y","","","","","","","","Affiliates","1734339","","","","","N","Foreign","CHINA SECURITIES REGULATORY COMMISSION BEIJING OFFICE","Other","ADMINISTRATIVE ORDER","04/10/2020","Y","","2020-54","","Other","GENERAL SECURITIES PRODUCT","(1) ZIZHUYUAN BRANCH'S DEFICIENCIES IN KNOWING YOUR CUSTOMER; (2) ZIZHUYUAN BRANCH'S FAILURE OF FILING A BRANCH'S PRINCIPAL INFO WITH CSRC BEIJING OFFICE; (3) ZIZHUYUAN BRANCH'S INADEQUACIES IN INTERNAL CONTROL FOR BEING UNABLE TO PROVIDE REGISTRATION RECORDS AND CHANGE OF COMPUTER EQUIPMENT AND MAC ADDRESS.","Final","","Order","04/10/2020","N","ZIZHUYUAN BRANCH OF CITIC SECURITIES CO., LTD DOES NOT SEEK FOR ADMINISTRATIVE LAWSUIT OR HEARING, SO THE ORDER WILL BECOME EFFECTIVE IN 60 DAYS.","N","","N","N","N","N","N","N","ORDER","ORDER","ON APRIL 10, 2020, CSRC BEIJING OFFICE ISSUED AN ADMINISTRATIVE ORDER AGAINST ONE BRANCH OF CITIC SECURITIES CO., LTD IN BEIJING (ZI ZHU YUAN BRANCH). THE BRANCH WAS ORDERED TO SUBMIT CORRECTION PLAN BY JUNE 30, 2020. THE BRANCH DOES NOT SEEK FOR ADMINISTRATIVE LAWSUIT OR HEARING, SO THE ORDER THE FINAL AND WILL BECOME EFFECTIVE IN 60 DAYS."
2006356,"AMENDED","","","","","","","Y","","Y","","","","","","","","Affiliates","1734340","","","","","N","Foreign","PEOPLE'S BANK OF CHINA (""PBOC"")","Civil and Administrative Penalt(ies) /Fine(s)","","02/06/2023","Y","","","CITIC SECURITIES CO., LTD.","Equity Listed (Common & Preferred Stock)","","DURING AN AML INSPECTION, THE PBOC ISSUED AN ADMINISTRATIVE PENALTY TO CITIC SECURITIES COMPANY LIMITED. THE PBOC DETERMINED THAT THE FIRM: 1.FAILED TO CONDUCT CONTINUOUS OR ENHANCED CUSTOMER DUE DILIGENCE TO CERTAIN CLIENTS AS REQUIRED. 2.FAILED TO FULLY COMPLY WITH THE REQUIREMENTS ON KEEPING OF RECORDS FOR CERTAIN CLIENTS' INFORMATION AND RECORDS OF TRANSACTIONS. 3.FAILED TO FULLY COMPLY WITH THE REQUIREMENTS ON CONDUCTING SUSPICIOUS TRANSACTION MONITORING AND REPORTING ON CERTAIN TRANSACTIONS. SOME SUSPICIOUS TRANSACTION REPORTS SUBMITTED TO THE PBOC DID NOT COMPLY WITH REGULATORY REQUIREMENTS IN TERMS OF DATA FORMAT. ALSO, THE PBOC DETERMINED THAT THE FIRM DID NOT EFFECTIVELY DETECT SOME SUSPICIOUS TRANSACTIONS AND MAKE APPROPRIATE INVESTIGATIONS DUE TO A MALFUNCTION IN CERTAIN AML SURVEILLANCE PARAMETERS.","Final","","Decision","02/14/2023","Y","","Y","1946000","N","N","N","N","N","N","N/A","THE SANCTION CONSISTS OF A FINE IN THE AMOUNT OF 13,760,000 RMB (APPROXIMATELY U.S. $1,946,000), WHICH WAS PAID ON 2/14/2023.","THE ACTION IS FINAL/RESOLVED. THE SANCTION HAS NOT HAD, AND WILL NOT HAVE, ANY IMPACT ON THE NORMAL OPERATION OF CLSA'S BUSINESSES. THE PAYMENT OF THE ADMINISTRATIVE FINE OF 13.76 MILLION RMB WAS COMPLETED ON 02/14/2023."
2006356,"AMENDED","","","","","","","Y","","Y","","","","","","","","Affiliates","1734341","","","","","N","Foreign","CSRC-CHINA SECURITIES REGULATORY COMMISSION","Civil and Administrative Penalt(ies) /Fine(s)","FORFEITURE OF GAINS","04/30/2024","Y","","03720240049","CITIC SECURITIES CO., LTD.","Equity Listed (Common & Preferred Stock)","","CSRC FOUND THAT CITIC SECURITIES COMPANY LIMITED (""CITICS"") PROVIDED SECURITIES LENDING SERVICES TO ITS CLIENTS IN VIOLATION OF THE RESTRICTIVE REGULATIONS ON THE TRANSFER OF SHARES.","Final","","Decision","04/30/2024","Y","","Y","3490326.04","N","N","N","Y","N","N","CITIC SECURITIES COMPANY LIMITED WAS GIVEN A WARNING AND WAS MADE TO FORFEIT GAINS OF RMB 1,910,680.83 (US EQUIVALENT OF $262,280.23), AND PAY A FINE OF RMB 23,250,000 (US EQUIVALENT OF $3,228,045.81).","3490326.04 PAID ON MAY 8, 2024.","THE PENALTIES WERE PAID. THE ACTION IS FINAL/RESOLVED. THE SANCTION HAS NOT HAD, AND WILL NO HAVE, ANY IMPACT ON THE NORMAL OPERATION OF CLSA'S BUSINESS."
2006356,"AMENDED","","","","","","","Y","","Y","","","","","","","","Affiliates","1734342","","","","","N","Foreign","CRSC-CHINA SECURITIES REGULATORY COMMISSION","Civil and Administrative Penalt(ies) /Fine(s)","N/A","04/30/2024","Y","","0032024018","CITIC SECURITIES CAPITAL MANAGEMENT CO., LTD","Derivative(s)","","CSRC FOUND THAT CITIC SECURITIES CAPITAL MANAGEMENT CO., LTD PROVIDED LEVERAGED SUPPORT FOR SHARE TRANSFERS IN VIOLATION OF RESTRICTIVE PROVISIONS.","Final","","Decision","04/30/2024","Y","","Y","6456091.62","N","N","N","N","N","N","CITIC SECURITIES CAPITAL MANAGEMENT CO., LTD WAS GIVEN A WARNING AND A FINE OF RMB 46,500,000 (USD EQUVALENT OF $6,456,091.62).","6,456,091.62 PAID ON MAY 8,2024.","THE PENALTIES WERE PAID AND THE ACTION IS FINAL/RESOLVED.THE SACTION HAS NOT HAS, AND WILL NOT HAVE, ANY IMPACT ON THE NORMAL OPERATION OF CLSA'S BUSINESS."
2006681,"AMENDED","","","","","","Y","","","","","","","","","","","Advisory Firm","1734657","","","","","","Other Federal","FEDERAL DEPOSIT INSURANCE CORPORATION","Restitution","CIVIL MONETARY PENALTY","08/01/2016","N","DATE FFAM RECEIVED INQUIRY LETTER FROM THE FDIC","","","Other","UNSECURED CONSUMER LOANS","IN AUGUST 2016, FREEDOM FINANCIAL ASSET MANAGEMENT, LLC (""FFAM"") RECEIVED A LETTER FROM THE FDIC ASKING QUESTIONS REGARDING FFAM'S PARTICIPATION IN THE CONSOLIDATION PLUS LOAN PROGRAM, UNDER WHICH FFAM SOURCES CONSUMER LOANS TO ITS BANK PARTNER, CROSS RIVER BANK, WHICH ORIGINATES THE LOANS.  THE CONSOLIDATION PLUS LOAN IS A UNIQUE LOAN PRODUCT MADE EXCLUSIVELY TO CLIENTS OF FDR, A DEBT SETTLEMENT SERVICES PROVIDER.  CONSOLIDATION PLUS LOAN FUNDS ARE DISBURSED TO FUND SETTLEMENTS REACHED BY FDR.  THE FDIC BELIEVED THAT MATERIALS FOR CONSOLIDATION PLUS LOANS FAILED TO PROPERLY DISCLOSE TO CONSUMERS CERTAIN MATTERS REGARDING THE LOANS, LARGELY RELATED TO FDR'S DEBT SETTLEMENT SERVICE.  THE FDIC'S INQUIRY AND ITS ALLEGATIONS ARE UNRELATED TO FFAM'S WORK AS AN INVESTMENT ADVISOR.","Final","","Consent","03/28/2018","Y","","Y","493000","N","N","N","Y","N","N","","NOT APPLICABLE","ON MARCH 22, 2018, FFAM AND CROSS RIVER BANK ENTERED INTO SEPARATE CONSENT AGREEMENTS WITH THE FDIC WITH RESPECT TO LOANS SOURCED BY FFAM AND ORIGINATED BY CROSS RIVER BANK.  THE FDIC SUBSEQUENTLY ISSUED CONSENT ORDERS ON MARCH 28, 2018.  FFAM'S CONSENT ORDER (THE ""ORDER"") STATES THAT MATERIALS GIVEN TO CONSUMERS BETWEEN JUNE 2013 AND MARCH 2018 CONTAINED MISREPRESENTATIONS AND OMISSION REGARDING THE CONSOLIDATION PLUS LOAN PRODUCT, INCLUDING (I) MISTATING THE LENGTH OF TIME IT WOULD TAKE FDR TO SETTLE CONSUMER DEBTS; (II) FAILING TO STATE THAT CERTAIN CREDITORS DO NOT NEGOTIATE DIRECTLY WITH FDR; AND (III) FAILING TO ADEQUATELY DISCLOSE CERTAIN LOAN TERMS.  THE ORDER REQUIRES FFAM TO CORRECT ALL VIOLATIONS OF LAWS OR REGU-LATIONS ASSERTED IN THE ORDER AND TO IMPLEMENT POLICIES, PROCESSES AND PROCEDURES TO PREVENT THEIR RECURRENCE.     IN ADDITION, THE ORDER REQUIRES FFAM TO PROVIDE RESTITUTION TO CERTAIN BORROWERS. TO EFFECT THIS, THE ORDER REQUIRES FFAM TO DEPOSIT $20,000,000 INTO A SEGREGATED ACCOUNT.  IF REQUIRED RESTITUTION AMOUNTS EXCEED THE AMOUNT IN THE SEGREGATED ACCOUNT, FFAM MUST BEAR THAT EXCESS.  THE ORDER ALSO REQUIRES FFAM TO PAY A CIVIL MONETARY PENALTY OF $493,500. FFAM HAS DEPOSITED THE REQUIRED FUNDS IN THE SEGREGATED ACCOUNT AND PAID THE CIVIL MONETARY PENALTY. THE CIVIL MONETARY PENALTY HAS BEEN PAID AND ALL REQUIRED RESTITUTION PAYMENTS HAVE BEEN MADE. ON JANUARY 19, 2021, THE FDIC ENTERED AN ORDER TERMINATING THE CONSENT ORDER.  THE FDIC MATTER AND THE ORDER RELATE SOLELY TO FFAM'S ACTIVITIES SOURCING CONSOLIDATION PLUS LOANS TO CROSS RIVER BANK ARE UNRELATED TO ITS WORK AS AN INVESTMENT ADVISOR."
2007544,"AMENDED","","","","","","","","","Y","","","","","","","","Affiliates","1735879","","","","","N","Other Federal","OFFICE OF THE COMPTROLLER OF THE CURRENCY","Civil and Administrative Penalt(ies) /Fine(s)","","05/01/2018","Y","","AA-EC-2018-11","","Other","COMMERCIAL LOANS","THE OCC ALLEGED THAT PNC BANK FAILED TO ADHERE TO THE REQUIREMENTS OF SECTION 102 OF THE FLOOD DISASTER PROTECTION ACT AND ITS IMPLEMENTING REGULATIONS IN CONNECTION WITH 125 COMMERCIAL LOANS.","Final","","Stipulation and Consent","05/01/2018","Y","","Y","207245","N","N","N","N","N","N","","SEE RESPONSE TO 12.A. PAYMENT MADE ON OR ABOUT MAY 1, 2018.","PNC BANK, WITHOUT ADMITTING OR DENYING ANY WRONGDOING, CONSENTED AND AGREED TO AN ORDER FINDING THAT PNC BANK FAILED TO ADHERE TO THE REQUIREMENTS OF SECTION 102 OF THE FLOOD DISASTER PROTECTION ACT AND ITS IMPLEMENTING REGULATIONS IN CONNECTION WITH 125 COMMERCIAL LOANS."
2007544,"AMENDED","","","","","","","","","Y","","","","","","","","Affiliates","1735880","","","","","N","Other Federal","OFFICE OF THE COMPTROLLER OF THE CURRENCY","Civil and Administrative Penalt(ies) /Fine(s)","","07/18/2022","Y","","AA-ENF-2022-23","PNC BANK, N.A.","Other","FLOOD ACT INSURANCE","THE OCC ALLEGED THAT PNC BANK, NA FAILED TO FORCE PLACE INSURANCE IN A TIMELY MANNER ON RESIDENTIAL DESIGNATED LOANS IN VIOLATION OF THE FLOOD DISASTER PROTECTION ACT (FLOOD ACT).","Final","","Consent","07/18/2022","Y","","Y","2614456","N","N","N","N","N","N","","SEE RESPONSE TO 12.A - PAYMENT MADE ON OR ABOUT JULY 18, 2022.","PNC BANK, WITHOUT ADMITTING OR DENYING ANY WRONGDOING, CONSENTED AND AGREED TO AN ORDER FINDING THAT PNC BANK FAILED TO ADHERE TO THE REQUIREMENTS OF 12 C.F.R. ?22.7(A) (FORCE PLACEMENT OF FLOOD INSURANCE)."
2007544,"AMENDED","","","","","","Y","Y","","Y","","","","","","","","Affiliates","1735878","","","","","N","Other Federal","OFFICE OF THE COMPTROLLER OF THE CURRENCY","Civil and Administrative Penalt(ies) /Fine(s)","","05/01/2018","Y","","AA-EC-2018-88","","Other","DEPOSIT AND LINE OF CREDIT ACCOUNTS","THE OCC ALLEGED THAT PNC, NA BANK FAILED TO ADHERE TO THE REQUIREMENTS OF SECTION 5 OF THE FEDERAL TRADE COMMISSION ACT IN CONNECTION WITH THE WAIVER OF CERTAIN FEES AND THE LINKING OF ACCOUNTS FOR OVERDRAFT PROTECTION TRANSFERS.","Final","","Consent","05/01/2018","Y","","Y","15000000","N","N","N","N","N","N","","SEE RESPONSE TO 12.A. PAYMENT MADE ON OR ABOUT MAY 1, 2018.","PNC BANK, WITHOUT ADMITTING OR DENYING ANY WRONGDOING, CONSENTED AND AGREED TO AN ORDER FINDING THAT PNC BANK FAILED TO ADHERE TO THE REQUIREMENTS OF SECTION 5 OF THE FEDERAL TRADE COMMISSION ACT IN CONNECTION WITH THE WAIVER OF CERTAIN FEES AND THE LINKING OF ACCOUNTS FOR OVERDRAFT PROTECTION TRANSFERS."
2007544,"AMENDED","Y","Y","","Y","Y","","","","","","","","","","","","Affiliates","1735877","","","","","N","SRO","COMMODITY FUTURES TRADING COMMISSION","Cease and Desist","","12/01/2017","N","PNC FIRST CONTACTED THE CFTC CONCERNING THIS ISSUE IN DECEMBER OF 2017.","CFTC DOCKET NO. 19-43","PNC BANK, NATIONAL ASSOCIATION","Derivative(s)","","ON SEPTEMBER 30, 2019, THE COMMODITIES FUTURES TRADING COMMISSION (CFTC) FILED AND SETTLED CHARGES AGAINST PNC BANK, NATIONAL ASSOCIATION (PNC), A PROVISIONALLY REGISTERED SWAP DEALER, FOR FAILING TO COMPLY WITH PNC'S SWAP REPORTING OBLIGATIONS AS A SWAP DEALER.  ACCORDING TO THE ORDER, PNC FAILED TO PROPERLY REPORT LEGAL ENTITY IDENTIFIERS, PRIMARY ECONOMIC TERMS, AND CONTINUATION DATA; FAILED TO FILE LARGE TRADER REPORTS FOR ITS PHYSICAL COMMODITY SWAPS; AND FAILED TO TIMELY REPORT CERTAIN TRADES.","Final","","Order","09/30/2019","Y","","Y","300000","N","N","N","N","Y","N","","100% OF THE PENALTY AGAINST CONTROL AFFILIATE PNC BANK, NA.","ON SEPTEMBER 30, 2019, THE COMMODITIES FUTURES TRADING COMMISSION (CFTC) FILED AND SETTLED CHARGES AGAINST PNC BANK, NATIONAL ASSOCIATION (PNC), A PROVISIONALLY REGISTERED SWAP DEALER, FOR FAILING TO COMPLY WITH PNC'S SWAP REPORTING OBLIGATIONS AS A SWAP DEALER.  ACCORDING TO THE ORDER, PNC FAILED TO PROPERLY REPORT LEGAL ENTITY IDENTIFIERS, PRIMARY ECONOMIC TERMS, AND CONTINUATION DATA; FAILED TO FILE LARGE TRADER REPORTS FOR ITS PHYSICAL COMMODITY SWAPS; AND FAILED TO TIMELY REPORT CERTAIN TRADES.  THE CFTC ORDER IMPOSES A $300,000 CIVIL MONETARY PENALTY ON PNC, AMONG OTHER SANCTIONS, FOR THESE REPORTING VIOLATIONS. THE ORDER RECOGNIZES PNC'S SELF-REPORTING BEFORE PNC KNEW THE FULL EXTENT OF ITS VIOLATIONS AND PNC'S FULL COOPERATION WITH THE CFTC DIVISION OF ENFORCEMENT, THE CFTC DIVISION OF SWAP DEALER AND INTERMEDIARY OVERSIGHT, AND THE CFTC DIVISION OF MARKET OVERSIGHT.  THE ORDER ALSO RECOGNIZES PNC'S REMEDIATION OF ITS SWAPS REPORTING ISSUES BOTH ON AN ONGOING BASIS AND WITH RESPECT TO HISTORICAL REPORTS, INCLUDING TRANSACTIONS NO LONGER ON PNC'S BOOKS."
