"FilingID","Reference ID","4A-3","Schedule","Full Legal Name","DE/FE/I","Entity in Which","Title or Status","Status Acquired","Ownership Code","Control Person","PR","OwnerID"
1976281,10338,"","A","FISHER LYNCH CAPITAL, LLC","DE","","MANAGEMENT CO",01/2003,"E","Y","N",160694
1976281,10338,"","A","FISHER, BRETT, KEVIN","I","","MANAGING DIRECTOR",09/2004,"E","Y","N",6022077
1976281,10339,"","A","FISHER LYNCH CAPITAL, LLC","DE","","MANAGEMENT CO",01/2003,"E","Y","N",160694
1976281,10339,"","A","FISHER, BRETT, KEVIN","I","","MANAGING DIRECTOR",09/2004,"E","Y","N",6022077
1976516,11870,"Y","A","Beber, Justin","I","","MANAGING PARTNER,CHIEF ADMINISTRATIVEOFFICER AND GENERALCOUNSEL OF BROOKFIELDASSET MANAGEMENT LTD.",01/2018,"NA","Y","N",7345873
1976516,11870,"Y","A","BROOKFIELD US INSURANCE LLC","DE","","MEMBER",02/2021,"E","Y","N",
1976516,11870,"Y","A","FISHER-DAYN, RONALD","I","","MANAGING PARTNER AND CHIEF COMPLIANCE OFFICER",11/2013,"NA","Y","N",6257213
1976516,11870,"Y","A","FLATT, BRUCE, JAMES","I","","CHIEF EXECUTIVE OFFICER FOR BROOKFIELD ASSET MANAGEMENT LTD. AND BROOKFIELD CORPORATION",03/2002,"NA","Y","N",5718634
1976516,11870,"Y","A","GOODMAN, NICHOLAS, HOWARD","I","","MANAGING PARTNER, PRESIDENT AND CHIEF FINANCIAL OFFICER OF BROOKFIELD CORPORATION",02/2020,"NA","Y","N",7336708
1976516,11870,"Y","A","PEER MARSHALL, HADLEY","I","","MANAGING PARTNER ANDCHIEF FINANCIAL OFFICER OF BROOKFIELD ASSET MANAGEMENT LTD.",05/2024,"NA","Y","N",4592100
1976516,11870,"Y","A","Pearson, Lori","I","","MANAGING PARTNER AND CHIEF OPERATING OFFICER OF BROOKFIELD CORPORATION",08/2016,"NA","Y","N",7336704
1976516,11870,"Y","A","NOBLE, CRAIG, William Alexander","I","","MANAGING PARTNER AND CHIEF EXECUTIVE OFFICER, CREDIT",05/2024,"NA","Y","N",6175300
1976516,11870,"","B","BROOKFIELD US INC.","DE","BROOKFIELD US INSURANCE LLC","SHAREHOLDER",01/2016,"E","Y","N",
1976516,11870,"","B","BROOKFIELD ASSET MANAGEMENT LTD.","FE","BROOKFIELD ASSET MANAGEMENT ULC","SHAREHOLDER",12/2022,"C","Y","Y",
1976516,11870,"","B","BROOKFIELD CORPORATION","FE","BROOKFIELD ASSET MANAGEMENT ULC","SHAREHOLDER",12/2022,"E","Y","Y",
1976516,11870,"","B","BROOKFIELD ASSET MANAGEMENT ULC","FE","BROOKFIELD US HOLDINGS INC.","SHAREHOLDER",12/2022,"E","Y","N",
1976516,11870,"","B","BROOKFIELD US HOLDINGS INC.","FE","BROOKFIELD US INC.","SHAREHOLDER",01/2003,"E","Y","N",
1976548,12124,"","B","LEMSSOUGUER, MOHAMED, HAMZA","I","ARINI CAPITAL MANAGEMENT HOLDINGS (JERSEY) LIMITED","SHAREHOLDER",04/2022,"E","Y","N",7949252
1976548,12124,"","B","ARINI CAPITAL MANAGEMENT HOLDINGS (JERSEY) LIMITED","FE","ARINI CAPITAL MANAGEMENT LIMITED","SHAREHOLDER",05/2022,"E","Y","N",
