"FilingID","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","Telephone Number","Facsimile Number","Branch Number","Employees","BD","Bank","Insurance","Commodity","Municipal","Accounting","Law","Other"
2003730,"ROOM 3606, CHINA CENTRAL PLACE TOWER 3","77 JIANGUO ROAD CHAOYANG DISTRICT","BEIJING","","China","","N","+861084475668","",,34,"N","N","N","N","N","N","N",""
2003730,"ROOM 3006, PLAZA 66 TOWER 2","1266 NANJING WEST ROAD, JINGAN DISTRICT","SHANGHAI","","China","","N","+862162884222","",,34,"N","N","N","N","N","N","N",""
2003730,"3804, KERRY PLAZA TOWER 3","NO.1-1 ZHONGXINSI ROAD, FUTIAN DISTRICT","SHENZHEN","","China","","N","+8675523608046","",,3,"N","N","N","N","N","N","N",""
2003730,"3 TEMASEK AVENUE, CENTENNIAL TOWER 21ST FLOOR","SUITE #29","SINGAPORE","","Singapore","039190","N","(65)62363333","",,2,"N","N","N","N","N","N","N",""
2003730,"SUITE 7.02, 16 BERKELEY STREET","","LONDON","","United Kingdom","W1J 8DZ","N","+85225018989","",,2,"N","N","N","N","N","N","N",""
2003730,"12F MARUNOUCHI BUILDING","2-4-1 MARUNOUCHI, CHIYODA","TOKYO","","Japan","","N","080-6226-6811","",,2,"N","N","N","N","N","N","N",""
1998902,"17 E. 48TH STREET","4TH FLOOR","NEW YORK","NY","United States","10017","N","2016946274","",,1,"N","N","N","N","N","N","N",""
2006705,"EXCHANGE PLACE 1","1 SEMPLE STREET","EDINBURGH","","United Kingdom","EH3 8BL","N","44 131 4727200","",,14,"N","Y","N","Y","N","N","N","Y"
2001811,"305 12TH STREET","","CARRIZOZO","NM","United States","88301","N","(646) 504-6550","",,1,"N","N","N","Y","N","N","N",""
2001811,"1300 AVENIDA DE MESILLA","SUITE 225","LAS CRUCES","NM","United States","88005","N","(646) 504-6550","",,1,"N","N","N","Y","N","N","N",""
1999922,"1310 SOLIHULL PARKWAY","","BIRMINGHAM","","United Kingdom","B377YB","N","+441215163020","",,3,"N","N","N","N","N","N","N",""
1991659,"NORRLANDSGATAN 10","","STOCKHOLM","","Sweden","111 43","N","08-762-9400","",,6,"N","N","N","N","N","N","N",""
2001853,"4850 TAMIAMI TRAIL NORTH","SUITE 301","NAPLES","FL","United States","34108","N","612-964-7447","",,1,"N","N","N","N","N","N","N","GENERAL INVESTMENT RESEARCH AND ANALYSIS FOR POOLED INVESTMENT FUNDS."
1992519,"PART 7TH FLOOR,  ATRIA ONE","144 MORRISON STREET","EDINBURGH","","United Kingdom","EH3 8EX","N","+44 (0)20 7818","",,5,"N","N","N","N","N","N","N",""
