"FilingID","Other Products and Services","Business Name"
2002588,"PROVIDE INSURANCE PRODUCTS",""
2002609,"ADVISER AND ITS AFFILIATES PROVIDE INVESTMENT RESEARCH SERVICES THROUGH GPSCOUT NAVIGATOR, A SUBSCRIPTION-BASED PRIVATE EQUITY MANAGER RESEARCH PLATFORM INTENDED TO ASSIST PRE-QUALIFIED SUBSCRIBERS IN THEIR PRELIMINARY EVALUATION OF PRIVATE FUND MANAGERS.",""
2004780,"IMPLEMENTATION OF INSURANCE SALES","INSURANCE SALES ARE IMPLEMENTED THROUGH G2 CAPITAL INSURANCE, LLC"
2004802,"SALE OF INSURANCE PRODUCTS AND PROVISION OF TAX AND ACCOUNTING SERVICES",""
2001181,"IMPLEMENTATIONS OF COMMISSIONABLE INSURANCE AND SECURITIES PRODUCTS",""
2004869,"JTS CAPITAL SERVICING LLC, WHICH IS UNDER COMMON CONTROL WITH JTS FUND ADVISORS, LLC, SERVICES (I.E. MONITORS, COLLECTS AND SETTLES ON AND FOR) THE LOAN PORTFOLIO ASSETS OF THE PRIVATE FUNDS UNDER THE MANAGEMENT OF JTS FUND ADVISORS, LLC.","JTS CAPITAL SERVICING LLC"
2004886,"(1) ADULT RETIREMENT EDUCATION COURSES","(1) RETIREMENT COURSE DEPARTMENT"
1989196,"ON OCCASION, TERRY VANDELINDE WILL SELL FIXED/INDEXED ANNUITIES AND TERM LIFE INSURANCE.",""
2006085,"FIXED ANNUITIES AND LIFE INSURANCE PRODUCTS - LEGATO INSURANCE GROUP, INC. TAX AND ACCOUNTING SERVICES - LEGATO CPAS AND ADVISORS, PLLC","LEGATO INSURANCE GROUP, INC.  LEGATO CPAS AND ADVISORS, PLLC"
1994249,"INSURANCE PRODUCTS - NOT DEEMED TO BE SECURITIES (I.E.; DUAL REGISTRATION PRODUCTS) SUCH AS: LIFE , DISABILITY, LONG TERM CARE, AND CERTAIN ANNUITIES",""
2004365,"ASSOCIATED PERSONS OF THE ADVISER PROVIDE TRUSTEE SERVICES TO SOME CLIENTS. ALL CLIENT ACCOUNTS ARE HELD IN CUSTODY WITH A QUALIFIED CUSTODIAN.",""
2006184,"LIFE INSURANCE, LONG TERM CARE INSURANCE, AND FIXED/INDEXED ANNUITIES",""
2005599,"FAMILY OFFICE SERVICES",""
2001481,"RECOMMENDATION OF INSURANCE PRODUCTS","INDIVIDUAL NAME/CAPACITY"
2001313,"CERTAIN IARS ARE ALSO LICENSED TO RECOMMEND LIFE AND HEALTH INSURANCE AS PART OF FINANCIAL PLANNING WITH CLIENTS.",""
2000522,"BILL-PAY SERVICES TAX COMPLIANCE SERVICES RETIREMENT SERVICES INSURANCE SOLUTIONS BUSINESS CONSULTING SERVICES PAYROLL SERVICES PROPERTY MANAGEMENT SERVICES",""
2001549,"PRAIRIEVIEW TAX MAY PREPARE TAX RETURNS FOR CURRENT PRAIRIEVIEW WEALTH PARTNERS, LLC CLIENTS FOR A FEE","TAX PLANNING & PREP SERVICES ARE PROVIDED UNDER PRAIRIEVIEW TAX, OWNED BY THE SAME OWNER OF PRAIRIEVIEW WEALTH PARTNERS LLC"
2001589,"BROKER DEALER BUSINESS INCLUDING BUT NOT LIMITED TO STOCKS, BONDS, MUTUAL FUNDS, EXCHANGE TRADES FUNDS/NOTES, VARIABLE ANNUITIES, REITS, BDC, OPTIONS.",""
2001599,"INSURANCE PRODUCTS",""
