"FilingID","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","Telephone Number","Facsimile Number","Branch Number","Employees","BD","Bank","Insurance","Commodity","Municipal","Accounting","Law","Other"
1938433,"300 - 16 YORK STREET","","TORONTO, ONTARIO","","Canada","M5J 0E6","N","604-331-5003","604-669-2756",,1,"N","N","N","N","N","N","N",""
1976801,"MESSEPLATZ 10","","BASEL","","Switzerland","4058","N","41 79 506 5705","",,3,"N","N","N","N","N","N","N",""
1984079,"515 PACIFIC AVENUE","FLOOR 2","SAN FRANCISCO","CA","United States","94133","N","7088566022","",,1,"N","N","N","N","N","N","N",""
1979710,"02/02, 2ND FLOOR","ONE JLT, JUMEIRAH LAKE TOWERS","DUBAI","","United Arab Emirates","282741","N","+971 509598916","",,1,"N","N","N","N","N","N","N",""
1979710,"278, 100 FEET ROAD","INDIRANAGAR","BENGALURU","","India","560038","N","918061789100","918041245884",,22,"N","N","N","N","N","N","N",""
1979710,"902, NICHOLAS PIRAMAL TOWERS, PENINSULA CORPORATE","GANPATRAO KADAM MARG, LOWER PAREL","MUMBAI","","India","400013","N","+9102240747272","",,4,"N","N","N","N","N","N","N",""
1979710,"JW MARRIOTT, ARIA TOWERS, 3RD FLOOR,","AEROCITY, NEW DELHI","DELHI","","India","110037","N","+911149567200","",,6,"N","N","N","N","N","N","N",""
1979710,"38 SOUTH BEACH ROAD #26-12, SOUTH BEACH TOWER","","SINGAPORE","","Singapore","189767","N","+6568129162","",,19,"N","N","N","N","N","N","N",""
1979710,"1128, 11TH FLOOR, AL MAQAM TOWER","ABU DHABI GLOBAL MARKET SQUARE, AL MARYAH ISLAND","ABU DHABI","","United Arab Emirates","","N","+971509598916","",,1,"N","N","N","N","N","N","N",""
1961586,"251 SOUTH LAKE AVENUE","SUITE 800","PASADENA","CA","United States","91101","N","626-225-0200","",,1,"N","N","N","N","N","N","N",""
1980401,"19 AVENUE DE L'OPERA","","PARIS","","France","75001","N","+33 1 73 09 03","",,3,"N","N","N","N","N","N","N",""
