"FilingID","Primary Business","Business Name"
1934508,"MANAGEMENT OF AIFS AND UCITS",""
1951608,"GENERAL PARTNER OF NEWSPACE CAPITAL FUND S.C.S.",""
1961389,"MANAGE FUNDS THAT MAKE DEBT/EQUITY INVESTMENTS IN GROWTH COMPANIES.",""
1945438,"PRIVATE FUND MANAGEMENT","N/A"
1935522,"HOTEL OPERATIONS MANAGEMENT COMPANY. UNDER A HOTEL MANAGEMENT AGREEMENT, JNR MANAGEMENT INC. OVERSEES OPERATIONS OF ALL HOTELS, INCLUDING THE ONES OWNED AND CONTROLLED BY JNR EQUITY FUND I MANAGER LLC.","JNR MANAGEMENT INC."
1947385,"REAL ESTATE AGENT, CPA TAX SERVICES, NOTARY SERVICES","PROUD AMERICAN REAL ESTATE PROUD AMERICAN TAX  CHRIS MOBILE NOTARY"
1950439,"PRIVATE FUND MANAGEMENT","N/A"
1962291,"REAL ESTATE",""
1949024,"INVESTMENT MANAGER TO EU BASED PRIVATE CREDIT FUNDS","CORINTHIA GLOBAL MANAGEMENT LIMITED"
1938547,"CATEGORY 4 DFSA REGULATED FIRM  ARRANGING AND ADVISING INVESTMENT, DEALS, CREDIT ETC","N/A"
1956883,"REAL ESTATE INVESTMENT MANAGEMENT",""
1951571,"INVESTMENT MANAGEMENT AND OPERATION OF THE HEDGE FUND (MINGS HEDGE FUND)",""
1949040,"FUND OPERATOR FOR BLACK SWAN TECHNOLOGY FUND I, LLC.",""
1950998,"PRIVATE EQUITY FUND",""
1953314,"BUSINESS MANAGEMENT CONSULTING SERVICES",""
1951895,"OPERATIONS AND MANAGEMENT OF FUND ACTIVITIES.",""
1952845,"GGI HAS DEVELOPED AND EXECUTED A SERIES OF INNOVATIVE PROGRAMS AIMED AT STRENGTHENING THE ENTREPRENEURIAL ECOSYSTEM IN PUERTO RICO. GGI'S ULTIMATE GOAL IS TO LEAD IN BUILDING AN ENTREPRENEURIAL ECOSYSTEM THAT DEVELOPS GLOBAL ENTREPRENEURS AND VENTURES.","ENTERPRIZE EVENTS, INC."
1954304,"TRADEMARK PROVIDES PROPERTY MANAGEMENT, LEASING AND MERCHANDISING, DEVELOPMENT AND CONSTRUCTION MANAGEMENT, TENANT COORDINATION SERVICES, DEVELOPMENT (GROUND-UP AND REDEVELOPMENT) AND OTHER PROPERTY LEVEL SERVICES.",""
1950826,"LAW PRACTICE","KOEHLER FITZGERALD LLC"
1949107,"SBIC MANAGER",""
1943218,"ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES",""
1928380,"VENTURE CAPITAL",""
1950617,"SERVICE PROVIDER",""
