FilingID,FormVersion,DateSubmitted,1A,1B1,1B2,1C-Legal,1C-Business,1C-New Name,1D,1E1,1F1-Street 1,1F1-Street 2,1F1-City,1F1-State,1F1-Country,1F1-Postal,1F1-Private,1F2-M-F,1F2-Other,1F2-Hours,1F3,1F4,1F5,1G-Street 1,1G-Street 2,1G-City,1G-State,1G-Country,1G-Postal,1G-Private,1I,1L,1M,1N,1N-CIK,1O,1OAmount,1P,4A,4B,5A,5B1,5B2,5B3,5B4,5B5,5B6,5C1,5C2,5D1a,5D1b,5D1c,5D1d,5D1e,5D1f,5D1g,5D1h,5D1i,5D1j,5D1k,5D1l,5D1m,5D1n,5D1n Other,5D2a,5D2b,5D2c,5D2g,5D2h,5D2i,5D2j,5D2k,5D2l,5D2m,5D2n,5D3a,5D3b,5D3c,5D3d,5D3e,5D3f,5D3g,5D3h,5D3i,5D3j,5D3k,5D3l,5D3m,5D3n,5E1,5E2,5E3,5E4,5E5,5E6,5E7,5E7-Other,5F1,5F2a,5F2b,5F2c,5F2d,5F2e,5F2f,5F3,5G1,5G2,5G3,5G4,5G5,5G6,5G7,5G8,5G9,5G10,5G11,5G12,5G12-Other,5H,5H-Other,5I1,5I2a,5I2b,5I2c,5J1,5J2,5K1,5K2,5K3,5K4,5L1a,5L1b,5L1c,5L1d,5L1e,5L2,5L3,5L4,6A1,6A2,6A3,6A4,6A5,6A6,6A7,6A8,6A9,6A10,6A11,6A12,6A13,6A14,6A14-Other,6B1,6B2,6B3,7A1,7A2,7A3,7A4,7A5,7A6,7A7,7A8,7A9,7A10,7A11,7A12,7A13,7A14,7A15,7A16,7B,8A1,8A2,8A3,8B1,8B2,8B3,8C1,8C2,8C3,8C4,8D,8E,8F,8G1,8G2,8H1,8H2,8I,9A1a,9A1b,9A2a,9A2b,9B1a,9B1b,9B2a,9B2b,9C1,9C2,9C3,9C4,9D1,9D2,9E,9F,10A,11,11A1,11A2,11B1,11B2,11C1,11C2,11C3,11C4,11C5,11D1,11D2,11D3,11D4,11D5,11E1,11E2,11E3,11E4,11F,11G,11H1a,11H1b,11H1c,11H2,12A,12B1,12B2,12C1,12C2,Execution Type,Signatory,Execution Date,Title
1936172,Oct-21,2/5/2025 13:19,"MAIN STREET RETIREMENT PLANNING, LLC","MAIN STREET RETIREMENT PLANNING, LLC",N,N,N,,801-122041,313051,779 W MAIN STREET,,COPPELL,TX,United States,75019,N,Monday - Friday,,8:00 AM - 5:00 PM,972-393-0376,972-393-0327,0,,,,,,,,Y,N,N,N,,N,,,N,,3,3,0,3,0,3,0,0,0,856,285,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,N,N,N,N,N,N,N,N,265078227,429525202,0,0,0,0,0,0,0,0,0,0,0,0,Y,N,N,N,N,N,N,,Y,694603429,0,694603429,2830,0,2830,0,N,Y,N,N,N,N,N,N,N,N,N,N,,,,N,,,,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,,Y,N,N,,N,N,N,N,N,,,N,N,,,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,Domestic,ELIAS ROBERT DRAGON,2/5/2025,CHIEF COMPLIANCE OFFICER
1931835,Oct-21,2/5/2025 13:31,"CAPITAL CITY WEALTH MANAGEMENT, INC.","CAPITAL CITY WEALTH MANAGEMENT, INC.",N,N,N,,801-131838,172199,1000 TACOMA AVENUE,SUITE 200,BISMARCK,ND,United States,58504,N,Other,"MONDAY - THURSDAY - 8:30-4, FRIDAY - 8:30 - NOON",8:30AM TO 4:00PM,(701) 250-7220,(701) 751-2969,2,,,,,,,,Y,N,N,N,,N,,,N,,7,3,0,3,0,0,0,0,0,95,40,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,N,N,N,N,N,N,N,N,35000000,91000000,0,0,0,0,0,0,0,0,0,0,0,0,Y,N,N,N,N,N,N,,Y,126000000,0,126000000,298,0,298,0,Y,Y,N,N,N,N,N,N,N,N,Y,N,,101-250,,Y,0,0,126000000,Y,N,Y,N,N,Y,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Y,N,N,,N,N,N,N,N,,,N,N,,,N,N,N,N,N,N,,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,Domestic,BENJAMIN BRANDT SR.,2/5/2025,CCO
1936122,Oct-21,2/5/2025 13:39,"D. E. SHAW & CO., L.P.","D. E. SHAW & CO., L.P.",Y,N,N,,801-56171,108679,TWO MANHATTAN WEST,"375 NINTH AVENUE, 52ND FLOOR",NEW YORK,NY,United States,10001,N,Monday - Friday,,9AM - 5 PM,212-478-0000,212-478-0100,6,,,,,,,,Y,Y,N,N,,Y,10-50B,TNWE6LERP1CI9IDAZB80,N,,879,442,39,0,0,0,0,0,23,,,,,,31,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,,,,,,1.20475E+11,,,,,,,,,Y,N,N,N,N,Y,Y,REIMBURSEMENT OF CERTAIN EXPENSES,Y,1.20475E+11,0,1.20475E+11,31,0,31,19278360561,N,N,N,Y,N,N,N,N,N,N,N,N,,0,,N,,,,N,Y,N,,,,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,,Y,Y,N,N,N,N,N,,,Y,Y,43699830107,31,N,Y,N,N,N,N,,84,N,Y,N,N,N,N,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,,Domestic,DANIEL R. MARCUS,2/5/2025,CHIEF COMPLIANCE OFFICER
1935077,Oct-21,2/5/2025 13:52,VARIADIC LLC,VARIADIC LLC,N,N,N,,801-132115,332389,122 EAST 42ND STREET,SUITE 481,NEW YORK,NY,United States,10168,N,Monday - Friday,,9:00AM - 5:00PM,646-384-8680,,1,,,,,,,,Y,N,N,N,,N,,254900U70Y5YJ3C69X73,N,,11,11,0,0,0,0,0,0,0,,,,,,1,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,,,,,,3000000,,,,,,,,,N,N,N,N,N,Y,N,,Y,3000000,0,3000000,1,0,1,0,N,N,N,Y,N,N,N,N,N,N,N,N,,,,N,,,,Y,N,N,,,,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,,Y,Y,N,N,N,N,N,,,N,N,,,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Domestic,HANNAH STEELE,2/5/2025,CHIEF COMPLIANCE OFFICER
1935550,Oct-21,2/5/2025 14:07,PEAK WEALTH MANAGEMENT LLC,PEAK WEALTH MANAGEMENT,N,N,N,,801-130972,332411,125 HIGH ROCK AVENUE,SUITE 104,SARATOGA SPRINGS,NY,United States,12866,N,Other,BY APPOINTMENT ONLY,BY APPOINTMENT ONLY,518-441-2285,,1,,,,,,,,Y,N,N,N,,N,,,N,,1,1,0,1,0,1,0,0,0,40,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,26045798,,,,,,,,,,,,,,Y,Y,N,Y,N,N,N,,Y,26045798,0,26045798,81,0,81,0,Y,Y,N,N,N,N,N,N,N,N,N,N,,26-50,,N,,,,N,N,Y,N,N,Y,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Y,N,N,,N,N,N,N,N,,,N,N,,,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,Domestic,JAMES COX,2/5/2025,CCO
1924845,Oct-21,2/5/2025 14:26,"CLAYTON FINANCIAL GROUP, LLC","CLAYTON FINANCIAL GROUP, LLC",N,N,N,,801-97344,226729,165 NORTH MERAMEC SUITE 130,,ST. LOUIS,MO,United States,63105,N,Monday - Friday,,8:00AM-5:00PM,(314) 446-3250,(314) 689-0367,0,"165 NORTH MERAMEC, SUITE 130",,ST. LOUIS,MO,United States,63105,N,Y,N,N,N,,N,,,N,,23,8,0,13,0,0,0,0,0,337,405,,,,,26,7,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,173250826,1380643721,,,,,170614773,11525048,,,,,,,Y,N,N,Y,N,N,N,,Y,738597908,997436460,1736034368,1577,1967,3544,0,Y,Y,N,N,N,Y,N,N,N,N,N,N,,More than 500,1000,N,,,,N,N,Y,N,Y,Y,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Y,N,N,N,N,N,N,Y,Y,1021816658,670,N,N,,,N,N,Y,N,N,N,,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,Domestic,KELLLY RICHERT,1/8/2025,CCO
1935008,Oct-21,2/5/2025 14:36,"LIFESTYLE ASSET MANAGEMENT, INC.","LIFESTYLE ASSET MANAGEMENT, INC.",N,N,N,,801-116746,157450,211 WEST EDGEWOOD,SUITE 300,FRIENDSWOOD,TX,United States,77546,N,Monday - Friday,,8:00 A.M. - 5:00 P.M.,281-612-2035,281-992-9221,3,,,,,,,,Y,N,N,N,,N,,,N,,13,13,6,13,6,11,0,0,0,564,99,0,0,0,0,7,0,0,0,0,0,0,0,,N,N,N,N,N,N,N,N,N,N,N,180735169,200997962,0,0,0,0,17485166,0,0,0,0,0,0,0,Y,Y,N,N,N,N,N,,Y,399218297,0,399218297,1294,0,1294,1137005,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,FINANCIAL CONSULTING,More than 500,700,N,,,,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Y,N,Y,Y,N,N,Y,N,N,,,N,N,,,N,N,N,N,N,N,,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,Domestic,ROSS ALLEN WEGNER,2/5/2025,CHIEF COMPLIANCE OFFICER
1933296,Oct-21,2/5/2025 14:37,"VALUE INVESTMENT PROFESSIONALS, LLC","VALUE INVESTMENT PROFESSIONALS, LLC",N,N,N,,801-126351,164704,125 PARK AVENUE,25TH FLOOR,NEW YORK,NY,United States,10017,N,Monday - Friday,,9:00AM-5:00PM,646-383-7757,646-383-7806,4,,,,,,,,Y,Y,N,N,,N,,,N,,4,4,0,4,1,0,0,0,0,41,40,0,0,0,0,2,0,0,0,0,0,0,,,N,N,N,N,N,N,N,N,N,N,N,11346356,127883434,0,0,0,0,2714941,0,0,0,0,0,0,,Y,Y,N,N,N,Y,N,,Y,141944731,0,141944731,83,0,83,0,N,Y,N,N,N,Y,N,N,N,N,N,Y,FINANCIAL CONSULTING,,,N,,,,N,N,Y,Y,N,Y,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,,,N,N,,,N,N,N,N,N,N,,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,Domestic,ANDREW HODGES,2/5/2025,CCO
1928142,Oct-21,2/5/2025 14:44,"FPW, LLC",FIDUCIARY PRIVATE WEALTH,N,N,N,,801-132116,334700,155 FLEET STREET,,PORTSMOUTH,NH,United States,03801,N,Monday - Friday,,BY APPOINTMENT,603-766-4921,,1,,,,,,,,Y,N,N,N,,N,,,N,,2,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,Y,N,N,N,N,N,N,,Y,0,0,0,0,0,0,0,Y,Y,N,N,N,N,N,N,N,N,N,N,,,,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Y,N,Y,N,N,N,N,N,N,,,N,N,,,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Domestic,JEFFREY L. MCDONALD,2/5/2025,MANAGING MEMBER
1936298,Oct-21,2/5/2025 15:10,FINANCIAL SERVICES ADVISORY INC,FINANCIAL SERVICES ADVISORY,N,Y,N,"FSA WEALTH PARTNERS, INC.",801-18801,104513,ONE CHURCH STREET,SUITE 901,ROCKVILLE,MD,United States,20850,N,Monday - Friday,,9:00 AM - 5:00 PM,301-949-7300,301-949-7034,0,,,,,,,,Y,Y,N,N,,N,,,N,,16,9,0,9,0,0,0,5,0,516,198,,,,,,5,,,,,,,,N,N,N,N,N,N,N,N,N,Y,N,191084459,474326437,,,,,,27137394,,,,,1154454,,Y,Y,N,Y,N,N,N,,Y,693702744,0,693702744,1981,0,1981,0,Y,Y,N,N,Y,N,N,N,N,N,N,N,,10-Jan,,N,,,,N,N,Y,N,N,Y,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Y,N,N,,N,N,N,Y,Y,37037740,64,N,N,,,N,N,N,N,N,N,Apr-21,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,Domestic,JAMES E. JOSEPH,2/5/2025,PRESIDENT
