"FilingID","Individual Name","Firm or Organization Name","CRD Number","Effective Date","Termination Date","Street 1","Street 2","City","State","Country","Postal Code","Private Residence?","Description"
1951880,"MCBRIDE, RALPH, DENNETH","",4343816,01/01/2005,,"6363 WOODWAY DR","SUITE 763","HOUSTON","TX","United States","77057","N","CO-FOUNDER & OWNER."
1952155,"","KENNEDY LEWIS MANAGEMENT LP",290399,05/01/2024,,"225 LIBERTY STREET","SUITE 4210","NEW YORK","NY","United States","10281","N","KENNEDY LEWIS INVESTMENT MANAGEMENT LLC (KLIM) HAS TWO OF THE FIVE BOARD SEATS OF SANCTUARY WEALTH GROUP LLC WHICH OWNS 100% OF TRU INDEPENDENCE ASSET MANAGEMENT 2, LLC.  KLIM, WITH THE BOARD SEATS, HAS 40% OF THE VOTING RIGHTS."
1952662,"Fitchard, Serena","",7617990,05/04/2022,,"155 N LAKE AVE","#500","PASADENA","CA","United States","91101","N","COO"
1952662,"Yauchzee, Sarah","",8025548,01/01/2024,,"155 N LAKE AVE","#500","PASADENA","CA","United States","91101","N","PROMOTED TO DIRECTOR OF RETIREMENT PLAN OPERATIONS"
1952829,"","BP PARTNERS, LLC",,06/01/2021,,"1420 FIFTH AVENUE","SUITE 3200","SEATTLE","WA","United States","98101","N","PURSUANT TO A MANAGEMENT AGREEMENT (THE ""MANAGEMENT AGREEMENT"") BETWEEN BADGLEY PHELPS WEALTH MANAGERS, LLC, FOCUS AND BP PARTNERS, LLC (THE ""MANAGEMENT COMPANY""), THE MANAGEMENT COMPANY HAS AGREED TO PROVIDE PERSONS TO SERVE AS OFFICERS AND LEADERS OF BADGLEY PHELPS WEALTH MANAGERS, LLC WHO, IN SUCH CAPACITY, WILL BE RESPONSIBLE FOR THE MANAGEMENT, SUPERVISION AND OVERSIGHT OF BADGLEY PHELPS WEALTH MANAGERS, LLC. THE MANAGEMENT COMPANY DOES NOT PROVIDE INVESTMENT ADVISORY SERVICES."
1944825,"","VAN CLEMENS FINANCIAL CORPORATION",,07/01/2022,,"900 SECOND AVENUE SOUTH","SUITE 1500","MINNEAPOLIS","MN","United States","55402","N","25% OWNER"
1958574,"","2450619 ALBERTA ULC",,10/01/2022,,"900-332 6TH AVENUE SW","","CALGARY","","Canada","","N","PURSUANT TO A MANAGEMENT AGREEMENT (THE ""MANAGEMENT AGREEMENT"") BETWEEN CARDINAL POINT CAPITAL MANAGEMENT, ULC, FOCUS AND 2450619 ALBERTA ULC (THE ""MANAGEMENT COMPANY""), THE MANAGEMENT COMPANY HAS AGREED TO PROVIDE PERSONS TO SERVE AS OFFICERS AND LEADERS OF CARDINAL POINT CAPITAL MANAGEMENT, ULC WHO, IN SUCH CAPACITY, WILL BE RESPONSIBLE FOR THE MANAGEMENT, SUPERVISION AND OVERSIGHT OF  CARDINAL POINT CAPITAL MANAGEMENT ULC. THE MANAGEMENT COMPANY DOES NOT PROVIDE INVESTMENT ADVISORY SERVICES."
1951577,"BROWN, ETHAN, THOMAS","",6202368,01/01/2020,,"23 CENTRAL STREET","","ANDOVER","MA","United States","01810","N","MR. BROWN BECAME AN EQUAL PARTNER OF COX  CAPITAL MANAGEMENT LLC"
1952953,"LEE, HUNG KE","",6839718,10/15/2015,,"10-1, ROPPONGI 6-CHOME","46TH FLOOR","MINATO-KU, TOKYO","","Japan","106-6147","N","DIRECTOR"
1952953,"LAM, TUAN, NMN","",6846778,04/10/2015,,"2 QUEENS ROAD CENTRAL","60TH FLOOR, CHEUNG KONG CENTER","HONG KONG","","Hong Kong","","N","DIRECTOR"
1934787,"TRUE, DOUGLAS, ALLEN","",6046351,11/01/2011,,"11313 USA PARKWAY","","FISHERS","IN","United States","46037","N","CHIEF EXECUTIVE OFFICER OF FORUM CREDIT UNION."
1933900,"BALSAN, DAMIEN","",7501363,11/15/2021,,"848 N. RAINBOW BOULEVARD","SUITE 8008","SUITE 8008","NV","United States","89107","N","CO-OWNER, COO & CIO OF RAPID SCALE"
1958386,"TIPPER, RUSSELL, WINSTON","",2914437,11/01/2023,,"12555 MANCHESTER ROAD","","ST LOUIS","MO","United States","63131","N","PRINCIPAL OF INVESTMENT ADVISORY DEPARTMENT WHO HAS OVERALL RESPONSIBILITY FOR EDWARD JONES INVESTMENT ADVISORY SERVICES."
1953673,"","TBP GROUP LLC",,11/01/2023,,"6721 COLUMBIA GATEWAY DRIVE","SUITE 100","COLUMBIA","MD","United States","21046","N","TBP GROUP LLC IS THE PARENT COMPANY."
1943754,"DEETS, ROGER, DALE","",1022210,10/01/1993,,"505 KING ST.","208","LA CROSSE","WI","United States","54601","N","C.E.O.  OWNERSHIP CODE D"
1943754,"DEETS, JULIE, LUCILLE","",1363608,04/01/1994,,"505 KING ST.","SUITE 208","LA CROSSE","WI","United States","54601","N","C.F.O."
1943754,"","AMG EMPLOYEE STOCK OWNERSHIP PLAN",,09/15/2017,,"505 KING STREET, SUITE 208","","LACROSSE","WI","United States","54601","N","AMG'S ESOP IS A CONTROL PERSON BY VIRTUE OF OWNING 42% OF AMG."
1953637,"Matthew, Bennett, G","",6580517,01/01/2014,,"192 FORESIDE ROAD","","FALMOUTH","ME","United States","04105","N","MATTHEW BENNETT IS THE PRINCIPAL AND SOLE OWNER OF BENNETT SELBY INVESTMENTS"
1958603,"","2450619 ALBERTA ULC",,10/01/2022,,"900-332 6TH AVENUE SW","","CALGARY","","Canada","","N","PURSUANT TO A MANAGEMENT AGREEMENT (THE ""MANAGEMENT AGREEMENT"") BETWEEN CARDINAL POINT CAPITAL MANAGEMENT, ULC, FOCUS AND 2450619 ALBERTA ULC (THE ""MANAGEMENT COMPANY""), THE MANAGEMENT COMPANY HAS AGREED TO PROVIDE PERSONS TO SERVE AS OFFICERS AND LEADERS OF CARDINAL POINT CAPITAL MANAGEMENT, ULC WHO, IN SUCH CAPACITY, WILL BE RESPONSIBLE FOR THE MANAGEMENT, SUPERVISION AND OVERSIGHT OF  CARDINAL POINT CAPITAL MANAGEMENT ULC. THE MANAGEMENT COMPANY DOES NOT PROVIDE INVESTMENT ADVISORY SERVICES."
1944989,"","HIVE ENTERPRISES, LLC",,03/12/2021,,"6968 W RD  150 N","","BARGERSVILLE","IN","United States","46106","N","EVAN S FRUITS IS THE 100% OWNER AND SOLE MEMBER OF HIVE ENTERPRISES, LLC., WHICH IS THE 100% OWNER AND SOLE MEMBER OF KOON FINANCIAL PLANNING & CONSULTING, LLC"
1959483,"SMITH, MAURICE, RAVELLE","",5524928,11/12/2024,,"14055 RIVEREDGE DRIVE","SUITE 525","TAMPA","FL","United States","33607","N","PARENT COMPANY, MEMBERS TRUST COMPANY, BOARD DIRECTOR."
1959483,"Ito, Lucy","",8059719,11/12/2024,,"14055 RIVEREDGE DRIVE","SUITE 525","TAMPA","FL","United States","33607","N","PARENT COMPANY, MEMBERS TRUST COMPANY, BOARD DIRECTOR."
1936105,"O'Hara, Julie, Ann","",7948661,11/01/2023,,"WINDWARD 3","REGATTA OFFICE PARK","WEST BAY ROAD","","Cayman Islands","KY1 1204","N","DIRECTOR OF ASTARIS CAPITAL MANAGEMENT (CAYMAN) LIMITED"
1960184,"Garlikov, Donald, Edward","",217998,05/01/1983,,"41 S HIGH STREET, SUITE 3400","","COLUMBUS","OH","United States","43215","N","PRESIDENT OF GARLIKOV ADVISORS, INC. CHAIRMAN OF GARLIKOV & ASSOCIATES, INC."
1951672,"MORRIS, ROBERT, FRANCIS","",1194506,01/04/2022,,"105 COLLEGE ROAD EAST","","PRICETON","NJ","United States","08540","N","CHIEF OF COMPLIANCE"
1943878,"WHITTINGTON, KYLE, B","",5295189,01/01/2016,,"3008 PUMP HOUSE ROAD","","BIRMINGHAM","AL","United States","35243","N","PARTNER, PRESIDENT, CLIENT ADVISORY SERVICES, MANAGES THE DAY TO DAY OPERATIONS OF APPLICANT."
1933900,"DE LA PENA AMBITE, ISAAC","",7354188,11/15/2023,,"848 N. RAINBOW BOULEVARD","SUITE 8008","SUITE 8008","NV","United States","89107","N","CO-OWNER, CEO & CCO"
1940378,"GRAY, ROBERT, LAWRENCE","",6028998,07/01/1995,,"140 EAST 45TH STREET","34TH FLOOR","NEW YORK","NY","United States","10017","N","THE INDIVIDUAL IS A PARTNER OF THE FIRM AND HAS POWER TO DIRECT THE MANAGEMENT AND POLICIES OF THE ADVISER."
1940378,"SCHMIDT, WALTER, PETER","",6029003,07/01/1995,,"140 EAST 45TH STREET","34TH FLOOR","NEW YORK","NY","United States","10017","N","THE INDIVIDUAL IS A PARTNER OF THE FIRM AND HAS POWER TO DIRECT THE MANAGEMENT AND POLICIES OF THE ADVISER."
1940378,"STREICHER, DAVID, ALEXANDER","",2566810,01/01/2009,,"140 EAST 45TH STREET","34TH FLOOR","NEW YORK","NY","United States","10017","N","THE INDIVIDUAL IS A PARTNER OF THE FIRM AND HAS POWER TO DIRECT THE MANAGEMENT AND POLICIES OF THE ADVISER."
1940378,"KAYE, PETER, ANTHONY","",6317814,01/01/2010,,"140 EAST 45TH STREET","34TH FLOOR","NEW YORK","NY","United States","10017","N","THE INDIVIDUAL IS A PARTNER OF THE FIRM AND HAS POWER TO DIRECT THE MANAGEMENT AND POLICIES OF THE ADVISER."
1940378,"SHAH, NIRAJ, RAMESH","",4582948,01/01/2019,,"140 EAST 45TH STREET","34TH FLOOR","NEW YORK","NY","United States","10017","N","THE INDIVIDUAL IS A PARTNER OF THE FIRM AND HAS POWER TO DIRECT THE MANAGEMENT AND POLICIES OF THE ADVISER."
