"FilingID","ReferenceID","SubreferenceID","Name of General Partner, etc."
1982709,480347,151858,"AJ F&S GP LLC"
1982709,480347,151858,"STARWOOD F&S MANAGEMENT L.P."
1982709,480347,151857,"AJ F&S GP LLC"
1982709,480347,151857,"STARWOOD F&S MANAGEMENT L.P."
1982709,480347,151856,"AJ F&S GP LLC"
1982709,480347,151856,"STARWOOD F&S MANAGEMENT L.P."
1981299,454429,150975,"IBEX ISRAEL SECONDARY GP, LLC"
1981299,371440,145212,"IBEX ISRAEL VC GP II, LLC"
1981299,193242,137853,"STUART SCHNABOLK"
1981299,193242,137853,"ADAM AVERBACH"
1981299,253772,134295,"IBEX ISRAEL VC GP LLC"
1981299,162185,126709,"MARTIN LAUFER"
1981299,162185,126709,"COOPER STAINBROOK"
1981299,162185,126709,"MARK COOK"
1981299,162185,126710,"IBEX GP LLC"
1981299,285402,137854,"IBEX MOBILITY REVOLUTION VC GP LLC"
1981173,280462,137165,"WILLIAM WOODS"
1981173,280462,137165,"XIAOYING TIAN"
1981200,476802,151363,"LIGHTYEAR AMP CV GP, L.P."
1981200,234438,131222,"LIGHTYEAR FUND V GP, L.P."
1981454,184496,145816,"GDIF CAYMAN GP LIMITED"
1982805,38548,7175,"ARBITER PARTNERS CAPITAL MANAGEMENT, LLC"
1982805,38548,7175,"BROKEN CLOCK MANAGEMENT, L.L.C."
1982454,420867,147002,"SONE CAPITAL GP, LLC"
1982454,420867,147003,"SONE CAPITAL GP, LLC"
1982454,431043,149303,"SONE CAPITAL MANAGEMENT, LLC"
1982920,239302,131919,"HONTE CAPTIAL PARTNERS, LLC"
1982920,239302,131920,"YOLANDA BANKS MCCOY"
1982920,239302,131920,"JOSHUA BARLOW"
1982920,239302,131920,"QIN ZHU"
1982509,237647,132306,"FELICITAS SECONDARY FUND II GP, LP"
1982509,219761,131900,"FELICITAS GLOBAL PARTNERS, LLC"
1982509,479125,151690,"FELICITAS SECONDARY FUND III GP, LP"
1978593,25713,6434,"VIII HOTEL II 53RD GP, L.L.C."
1978593,20181,4677,"JEROME C. SILVEY"
1978593,20181,4677,"MADISON F. GROSE"
1978593,276962,140186,"SOF-XII INVESTORS GP, L.L.C."
1978593,374573,145598,"SDSS II MANAGEMENT, L.P."
1978593,374573,145601,"SDSS II MANAGEMENT, L.P."
1978593,20181,4677,"JEFFREY DISHNER"
1978593,478226,151607,"SOF-XIII INVESTORS GP, L.L.C."
1978593,65597,13396,"STARWOOD OPPORTUNITY FUND X INVESTORS GP, L.L.C"
1978593,25316,4674,"STARWOOD OPPORTUNITY FUND VIII-J INVESTOR GP, INC."
1978593,65596,13395,"STARWOOD OPPORTUNITY FUND X INVESTORS GP, L.L.C"
1978593,25286,4671,"STARWOOD OPPORTUNITY FUND IX INVESTORS GP, L.L.C."
1978593,25295,4672,"JEROME C. SILVEY"
1978593,20483,4670,"STARWOOD OPPORTUNITY FUND IX INVESTORS GP, L.L.C."
1978593,201024,123443,"STARWOOD XI MANAGEMENT, L.P."
1978593,201999,123895,"SOG VEP GP, L.L.C."
1978593,201990,123545,"WEHO CO-INVEST MANAGEMENT, L.P."
1978593,175677,117583,"SCG WHALE CO-INVEST MANAGEMENT GP, L.L.C."
1978593,235296,131365,"SOG VEP GP, L.L.C."
1978593,276961,140189,"SOF-12 AIV GP LIMITED"
1978593,276961,140190,"SOF-12 AIV GP LIMITED"
1978593,186224,120238,"SOF-11 INTERNATIONAL MANAGEMENT LUX, S.A.R.L"
1978593,255657,140156,"SOF-XII INVESTORS GP, L.L.C."
1978593,417573,146601,"STARWOOD EUROPEAN REAL ESTATE DEBT FINANCE II GP LIMITED"
1978593,478103,151586,"SOF-XIII INVESTORS GP, L.L.C."
1978593,186198,151918,"STARWOOD XI MANAGEMENT, L.P."
1978593,480596,151961,"STARWOOD XI MANAGEMENT, L.P."
1978593,480596,151960,"STARWOOD XI MANAGEMENT, L.P."
1978593,480596,151962,"STARWOOD XI MANAGEMENT, L.P."
1978593,480596,151963,"STARWOOD XI MANAGEMENT, L.P."
1978593,480596,151964,"STARWOOD XI MANAGEMENT, L.P."
1978593,480596,151965,"STARWOOD XI MANAGEMENT, L.P."
1978593,480596,151966,"STARWOOD XI MANAGEMENT, L.P."
1978593,480596,151967,"STARWOOD XI MANAGEMENT, L.P."
1978593,480596,151968,"STARWOOD XI MANAGEMENT, L.P."
1978593,480596,151969,"STARWOOD XI MANAGEMENT, L.P."
1978593,186198,151915,"STARWOOD XI MANAGEMENT, L.P."
1978593,186198,151917,"STARWOOD XI MANAGEMENT, L.P."
1978593,478136,151590,"SOF-XIII INVESTORS GP, L.L.C."
1978593,478136,151591,"SOF-XIII INVESTORS GP, L.L.C."
1978593,478232,151613,"SDOF XIII UK AIV GP LIMITED"
1978593,478232,151614,"SDOF XIII UK AIV GP LIMITED"
1978593,478232,151615,"SDOF XIII UK AIV GP LIMITED"
1978593,478103,151585,"SOF-XIII INVESTORS GP, L.L.C."
1978593,186224,151934,"STARWOOD XI MANAGEMENT, L.P."
1978593,220479,151940,"STARWOOD XI MANAGEMENT, L.P."
1978593,220479,151941,"STARWOOD XI MANAGEMENT, L.P."
1978593,478232,151616,"SDOF XIII UK AIV GP LIMITED"
1978593,478232,151617,"SOF-XIII INVESTORS GP, L.L.C."
1978593,478232,151618,"SOF-XIII INVESTORS GP, L.L.C."
1978593,201965,151946,"STARWOOD XI MANAGEMENT, L.P."
1978593,201965,151948,"STARWOOD XI MANAGEMENT, L.P."
1978593,287227,151949,"STARWOOD XI MANAGEMENT, L.P."
1978593,287227,151950,"STARWOOD XI MANAGEMENT, L.P."
1978593,287227,151951,"STARWOOD XI MANAGEMENT, L.P."
1978593,287227,151956,"STARWOOD XI MANAGEMENT, L.P."
1978593,287227,151958,"STARWOOD XI MANAGEMENT, L.P."
1978593,186224,151930,"STARWOOD XI MANAGEMENT, L.P."
