"FilingID","Individual Name","Firm or Organization Name","CRD Number","Effective Date","Termination Date","Street 1","Street 2","City","State","Country","Postal Code","Private Residence?","Description"
1999673,"Chohan, Haroon","",8119829,03/10/2025,,"600 FRANKLIN AVE","","GARDEN CITY","NY","United States","11530","N","MANAGING PARTNER AND 25% OWNERSHIP OF COMPANY"
1999673,"Lakhani, Abdul, Qadir","",6590164,03/10/2025,,"600 FRANKLIN AVE","","GARDEN CITY","NY","United States","11530","N","MANAGING PARTNER AND 25% OWNERSHIP OF COMPANY"
1999673,"Kakumanu, Srikanth","",8119830,03/10/2025,,"600 FRANKLIN AVE","","GARDEN CITY","NY","United States","11530","N","MANAGING PARTNER AND 25% OWNERSHIP OF COMPANY"
1999673,"Xie, Jacky","",7545641,04/07/2025,,"600 FRANKLIN AVE","","GARDEN CITY","NY","United States","11530","N","MANAGING PARTNER AND 25% OWNERSHIP"
1988527,"Shahani, Indu, NMN","",7686325,10/01/2019,,"9-11 FLOORS, NESCO IT PARK BUILDING NO. 3","WESTERN EXPRESS HIGHWAY, GOREGAON (EAST)","MUMBAI","","India","400063","N","DIRECTOR"
1988527,"","HSBC SECURITIES AND CAPITAL MARKETS (INDIA) PRIVATE LTD",,12/12/2001,,"9-11 FLOORS, NESCO IT PARK BUILDING NO. 3","WESTERN EXPRESS HIGHWAY, GOREGAON (EAST)","MUMBAI","","India","400063","N","SOLE SHAREHOLDER"
1988527,"Kulkarni, Kailash, NMN","",7686314,11/26/2022,,"9-11 FLOORS, NESCO IT PARK BUILDING NO. 3","WESTERN EXPRESS HIGHWAY, GOREGAON (EAST)","MUMBAI","","India","400063","N","CHIEF EXECUTIVE OFFICER"
1988527,"Thirumangalathu, Padmanabhan, NMN","",7686315,12/04/2015,,"9-11 FLOORS, NESCO IT PARK BUILDING NO. 3","WESTERN EXPRESS HIGHWAY, GOREGAON (EAST)","MUMBAI","","India","400063","N","CHIEF RISK OFFICER"
1988527,"Ramanathan, Shriram, NMN","",7686318,11/26/2022,,"9-11 FLOORS, NESCO IT PARK BUILDING NO. 3","WESTERN EXPRESS HIGHWAY, GOREGAON (EAST)","MUMBAI","","India","400063","N","CHIEF INVESTMENT OFFICER - FIXED INCOME"
1988527,"Manghat, Venugopal, NMN","",7686320,11/26/2022,,"9-11 FLOORS, NESCO IT PARK BUILDING NO. 3","WESTERN EXPRESS HIGHWAY, GOREGAON (EAST)","MUMBAI","","India","400063","N","CHIEF INVESTMENT OFFICER - EQUITY"
