"FilingID","Individual Name","Firm or Organization Name","CRD Number","Effective Date","Termination Date","Street 1","Street 2","City","State","Country","Postal Code","Private Residence?","Description"
1992518,"BLUMENSCHEIN, JOEL, REID","",1372334,04/28/2010,,"3061 ALLIED STREET","SUITE B","GREEN BAY","WI","United States","54304","N","PRESIDENT AND DIRECTOR"
1992518,"","FREEDOM SECURITIES, INC.",,04/28/2010,,"2717 N GRANDVIEW BLVD","SUITE 203","WAUKESHA","WI","United States","53188","N","MAJORITY COMMON SHAREHOLDER"
1992715,"STJOHN, RICHARD, JOSEPH","",1913537,10/01/2003,,"500 SUN VALLEY DRIVE, STE D-3","","ROSWELL,","GA","United States","30076","N","FOUNDER OF COMPANY, A 100% OWNERSHIP OF SUB-S CORPORATION. INVOLVED IN MANAGEMENT OF FIRM."
1992715,"ST. JOHN, GREGORY, RICHARD","",4644685,10/01/2003,,"500 SUN VALLEY DR STE D4","D-4","ROSWELL","GA","United States","30076","N","EXECUTIVE VICE PRESIDENT. INTEGRAL TO POLICY AND MANAGEMENT DECISIONS."
1987482,"","SVWA PARTNERS",,02/21/2019,,"1 SKIDAWAY VILLAGE WALK","SUITE 201","SAVANAH","GA","United States","31411","N","PURSUANT TO MANAGEMENT AGREEMENTS (THE ""MANAGEMENT AGREEMENTS"") BETWEEN SOUND VIEW WEALTH ADVISORS GROUP, LLC, FOCUS AND SVWA PARTNERS (THE ""MANAGEMENT COMPANY""), THE MANAGEMENT COMPANY HAS AGREED TO PROVIDE PERSONS TO SERVE AS OFFICERS OF SOUND VIEW WEALTH ADVISORS GROUP, LLC WHO, IN SUCH CAPACITY, WILL BE RESPONSIBLE FOR THE MANAGEMENT, SUPERVISION AND OVERSIGHT OF SOUND VIEW WEALTH ADVISORS GROUP, LLC.  THE MANAGEMENT COMPANY DOES NOT PROVIDE INVESTMENT ADVISORY SERVICES."
1988086,"BLUMENSCHEIN, JOEL, REID","",1372334,04/28/2010,,"3061 ALLIED STREET","SUITE B","GREEN BAY","WI","United States","54304","N","PRESIDENT AND DIRECTOR"
1988086,"","FREEDOM SECURITIES, INC.",,04/28/2010,,"2717 N GRANDVIEW BLVD","SUITE 203","WAUKESHA","WI","United States","53188","N","MAJORITY COMMON SHAREHOLDER"
1988350,"","CENTRICUS FINANCIAL INVESTMENTS GP LIMITED",,12/29/2021,,"WHITELEY CHAMBERS","DON STREET","ST HELIER","","Jersey","JE2 4TR","N","GENERAL PARTNER OF CENTRICUS HOLDINGS I LP AND CENTRICUS FINANCIAL INVESTMENTS LP"
1988350,"","CENTRICUS PARTNERS LP",,12/29/2021,,"WHITELEY CHAMBERS","DON STREET","ST HELIER","","Jersey","JE2 4TR","N","BENEFICIAL OWNER OF CENTRICUS FINANCIAL INVESTMENTS GP LIMITED"
1989102,"Fernandez, Brian, Joseph","",4767507,03/01/2025,,"275 N. LINDBERGH","","ST. LOUIS","MO","United States","63141","N","EXECUTIVE OFFICER"
1989102,"LEWIS, MARK, BRINLEY","",4561231,09/01/2023,,"275 N. LINDBERGH","","ST. LOUIS","MO","United States","63141","N","EXECUTIVE OFFICER"
1989102,"MCARTHUR, JOHN, MICHAEL","",4389397,03/15/2012,,"275 N. LINDBERGH","","ST. LOUIS","MO","United States","63141","N","EXECUTIVE OFFICER"
1987005,"KESTLER, JOSHUA, DAVID","",5864317,02/22/2023,,"300 PARK AVENUE","22ND FLOOR","NEW YORK","NY","United States","10022-7402","N","CHIEF EXECUTIVE OFFICER"
1987005,"LAPKIN, ANDREW, SCOTT","",5478616,02/22/2023,,"300 PARK AVENUE","22ND FLOOR","NEW YORK","NY","United States","10022-7402","N","CHIEF OPERATING OFFICER"
1987005,"HEISS, STUART, JASON","",2757909,11/21/2024,04/15/2025,"300 PARK AVENUE","22ND FLOOR","NEW YORK","NY","United States","10022-7402","N","CHIEF COMPLIANCE OFFICER"
1987005,"McGowan, Kelly, Teresa","",7332438,04/15/2025,,"VISCOUNT HOUSE","6-7 FITZWILLIAM SQUARE EAST","DUBLIN","","Ireland","D02 Y447","N","CHIEF COMPLIANCE OFFICER"
1989273,"KESTLER, JOSHUA, DAVID","",5864317,02/22/2023,,"300 PARK AVENUE","22ND FLOOR","NEW YORK","NY","United States","10022-7402","N","CHIEF EXECUTIVE OFFICER"
1989273,"LAPKIN, ANDREW, SCOTT","",5478616,02/22/2023,,"300 PARK AVENUE","22ND FLOOR","NEW YORK","NY","United States","10022-7402","N","CHIEF OPERATING OFFICER"
1989273,"McGowan, Kelly, Teresa","",7332438,04/15/2025,,"VISCOUNT HOUSE","6-7 FITZWILLIAM SQUARE EAST","DUBLIN","","Ireland","D02 Y447","N","CHIEF COMPLIANCE OFFICER"
