"FilingID","Other Name","BD","RR","Pool","FCM","Real Estate","Insurance","Bank","Trust","Municipal","Swap Dealer","Swap Participant","Accountant","Lawyer","Other","Other Description"
1957865,"BANCROFT BUCKLEY JOHNSTON & SERRES LLP","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1955995,"YANDELL & COMPANY P.A.","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1946167,"ELEVATED FINANCIAL SERVICES, LLC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1946167,"ELEVATED TAX GROUP, LLC.","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1948300,"AVISEN WEALTH MANAGEMENT INC.","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
1945040,"MARSHALL D GOINS","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1937863,"THE CERTIOR GROUP","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","FAMILY TRUST ADMINISTRATION"
1952813,"WILLOW RIVER LLC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","LOAN SERVICING"
1938017,"MCCANNON TYLER & ASSOCIATES, LLC","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1951810,"JOHN STEVENSON","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1954749,"BROTHERS TAX","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1952577,"QBC, INC. DBA EKON BENEFITS","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","RECORD-KEEPER AND THIRD PARTY ADMINISTRATOR"
1952758,"THE RETIREMENT PLANNING GROUP, LLC","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1951810,"SHAWN FLEMING","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1951267,"THE WOLF GROUP, P.C.","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1945743,"JEREMY BIGELOW THOMPSON","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1945743,"MICHAEL CHRISTOPHER KRUEGER,","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1945743,"LUKE TIMOTHY PARTON","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1945743,"TOBIAS RYAN YEARMS","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1952344,"OSAIC WEALTH, INC","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N",""
1933405,"CAPULENT, LLC","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
1962286,"CITY NATIONAL SECURITIES, INC.","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
1923142,"RAMUSEVIC, CASCIO, & KAPLAN, CPA'S","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1962183,"STEVEN HOPPEL - LIFE, HEALTH & DISABILITY INSURANCE AGENT - CA INS LIC #0L44233","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1962150,"ARCADIA SETTLEMENTS","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1961426,"ARBOR COURT CAPITAL","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
1962481,"GVA INSURANCE BROKERS","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1937237,"DOWLING FINANCIAL GROUP, LLC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1937237,"DOWLING TAX GROUP, LLC","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1937237,"SEAN M. DOWLING","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
1949486,"R.J. CLOUD, PLLC","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1949486,"MGC LAW FIRM PLLC","N","N","N","N","N","N","N","N","N","N","N","N","Y","N",""
1950262,"PURSHE KAPLAN STERLING INVESTMENTS, INC.","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N",""
1926500,"UTAH DIVORCE PLANNING","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","CDFA - CERTIFIED DIVORCE FINANCIAL ANAYLST"
1934215,"COKER & PALMER","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1934215,"COKER & PALMER INSTITUTIONAL/CP INSTITUTIONAL","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
1941406,"SEVERIN FINANCIAL GROUP","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1955624,"PAX FINANCIAL GROUP INSURANCE SERVICES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1955753,"CITY NATIONAL SECURITIES, INC.","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
1942034,"INTEGRA FINANCIAL, INC.","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1949985,"BAUMAN FINANCIAL GROUP","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1950317,"CITY NATIONAL SECURITIES, INC.","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
1951533,"M.S. HOWELLS & CO.","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
1956500,"MCGOWAN & CO LLC","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1940545,"THE TAX PRACTICE, INC.","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","TAX PREPARATION SERVICES"
1949430,"AGES FINANCIAL SERVICES","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
1949430,"ESTATE INSURANCE SERVICES LTD","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1935271,"LAW OFFICE OF DEREK DANSBY","N","N","N","N","N","N","N","N","N","N","N","N","Y","N",""
1947334,"GUILFORD SAVINGS BANK","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
1958347,"QUANTSTRAT INVESTMENTS","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","SIGNAL AND MODEL PORTFOLIO PROVIDER"
1956664,"IP FINANCIAL ADVISORY SERVICES LLC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1933900,"TECHFULL (TECHFULL.US)","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","TECHNOLOGY DEVELOPMENT SERVICES"
1957545,"QUASAR DISTRIBUTORS, LLC","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
1941502,"SAGE, RUTTY & CO., INC.","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1956304,"AGES FINANCIAL SERVICES","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
1956304,"ESTATE INSURANCE SERVICES LTD","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1956333,"ABUNDANCE RISK MANAGEMENT","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1956333,"ESTATE DESIGN, LLC","N","N","N","N","N","N","N","N","N","N","N","N","Y","N",""
1957573,"BRESCIA MCCLUSKEY, LLC","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1954210,"NEPSIS RETIREMENT SERVICES, INC.","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","QUALIFIED RETIREMENT ACCOUNT ADMINISTRATION"
1944549,"BENCHMARK FINANCIAL INSURANCE ADVISORS LLC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1944549,"BENCHMARK FINANCIAL BENEFITS & RISK SERVICES LLC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1941577,"RYAN MCNEILLY & ASSOCIATES, CPAS, LLC","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1954318,"MATTHEW S. KIMBERLEY","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1950792,"HUDSON HERITAGE GROUP","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1940541,"GUERRA ADVISORS INC.","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1947087,"BLUM MANAGEMENT GROUP, INC.","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1947087,"STRATEGIC BOOKKEEPER LLC, A SUBSIDIARY OF BLUM MANAGEMENT GROUP, INC.","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1933022,"3RD CREEK ACCOUNTING","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1948739,"PRINCETON FINANCIAL GROUP RISK MANAGEMENT, LLC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1948739,"PRINCETON FINANCIAL GROUP TAX, ACCOUNTING & CONSULTING, LLC","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1951965,"WELLS FARGO ADVISORS","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","INSURANCE PRODUCT SALES"
1941761,"HOLISTIC FINANCE","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1947307,"ENTREPRENEUR DEVELOPMENT, INC.","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
