"FilingID","Other Products and Services","Business Name"
1975654,"INSURANCE",""
1980581,"PERSONAL FINANCIAL SERVICES.","OCTAVIA GROUP"
1976190,"THE REGISTRANT ALSO PROVIDES PERFORMANCE MEASUREMENT REPORTING SERVICES AND ACCESS TO PROPRIETARY PERFORMANCE MONITORING AND PORTFOLIO ANALYTICS SOFTWARE.",""
1976937,"ESTATE PLANNING, TAX PREP, FINANCIAL PLANNING",""
1960714,"IT MIGHT BE NECESSARY FOR OUR LICENSED INSURANCE AGENTS TO SELL SOME FORM OF LIFE INSURANCE PRODUCT TO MEET A CLIENTS NEEDS.  AN EXAMPLE: VARIABLE OR A TERM LIFE POLICY.",""
1976494,"FINANCIAL COACHING",""
1979208,"OUR AFFILIATE, FOCUS RISK SOLUTIONS, LLC, ASSISTS OUR CLIENTS WITH REGULATED INSURANCE SALES ACTIVITY.   UPTIQ FACILITATES CREDIT AND CASH MANAGEMENT SOLUTIONS FOR OUR CLIENTS.   PLEASE REFER TO SCHEDULE D - MISCELLANEOUS FOR MORE INFORMATION.",""
1952093,"IARS OF SCHECHTER INVESTMENT ADVISORS, LLC (SIA) ARE ALSO LICENSED INS. AGENTS OF AFFILIATE ROBERT SCHECHTER & ASSOC. (DBA SCHECHTER WEALTH) AND SELL LIFE INS. AS SUCH IN THEIR CAPACITY AS LICENSED INS. AGENTS.",""
1936676,"RECOMMENDATION AND IMPLEMENTATION OF INSURANCE PRODUCTS AS NEEDED.",""
1979152,"BROKER DEALER BUSINESS INCLUDING BUT NOT LIMITED TO STOCKS, BONDS, MUTUAL FUNDS, EXCHANGE TRADES FUNDS/NOTES, VARIABLE ANNUITIES, REITS, BDC, OPTIONS.",""
1979173,"FOR A COMPLETE DESCRIPTION OF OTHER PRODUCTS AND SERVICES, SEE SCHEDULE D, MISCELLANEOUS.",""
1977261,"WE ADDITIONALLY SELL INSURANCE PRODUCTS TO OUR INVESTMENT ADVISORY CLIENTS",""
1979298,"INSURANCE PRODUCTS",""
1979304,"INSURANCE THROUGH AFFILIATE FOCUS RISK SOLUTIONS. UPTIQ FACILITATES CREDIT AND CASH MANAGEMENT SOLUTIONS FOR CLIENTS.  DUE TO SPACE CONSTRAINTS HERE, PLEASE REFER TO SCHEDULE D-MISCELLANEOUS FOR MORE INFORMATION",""
1979318,"PROVIDE INSURANCE SERVICES",""
1979362,"TAX PREPARATION",""
1979297,"REGISTRANT COMPLEMENTS ITS ADVISORY SERVICES BY PROVIDING CLIENTS WITH PERSONAL ACCOUNTING/BILL PAY AND TAX PREPARATION SERVICES. IN ADDITION, WHERE APPROPRIATE, REGISTRANT INTRODUCES ITS CLIENTS TO THE BROADER NETWORK AND RESOURCES OF GOLDMAN SACHS.",""
1964458,"5C CAPITAL MANAGEMENT, LLC, THROUGH ITS REPRESENTATIVES, MAY RECEIVE A COMMISSION ON INSURANCE OR ANNUITY PRODUCT IMPLEMENTATION.",""
