"FilingID","ReferenceID","Name of Adviser","SEC File Number","CRD Number"
1986692,427459,"SHIKHARA CAPITAL (HONG KONG) PRIVATE LIMITED (COMPANY)","802-131520",332188
1989501,33862,"NINE MASTS CAPITAL ADVISERS LLC","802-127346",322775
1985682,28567,"LITORINA CAPITAL ADVISORS AB","",
1988158,426036,"GORDIAN CAPITAL SINGAPORE PRIVATE LIMITED","801-114176",281555
1988158,426036,"ALBAR CAPITAL (USA) LLC","802-131100",332051
1955867,426036,"GORDIAN CAPITAL SINGAPORE PRIVATE LIMITED","801-114176",281555
1955867,426036,"ALBAR CAPITAL (USA) LLC","802-131100",332051
1989599,365469,"ALANDA CAPITAL MANAGEMENT","",
1975928,484591,"CSR FUND II MANAGER, LLC","",
1989200,437646,"OCP ASIA (HONG KONG) LIMITED","802-112987",294456
1989200,437646,"OCP ASIA (AUSTRALIA) PTY LIMITED","802-125836",321639
1989200,234341,"OCP ASIA (AUSTRALIA) PTY LIMITED","802-125836",321639
1989200,252655,"OCP ASIA (HONG KONG) LIMITED","802-112987",294456
1989200,234342,"OCP ASIA (AUSTRALIA) PTY LIMITED","802-125836",321639
1989200,234340,"OCP ASIA (AUSTRALIA) PTY LIMITED","802-125836",321639
1989200,234342,"OCP ASIA (HONG KONG) LIMITED","802-112987",294456
1989200,252655,"OCP ASIA (AUSTRALIA) PTY LIMITED","802-125836",321639
1989200,234340,"OCP ASIA (HONG KONG) LIMITED","802-112987",294456
1989200,234341,"OCP ASIA (HONG KONG) LIMITED","802-112987",294456
1989200,285031,"OCP ASIA (HONG KONG) LIMITED","802-112987",294456
1989200,285031,"OCP ASIA (AUSTRALIA) PTY LIMITED","802-125836",321639
1989648,247442,"IQ EQ FUND MANAGEMENT (LUXEMBOURG) S.A.","",
1982793,167320,"COVALIS (GIBRALTAR) LIMITED","802-120347",311614
1982793,252677,"COVALIS (GIBRALTAR) LIMITED","802-120347",311614
1982793,187514,"COVALIS (GIBRALTAR) LIMITED","802-120347",311614
1983108,38208,"TRILANTIC CAPITAL PARTNERS LLP","802-113708",297837
1983108,38208,"TRILANTIC EUROPE V S.A R.L.","802-121676",314684
1974879,202058,"CREACION VENTURES MANAGEMENT US LLC","802-121141",313672
1990333,247442,"IQ EQ FUND MANAGEMENT (LUXEMBOURG) S.A.","",
1989425,288888,"VANGUARD GLOBAL ADVISERS, LLC","801-76825",164593
1989425,288895,"BAILLIE GIFFORD OVERSEAS LTD","801-21051",110296
1989425,288895,"VANGUARD GLOBAL ADVISERS, LLC","801-76825",164593
1989425,288895,"WELLINGTON MANAGEMENT CANADA LLC","801-80256",172386
1989425,288895,"PZENA INVESTMENT MANAGEMENT LLC","801-50838",106847
1988342,449703,"IK INVESTMENT PARTNERS AIFM","802-107766",283689
1988342,449705,"IK INVESTMENT PARTNERS AIFM","802-107766",283689
1988342,476255,"IK INVESTMENT PARTNERS AIFM","802-107766",283689
1988342,214729,"IK INVESTMENT PARTNERS AIFM","802-107766",283689
1988342,252218,"IK INVESTMENT PARTNERS AIFM","802-107766",283689
1988342,376993,"IK INVESTMENT PARTNERS AIFM","802-107766",283689
1988342,355712,"IK INVESTMENT PARTNERS AIFM","802-107766",283689
1988342,284655,"IK INVESTMENT PARTNERS AIFM","802-107766",283689
1988342,252220,"IK INVESTMENT PARTNERS AIFM","802-107766",283689
1988342,171065,"IK INVESTMENT PARTNERS AIFM","802-107766",283689
1992190,436478,"DWS ALTERNATIVES GLOBAL LIMITED","801-66274",139526
1992190,237419,"DWS ALTERNATIVES GLOBAL LIMITED","801-66274",139526
1992190,362544,"DWS ALTERNATIVES GLOBAL LIMITED","801-66274",139526
1992190,396641,"DWS ALTERNATIVES GLOBAL LIMITED","801-66274",139526
1992190,397306,"DWS ALTERNATIVES GLOBAL LIMITED","801-66274",139526
1992190,284615,"DWS ALTERNATIVES GLOBAL LIMITED","801-66274",139526
1985420,311934,"RCUBE ASSET MANAGEMENT","",
1990196,41676,"BLACKROCK ASSET MANAGEMENT NORTH ASIA LIMITED","801-77343",165482
1990196,41687,"BLACKROCK ASSET MANAGEMENT NORTH ASIA LIMITED","801-77343",165482
1983824,285194,"CIBUS CAPITAL LLP","802-110996",289206
1983824,279501,"CIBUS CAPITAL LLP","802-110996",289206
