"FilingID","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","Telephone Number","Facsimile Number","Branch Number","Employees","BD","Bank","Insurance","Commodity","Municipal","Accounting","Law","Other"
1999631,"LIBERATION STATION","","ST. HELIER, CHANNEL ISLANDS","","Jersey","JE2 3AS","N","+44 2045264402","",,0,"N","N","N","N","N","N","N",""
2007887,"","","","","","","Y","424-394-4749","",,0,"N","N","N","N","N","N","N",""
2013257,"3270 ALPINE RD.","","PORTOLA VALLEY","CA","United States","94028","N","6503883676","",,2,"N","N","N","N","N","N","N",""
2010625,"PRAIA DE BOTAFOGO, 501","5? E 6? ANDARES - TORRE CORCOVADO","RIO DE JANEIRO","","Brazil","04538-133","N","1133833311","",,30,"N","N","N","N","N","N","N","THIS OFFICE PERFORMS THE SAME ACTIVITIES AS THE MAIN OFFICE, BANK (INCLUDING A SEPARATELY IDENTIFIABLE DEPARTMENT OR DIVISION OF A BANK)"
2006901,"10250 CONSTELLATION BLVD.","STE. 2300","LOS ANGELES","CA","United States","90067","N","310-315-8835","",,2,"N","N","N","N","N","N","N",""
2006901,"","","","","","","Y","310-315-8861","",,1,"N","N","N","N","N","N","N",""
2006356,"SHIODOME SUMITOMO BUILDING 16F 1-9-2,","HIGASHI-SHIMBASHI, MINATO-KU","TOKYO","","Japan","105-0021","N","+81345786300","",,18,"N","N","N","N","N","N","N",""
2006356,"80 RAFFLES PLACE, NO. 18-01","UOB PLAZA 1","SINGAPORE","","Singapore","048624","N","+65 6416 7888","",,7,"N","N","N","N","N","N","N",""
2006356,"8/F DALAMAL HOUSE NARIMAN POINT","","MUMBAI","","India","400 021","N","+912256505050","",,2,"N","N","N","N","N","N","N",""
2006356,"30TH FLOOR, ONE IFC, 10 GUKJEGEUMYUNG-RO,","YEONGDEUNGPO-GU","SEOUL","","Korea, South","07326","N","+82220084981","",,2,"Y","N","N","N","N","N","N",""
2012392,"500 WEST PUTNAM AVENUE","SUITE 400","GREENWICH","CT","United States","06830","N","6464623150","",,1,"N","N","N","N","N","N","Y",""
2004963,"","","","","","","Y","917-655-9699","",,1,"N","N","N","N","N","N","N",""
2012137,"LIBERTY HOUSE","222 REGENT STREET","LONDON","","United Kingdom","W1B 5TR","N","+447926633965","",,5,"N","N","N","N","N","N","N",""
2012137,"248 CASA BLANCA CIRCLE","","FORT WORTH","TX","United States","76107","N","3475870288","",,1,"N","N","N","N","N","N","N",""
2012140,"1070 MARYLAND STREET","SUITE 295","SAN FRANCISCO","CA","United States","94107","N","415-363-3732","",,4,"N","N","N","N","N","N","N",""
2012140,"248 CASA BLANCA CIRCLE","","FORT WORTH","TX","United States","76107","N","3475870288","",,1,"N","N","N","N","N","N","N",""
2008669,"6301 GASTON AVE","SUITE: 1306","DALLAS","TX","United States","75214","N","2147094425","",,1,"N","N","N","N","N","N","N",""
2011030,"15 CLERKENWELL CLOSE","","LONDON","","United Kingdom","EC1R 0AA","N","00447840045900","",,1,"N","N","N","N","N","N","N",""
2013238,"420 BOYLSTON STREET","SUITE 602","BOSTON","MA","United States","02116","N","6179333770","",,4,"N","N","N","N","N","N","N",""
2006681,"2114 E ACHIEVE WAY","","TEMPE","AZ","United States","85288","N","480-880-9431","",,0,"N","N","N","N","N","N","N","1 LEGAL EMPLOYEE; 1 INVESTOR OPERATIONS EMPLOYEE; 1 FUND ACCOUNTING EMPLOYEE"
2001541,"43 HAZELTON AVENUE","","TORONTO, ONTARIO","","Canada","M5R 2E3","N","647-776-1777","",,0,"N","N","N","N","N","N","N",""
2001541,"","","","","","","Y","647-776-1777","",,0,"N","N","N","N","N","N","N",""
2006452,"SPARK B (7TH FLOOR)","ALEJA SOLIDARNOSCI 171 ST.","WARSAW","","Poland","00-877","N","+48 22 2726540","+48 22 2726541",,3,"N","N","N","N","N","N","N",""
2006452,"55 LUDGATE HILL","PROCESSION HOUSE","LONDON","","United Kingdom","EC4M 7JW","N","+4402035452000","",,159,"N","N","N","Y","N","N","N",""
2009291,"9 STRAITS VIEW","#24-08 MARINA ONE WEST TOWER","SINGAPORE","","Singapore","018937","N","+65 6031 0883","",,26,"N","N","N","Y","N","N","N",""
2006912,"LEVEL 22, SIX PACIFIC PLACE","50 QUEEN'S ROAD EAST","WANCHAI","","Hong Kong","000000","N","+852 3428 2764","",,14,"N","N","N","Y","N","N","N",""
2011553,"17 E. 48TH STREET","4TH FLOOR","NEW YORK","NY","United States","10017","N","2016946274","",,1,"N","N","N","N","N","N","N",""
2009244,"","","","","","","Y","(847) 502-2733","",,1,"N","N","N","N","N","N","N",""
2012360,"500 WEST PUTNAM AVENUE","SUITE 400","GREENWICH","CT","United States","06830","N","6464623150","",,1,"N","N","N","N","N","N","Y",""
2007831,"79 MADISON AVE","","NEW YORK","NY","United States","10016","N","9177012790","",,1,"N","N","N","N","N","N","N",""
2007831,"1022 PARK STREET","SUITE 405","JACKSONVILLE","FL","United States","32204","N","9048744549","",,1,"N","N","N","N","N","N","N",""
2008547,"SUITE 510 - 215 SPADINA AVE","","TORONTO, ONTARIO","","Canada","M5T 2C7","N","604-449-5620","",,5,"N","N","N","N","N","N","N",""
2008394,"6 QUEEN STREET","PANNELL HOUSE","LEEDS","","United Kingdom","LS1T2W","N","447734311560","",,1,"N","N","N","N","N","N","N","BUSINESS MEETINGS"
2008394,"610 UNIVERSITY AVE","","PALO ALTO","CA","United States","94301","N","410-949-5659","",,2,"N","N","N","N","N","N","N","BUSINESS MEETINGS"
2008394,"BAARERSTRASSE 95","","CH-6300 ZUG","","Switzerland","","N","41417267866","",,5,"N","N","N","N","N","N","N","BUSINESS MEETINGS"
