"FilingID","2A1","2A2","2A3","2A4","2A5","2A6","2A7","2A8","2A9","2A10","2A11","2A11(1)","2A11(2)","2A12","2A13","2-AL","2-AK","2-AZ","2-AR","2-CA","2-CO","2-CT","2-DE","2-DC","2-FL","2-GA","2-HI","2-ID","2-IL","2-IN","2-IA","2-KS","2-KY","2-LA","2-ME","2-MD","2-MA","2-MI","2-MN","2-MS","2-MO","2-MT","2-NE","2-NV","2-NH","2-NJ","2-NM","2-NY","2-NC","2-ND","2-OH","2-OK","2-OR","2-PA","2-PR","2-RI","2-SC","2-SD","2-TN","2-TX","2-UT","2-VT","2-VA","2-WA","2-WV","2-WI","2-GU","2-VI","3A","3A-Other","3B","3C","3C-State","3C-Country"
1924200,"Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","Limited Liability Company","","DECEMBER","","Washington","United States"
1925300,"Y","","","","","","","","","","","","","","","","","","","Y","Y","","","","Y","","","Y","Y","","Y","Y","","","","","","","Y","","Y","","Y","Y","","Y","","Y","Y","","","Y","Y","","","","","","","Y","","","","Y","","","","","Limited Liability Company","","DECEMBER","","Kansas","United States"
1926800,"Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","Y","","","Y","","","Y","Y","","","","","","","","Limited Liability Company","","DECEMBER","","North Carolina","United States"
1928600,"","","","","Y","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Limited Liability Company","","DECEMBER","","California","United States"
1931000,"Y","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","Y","","Y","","","","","","Y","","","","","","Y","","","Y","","","","","","Limited Liability Company","","DECEMBER","","Pennsylvania","United States"
1931200,"Y","","","","","","","","","","","","","","","","","Y","","Y","","","","","","","","","","","","","","","","","Y","Y","","","","","","","Y","","Y","","","","Y","","Y","","","","","","","Y","","","","","","","","","Limited Liability Company","","DECEMBER","","New Mexico","United States"
1933000,"Y","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","Corporation","","DECEMBER","","Delaware","United States"
1933300,"Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","Y","","","Y","","","Y","","","","","","Limited Liability Company","","DECEMBER","","Pennsylvania","United States"
1934200,"Y","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","Y","","","","","Limited Partnership","","DECEMBER","","California","United States"
1934600,"Y","","","","","","","","","","","","","","","","","Y","","Y","Y","","","","Y","Y","","Y","Y","","Y","","","","","","","Y","Y","","","","Y","Y","Y","","","","","","","Y","","","","","","","","Y","Y","","","Y","","Y","","","Limited Liability Company","","DECEMBER","","Minnesota","United States"
1935000,"Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Limited Liability Company","","DECEMBER","","Delaware","United States"
1935100,"Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","Limited Liability Company","","DECEMBER","","Washington","United States"
1935500,"Y","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","Y","Limited Partnership","","DECEMBER","","Missouri","United States"
1935800,"Y","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","Y","Corporation","","DECEMBER","","North Carolina","United States"
1936500,"Y","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","Y","","","","Y","","","","","Limited Liability Company","","DECEMBER","","California","United States"
1936700,"Y","","","","","","","","","","","","","","","","","","","Y","","","","","Y","Y","","","","","","","","Y","","","","","","","","","","","","","","","Y","","","","","","","","Y","","","Y","","","Y","","","","","","Limited Liability Company","","DECEMBER","","Georgia","United States"
1937100,"","","","","","","","","","","Y","N","Y","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Limited Liability Company","","DECEMBER","","California","United States"
1937800,"Y","","","","","","","","","","","","","","","","","Y","","","","","","","Y","Y","","","","","","","","Y","","","Y","","","","","","","","Y","Y","Y","Y","Y","","","","","","","","Y","","","Y","","Y","Y","","","","","","Corporation","","DECEMBER","","Delaware","United States"
1938600,"Y","","","","","","","","","","","","","","","Y","","","","","Y","","","","Y","Y","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","Y","Y","","","","","","","","","Limited Liability Company","","DECEMBER","","Alabama","United States"
1939300,"Y","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","Y","Y","","","","","","","","","","","","","","","","","","Y","Y","","Y","","","","","","","","","Y","","","","","","","","","Corporation","","DECEMBER","","Indiana","United States"
1939700,"","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","Limited Liability Company","","DECEMBER","","Utah","United States"
1940500,"Y","","","","","","","","","","","","","","","","","Y","","Y","","","","","Y","","","","","Y","","","","","","","","Y","","","","","","Y","","","","","","","Y","","","","","","","","","Y","","","","","","","","","Limited Liability Company","","DECEMBER","","Michigan","United States"
1940700,"Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Limited Liability Company","","DECEMBER","","Delaware","United States"
1941200,"","","","","","","","","Y","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","Corporation","","DECEMBER","","New York","United States"
1942900,"Y","","","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","Y","Y","Y","Y","","","Y","Y","","","","Y","","","Y","Y","Y","Y","","","","","Y","Y","Y","Y","Y","","Y","Y","Y","Y","","Y","Y","","Y","Y","Y","Y","Y","Y","Y","Y","","","Limited Liability Company","","DECEMBER","","New York","United States"
1943800,"","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Limited Liability Company","","DECEMBER","","California","United States"
1945000,"Y","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","Y","","","","Y","","","","","Limited Liability Company","","DECEMBER","","California","United States"
1946500,"Y","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","Y","","","Y","","","","","","","","","","","","","","Y","","","","","","","Corporation","","DECEMBER","","New York","United States"
1908165,"","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Limited Liability Company","","DECEMBER","","Delaware","United States"
1908287,"","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","Limited Liability Company","","DECEMBER","","Delaware","United States"
1909309,"","","","","","","","","Y","","","","","","","","","","","Y","","","","","Y","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","Limited Liability Company","","DECEMBER","","Delaware","United States"
1909859,"Y","","","","","","","","","","","","","","","Y","","Y","Y","Y","Y","","","","Y","Y","","","","","","","","Y","","","","","","","Y","","Y","","Y","","","","Y","","","Y","","","","","","","Y","Y","","","Y","Y","","","","","Limited Liability Company","","DECEMBER","","Delaware","United States"
1910683,"Y","","","","","","","","","","","","","","","","","","","Y","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","Y","","","","","","","","","Corporation","","DECEMBER","","New York","United States"
1911018,"Y","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","Y","Limited Liability Company","","DECEMBER","","Arkansas","United States"
1911985,"Y","","","","","","","","","","","","","","","","","","","Y","","","","","Y","","","","Y","","","","","","","","","Y","","","","","","","","","","","","","Y","","","","","","","","","Y","","","","","","","","","Limited Liability Company","","DECEMBER","","Michigan","United States"
1912106,"Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Limited Partnership","","DECEMBER","","Delaware","United States"
1912238,"Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","Y","","","","","","","","Y","","","Y","","","","","","","","","Corporation","","DECEMBER","","North Carolina","United States"
1912943,"","Y","","","","","","","","","","","","","","","","","","Y","","","","","Y","","","","","","","","","","","","","","","","","","","","","Y","","Y","","","","","","","","","","","","","","","","","","","","","Limited Liability Company","","DECEMBER","","Delaware","United States"
1913217,"","","","","","","","","Y","","","","","","","Y","","Y","Y","","Y","","","","Y","Y","","","Y","","","","Y","Y","Y","Y","","","","Y","Y","Y","","","","","","Y","Y","","Y","","","","","","","","Y","Y","","","","","","Y","","","Limited Liability Company","","DECEMBER","","Mississippi","United States"
1913469,"Y","","","","","","","","","","","","","","","","","Y","","Y","Y","","","","Y","","","","Y","Y","Y","","","","","Y","","Y","","","Y","","Y","Y","Y","","","","Y","","Y","","Y","Y","","","","","","Y","Y","","","Y","","","","","Limited Liability Company","","DECEMBER","","Arizona","United States"
1913494,"Y","","","","","","","","","","","","","","","","","","","Y","Y","Y","","","Y","","","","","","","","","","Y","","Y","","","","","","","","Y","","","","","","","","","","","Y","","","","Y","","","","","","","","","Corporation","","DECEMBER","","Massachusetts","United States"
1914350,"Y","","","","","","","","","","","","","","","","","","","","Y","","Y","","Y","","","","","","","","","","","Y","Y","","","","","","","","","Y","","","Y","","","","","Y","","","Y","","","","","","","","","","","","Corporation","","DECEMBER","","Pennsylvania","United States"
1914520,"Y","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","Y","","","","","","","","Y","","","","","","","","","","","Y","","","","Y","","","","","","","","","Limited Liability Company","","DECEMBER","","Rhode Island","United States"
1914916,"Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","Y","","","","Y","","","","","","","","","","","","","","","","","Y","","","","","","","","","Limited Liability Company","","DECEMBER","","Minnesota","United States"
1915319,"Y","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Limited Liability Company","","DECEMBER","","Kentucky","United States"
1915326,"Y","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Limited Partnership","","DECEMBER","","Delaware","United States"
1915574,"","Y","","","","","","","","","","","","","","","","","","","","","Y","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Limited Liability Company","","DECEMBER","","Delaware","United States"
1917531,"Y","","","","","","","","","","","","","","","","","","","Y","","","","Y","","","","","Y","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","Y","","","","","","","","","Limited Partnership","","DECEMBER","","Delaware","United States"
1917563,"Y","","","","","","","","","","","","","","","","","","","Y","","Y","","","Y","","","","","Y","","","","Y","","Y","Y","","","","","","","","Y","Y","","Y","","","","","","Y","","Y","","","","Y","","","Y","","","","","","Limited Liability Company","","DECEMBER","","Connecticut","United States"
1917571,"Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","Y","","","","","","","","","","","","","","","Y","","","","","","","","","Corporation","","DECEMBER","","Minnesota","United States"
1917639,"Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","Y","Y","","","","","","","","","Limited Liability Company","","DECEMBER","","Tennessee","United States"
