"FilingID","Wrap Fee Program","Sponsor","Sponsor SEC File Number","Sponsor CRD Number"
1975654,"TOUCHSTONE CAPITAL INC WRAP FEE","TOUCHSTONE CAPITAL INC","",
1980581,"MANAGED ACCOUNT CONSULTING (MAC) PROGRAM","D.A. DAVIDSON & CO.","801-45761",199
1975314,"POLARIS FINANCIAL PARTNERS, LLC WRAP FEE PROGRAM","POLARIS FINANCIAL PARTNERS, LLC","",299258
1977058,"INVESTMENT MANAGEMENT PROGRAM","JANNEY MONTGOMERY SCOTT LLC","801-7258",463
1977058,"MANAGED MONEY PROGRAM","BNY ADVISORS","801-52378",106108
1977058,"MERRILL ONE","MANAGED ACCOUNT ADVISORS LLC","801-67569",142558
1977058,"STIFEL MANAGED ASSET PROGRAM","STIFEL, NICOLAUS & COMPANY, INCORPORATED","801-10746",793
1977058,"CONSULTING GROUP SELECT UMA PROGRAM","CITIGROUP GLOBAL MARKETS INC.","801-3387",7059
1977058,"ACCESS PROGRAM","CHARLES SCHWAB & CO., INC.","801-29938",5393
1977058,"FIRST REPUBLIC PLATFORM","J.P. MORGAN PRIVATE WEALTH ADVISORS LLC","801-56293",108559
1977058,"DYNAMIC ALLOCATION PORTFOLIOS UMA PROGRAM","CITIGROUP GLOBAL MARKETS INC.","801-3387",7059
1977058,"SEPARATE ACCOUNT PROGRAM","ENVESTNET PORTFOLIO SOLUTIONS, INC.","801-43579",109662
1977058,"ASSET MANAGEMENT CONSULTING PROGRAM","ENVESTNET PMC","801-57260",111694
1977058,"CONSULTING SERVICES PROGRAM","RAYMOND JAMES & ASSOCIATES, INC.","801-10418",705
1977058,"GLOBAL MANAGER STRATEGIES PROGRAM","GOLDMAN SACHS & CO. LLC","801-16048",361
1977058,"MASTER MANAGER PROGRAM","BNY ADVISORS","801-52378",106108
1977058,"STRATEGIC WEALTH PORTFOLIOS PROGRAM","UBS FINANCIAL SERVICES INC.","801-7163",8174
1977058,"MANAGER SELECT ACCOUNT PROGRAM","LPL FINANCIAL LLC","801-10970",6413
1977058,"ACCESS PROGRAM","UBS FINANCIAL SERVICES INC.","801-7163",8174
1977058,"SELECTS PROGRAM","CHARLES SCHWAB & CO., INC.","801-29938",5393
1977058,"MANAGER ACCESS SELECT PROGRAM","LPL FINANCIAL LLC","801-10970",6413
1977058,"STRATIS","J.P. MORGAN SECURITIES LLC","801-3702",79
1976937,"CWM ASSET MANAGEMENT PROGRAM","CWM, LLC","801-72037",155344
1977052,"WMG FINANCIAL ADVISORS, LLC WRAP FEE PROGRAM","WMG FINANCIAL ADVISORS, LLC","",
1979173,"RAYMOND JAMES RESEARCH PORTFOLIOS (""RJRP"")","RAYMOND JAMES & ASSOCIATES, INC.","",
1979189,"UFA WRAP FEE PROGRAM","UNIVERSAL FINANCIAL ADVISORS, LLC","801-124991",318392
1979271,"STAGE WEALTH MANAGEMENT WRAP FEE PROGRAM","STAGE WEALTH MANAGEMENT, INC.","",
1979325,"THEPARTNERS WEALTH MANAGEMENT WRAP FEE PROGRAM BROCHURE","THEPARTNERS WEALTH MANAGEMENT","801-122637",314816
1979173,"BLACKROCK MODEL PORTFOLIOS (""BLACKROCK"")","RAYMOND JAMES & ASSOCIATES, INC.","",
1979173,"RUSSELL MODEL STRATEGIES","RAYMOND JAMES & ASSOCIATES, INC.","",
1979173,"AMERICAN FUNDS MODEL PORTFOLIOS PROGRAM","RAYMOND JAMES & ASSOCIATES, INC.","",
1979173,"RAYMOND JAMES MULTIPLE DISCIPLINE ACCOUNT (""MDA"")","RAYMOND JAMES & ASSOCIATES, INC.","",
1979173,"PORTFOLIO SELECT UNIFIED MANAGED ACCOUNT PROGRAM","RAYMOND JAMES & ASSOCIATES, INC.","",
1979173,"RAYMOND JAMES CONSULTING SERVICES PROGRAM (""RJCS"")","RAYMOND JAMES & ASSOCIATES, INC.","",
1979173,"FREEDOM ACCOUNT PROGRAM","RAYMOND JAMES & ASSOCIATES, INC.","",
1979173,"AMBASSADOR","RAYMOND JAMES & ASSOCIATES, INC.","",
1979173,"FREEDOM UNIFIED MANAGED ACCOUNT PROGRAM (""UMA"")","RAYMOND JAMES & ASSOCIATES, INC.","",
1979362,"FINANCIAL INSIGHT WEALTH MANAGEMENT WRAP FEE PROGRAM","FINANCIAL INSIGHTS WEALTH MANAGEMENT","801-21624",108797
1979297,"PRIVATE ACCESS ACCOUNT STRATEGIES WRAP FEE PROGRAM","GOLDMAN SACHS WEALTH SERVICES, L.P.","801-48238",106693
1979461,"KESTRA INSTITUTIONAL SERVICES WRAP FEE PROGRAM","KESTRA INSTITUTIONAL SERVICES, LLC","801-70743",151790
1976613,"SUMMIT WEALTH GROUP WRAP PROGRAM","SUMMIT WEALTH GROUP LLC","",
1977293,"ORG PARTNERS WRAP PROGRAM","ORG PARTNERS","801-120444",312728
1979519,"MEYERS WEALTH MANAGEMENT LLC - PORTFOLIO MANAGEMENT WRAP-FEE PROGRAM","MEYERS WEALTH MANAGEMENT, LLC","",
1981036,"IPW WRAP FREE PROGRAM","IMPACT PARTNERSHIP WEALTH, LLC","801-121239",313928
1983762,"SEPARATE ACCOUNT NETWORK","FIDELITY","",
1983784,"CHARLES SCHWAB","CHARLES SCHWAB","",
1983762,"MANAGED ACCOUNT PROGRAM","JP MORGAN","",
1983762,"MANAGED ACCOUNT PROGRAM","PNC ASSET MANAGEMENT","",
1983762,"UNIFIED MANAGED ACCOUNT","CITIGROUP GLOBAL MARKETS","",
1983762,"MANAGED ACCOUNT PROGRAM","TRUE CAPITAL","",
1983762,"MANAGED ACCOUNT PROGRAM","CROW HOLDINGS","",
1983762,"MANAGED ACCOUNT SELECT","CHARLES SCHWAB","",
1983762,"MANAGED ACCOUNT PROGRAM","GLENMEDE","",
1983762,"MANAGED ACCOUNT PROGRAM","HIGHTOWER","",
1983762,"MANAGED ACCOUNT PROGRAM","KAYNE ANDERSON RUDNICK","",
1983762,"MANAGED ACCOUNT ACCESS","CHARLES SCHWAB","",
1983762,"MANAGED ACCOUNT PROGRAM","ADVISOR OS","",
1983762,"PRIVATE ADVISORS NETWORK","WELLS FARGO","",
1983762,"SWP","UBS","",
1983762,"FIDUCIARY SERVICES","CITIGROUP GLOBAL MARKETS","",
1983762,"MANAGED ACCOUNT PROGRAM","GREYCOURT","",
1983762,"MANAGER ACCESS SELECT","LPL FINANCIAL","",
1983762,"MANAGED ACCOUNT PROGRAM","VESTMARK","",
1983762,"MANAGER SELECT","LPL FINANCIAL","",
1983762,"MANAGED ACCOUNT PROGRAM","BRUDERMAN","",
1983762,"MANAGED ACCOUNT PROGRAM","RW BAIRD","",
