"FilingID","Acquired Firm","SEC File Number","CRD Number"
1932808,"MISSION FINANCIAL GROUP, LLC","801-120042",311876
1929249,"MARANON CAPITAL, L.P.","801-73096",155736
1922929,"GCM CUSTOMIZED FUND INVESTMENT GROUP, L.P.","801-78705",169155
1924787,"BAY CAPITAL ADVISORS, LLC","801-122519",140796
1908871,"CAXTON ASSOCIATES LP","801-63731",132823
1924538,"CEDRUS","801-120443",312878
1924917,"DOLAN FAMILY, INC.","801-130232",269886
1911874,"SHOREVIEW INDUSTRIES II, LLC","801-73173",156686
1927234,"CABLE CAR CAPITAL LLC","801-127894",169234
1920651,"THOMAS DOLL","801-57727",108052
1920924,"WILLS FINANCIAL GROUP","801-56590",109554
1925899,"KENNEDY WEALTH AND TAX MANAGEMENT, INC.","801-112886",172394
