"Filing ID","Relying Advisor Business Name","Relying Advisor Legal Name","Relying Advisor CRD Number","Reference ID","Principal Address Same as Filer","Main Office Street Address 1","Main Office Street Address 2","Main Office City","Main Office State","Main Office Country","Main Office Postal Code","Main Office Private Residence Flag","Main Office Telephone Number","Main Office Facsimile Number","Mail Address Same as Filer","Mail Office Street Address 1","Mail Office Street Address 2","Mail Office City","Mail Office State","Mail Office Country","Mail Office Postal Code","Mail Office Private Residence Flag","1E2Days","1E2DaysOther","1E2Hours","1G","2A(1)","2A(2)","2A(4)","2A(5)","2A(6)","2A(7)","2A(8)","2A(8) Application","2A(8) Order Date","2A(9)","3A","3AOther","3B","3C-State","3C-Country","4C"
2002609,"RCP ADVISORS","RCP ADVISORS 3, LLC",290741,1881,"N","353 N. CLARK STREET SUITE 3500","SUITE 3500","CHICAGO","IL","United States","60654","N","312-266-7300","312-266-7433","N","353 N. CLARK STREET SUITE 3500","SUITE 3500","CHICAGO","IL","United States","60654","N","MONFRI","","8:30 AM - 5:00 PM","","Y","N","N","N","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2002609,"","HARK CAPITAL ADVISORS, LLC",316713,8951,"N","299 PARK AVENUE","36TH FLOOR","NEW YORK","NY","United States","10171","N","332-322-3220","","N","","","","","","","N","MONFRI","","8:30AM TO 5:00PM","","Y","N","N","N","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2002609,"BONACCORD CAPITAL PARTNERS","BONACCORD CAPITAL ADVISORS, LLC",316716,8952,"N","229 PARK AVENUE","36TH F","NEW YORK","NY","United States","10171","N","332-322-3220","","N","","","","","","","N","MONFRI","","8:30AM TO 5:00PM","","Y","N","N","N","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2004906,"","SQUAREPOINT CAPITAL LLP",173911,4629,"N","CITYPOINT, FLOOR 33 & 35","ONE ROPEMAKER STREET","LONDON","","United Kingdom","EC2Y 9AW","N","(+44) 2039917418","","N","","","","","","","N","MONFRI","","9AM - 6PM","549300I4ETOFV4DVJG14","N","N","Y","N","N","N","N","",,"N","Limited Liability Partnership","","12","","United Kingdom","N"
2004906,"","SQUAREPOINT OPERATIONS PRIVATE LIMITED",296073,4636,"N","88 MARKET STREET","CAPITASPRING LEVEL 49","SINGAPORE","","Singapore","048948","N","(+852) 25925248","","N","","","","","","","N","MONFRI","","9AM - 6PM","549300JEREEEPA0WV508","N","N","Y","N","N","N","N","",,"N","Other (specify)","SINGAPORE PRIVATE LIMITED COMPANY","12","","Singapore","N"
2004906,"","SQUAREPOINT (DIFC) LIMITED",335962,12500,"N","UNIT L29-07, LEVEL 29, ICD BROOKFIELD PLACE","DUBAI INTERNATIONAL FINANCIAL CENTRE","DUBAI","","United Arab Emirates","","N","(+971) 45415628","","N","","","","","","","N","MONFRI","","9AM - 6PM","98450082E14IEF09YR42","N","N","Y","N","N","N","N","",,"N","Other (specify)","DIFC PRIVATE LIMITED COMPANY","12","","United Arab Emirates","N"
2004756,"FF INT MANAGEMENT CORP","FF INT MANAGEMENT CORP",337664,12800,"Y","","","","","","","","209-265-8990","","Y","","","","","","","","MONFRI","","8:00 AM - 5:00 PM","","Y","N","N","Y","N","N","N","",,"N","Corporation","","12","","British Virgin Islands","N"
2004756,"SJM MANAGER, LP","SJM MANAGER, LP",337666,12801,"Y","","","","","","","","209-265-8990","","Y","","","","","","","","MONFRI","","8:00 AM - 5:00 PM","","N","N","N","Y","N","N","N","",,"N","Limited Partnership","","12","DE","United States","N"
1997333,"","OAKWOOD MULTIFAMILY PARTNERS, LLC",328697,11082,"Y","","","","","","","","3035957670","","Y","","","","","","","","MONFRI","","9-5PM","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
1997333,"","OMP FUND MANAGER, LLC",328796,11110,"Y","","","","","","","","3035957670","","Y","","","","","","","","MONFRI","","9-5PM","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
