"Filing ID","Relying Advisor Business Name","Relying Advisor Legal Name","Relying Advisor CRD Number","Reference ID","Principal Address Same as Filer","Main Office Street Address 1","Main Office Street Address 2","Main Office City","Main Office State","Main Office Country","Main Office Postal Code","Main Office Private Residence Flag","Main Office Telephone Number","Main Office Facsimile Number","Mail Address Same as Filer","Mail Office Street Address 1","Mail Office Street Address 2","Mail Office City","Mail Office State","Mail Office Country","Mail Office Postal Code","Mail Office Private Residence Flag","1E2Days","1E2DaysOther","1E2Hours","1G","2A(1)","2A(2)","2A(4)","2A(5)","2A(6)","2A(7)","2A(8)","2A(8) Application","2A(8) Order Date","2A(9)","3A","3AOther","3B","3C-State","3C-Country","4C"
1988481,"","OLD ORCHARD PRIVATE CREDIT LLC",336726,12708,"Y","","","","","","","","212-331-6920","","Y","","","","","","","","MONFRI","","9-5","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
1980873,"SEGRA GLOBAL MANAGEMENT, LLC","SEGRA GLOBAL MANAGEMENT, LLC",326323,10651,"Y","","","","","","","","561-890-9127","N/A","N","","","","","","","N","MONFRI","","7:30A-5:30P","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","FL","United States","N"
1989251,"RIVERSIDE EUROPE PARTNERS, LLC","RIVERSIDE EUROPE PARTNERS, LLC",294582,3350,"N","630 FIFTH AVENUE","SUITE 400","NEW YORK","NY","United States","10111","N","212-265-6575","212-265-6478","N","","","","","","","N","MONFRI","","8 AM - 5 PM","","Y","N","N","N","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
1989251,"RIVERSIDE ASIA PARTNERS, LLC","RIVERSIDE ASIA PARTNERS, LLC",294657,3410,"N","630 FIFTH AVENUE","SUITE 400","NEW YORK","NY","United States","10111","N","212-265-6575","212-265-6478","N","","","","","","","N","MONFRI","","8 AM - 5 PM","","Y","N","N","N","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
1989251,"RIVERSIDE ASIA PARTNERS PTY LIMITED","RIVERSIDE ASIA PARTNERS PTY LIMITED",320922,9635,"N","630 FIFTH AVENUE","SUITE 400","NEW YORK","NY","United States","10111","N","212-265-6575","212-265-6478","N","","","","","","","N","MONFRI","","8 AM - 5 PM","","Y","N","N","N","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
1993440,"FIRST NEW YORK","FNY GP LLC",308131,7078,"Y","","","","","","","","2128480600","","Y","","","","","","","","MONFRI","","9AM-5PM","","Y","N","N","N","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
1993440,"INFINITY CAPITAL MARKETS LTD.","INFINITY CAPITAL MARKETS LTD.",320605,9468,"Y","","","","","","","","2128480600","","Y","","","","","","","","MONFRI","","9AM-5PM","L3SY9D4RJMJFBSBYVP64","Y","N","N","N","N","N","N","",,"N","Corporation","","12","","United Kingdom","N"
1989668,"","PINEBRIDGE INVESTMENT PARTNERS LLC",292042,1785,"Y","","","","","","","","6468578000","","Y","","","","","","","","MONFRI","","9-5","","N","Y","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
1989668,"PINEBRIDGE LATIN AMERICA MANAGER, LLC","PINEBRIDGE LATIN AMERICA MANAGER, LLC",304257,6405,"Y","","","","","","","","6468578000","","Y","","","","","","","","MONFRI","","9-5","","N","Y","N","N","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
1989668,"PINEBRIDGE NEW EUROPE MANAGER, LLC","PINEBRIDGE NEW EUROPE MANAGER, LLC",304258,6406,"Y","","","","","","","","6468578000","","Y","","","","","","","","MONFRI","","9-5","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
