"FilingID","Individual Name","Firm or Organization Name","CRD Number","Effective Date","Termination Date","Street 1","Street 2","City","State","Country","Postal Code","Private Residence?","Description"
2006595,"","MAGELLAN FINANCIAL GROUP LIMITED",,11/21/2006,,"LEVEL 36","25 MARTIN PLACE","SYDNEY","","Australia","2000","N","MAGELLAN ASSET MANAGEMENT LIMITED, TRADING AS MFG ASSET MANAGEMENT, IS WHOLLY OWNED BY MAGELLAN FINANCIAL GROUP LIMITED. MAGELLAN FINANCIAL GROUP LIMITED IS THE PARENT ENTITY AND IS LISTED ON THE AUSTRALIAN SECURITIES EXCHANGE."
2009284,"ADAMS, PATRICK, S","",2438502,01/01/2008,,"6898 S. UNIVERSITY BLD, #100","","CENTENNIAL","CO","United States","80122","N","PATRICK ADAMS IS CEO OF PVG ASSET MANAGMENT"
2009284,"PECORARO, JOSEPH, NICHOLAS","",831015,01/02/2015,,"24918 GENESE TRAIL ROAD","","GOLDEN","CO","United States","80401","N","MR. PECORARO IS THE CCO OF PVG ASSET MANAGMENT"
1982098,"Bhagwat, Niraj, Dilip","",7846886,01/01/2024,,"280 CONGRESS STREET","","BOSTON","MA","United States","02210","N","MEMBER OF EXECUTIVE COMMITTEE, WELLINGTON GROUP HOLDINGS LLP"
1982098,"BURGESS, TERRENCE, MICHAEL","",2449812,07/01/2021,,"280 CONGRESS STREET","","BOSTON","MA","United States","02210","N","MEMBER OF EXECUTIVE COMMITTEE, WELLINGTON GROUP HOLDINGS LLP"
1982098,"KLAR, STEPHEN","",6111785,07/01/2017,,"280 CONGRESS STREET","","BOSTON","MA","United States","02210","N","MEMBER OF EXECUTIVE COMMITTEE, WELLINGTON GROUP HOLDINGS LLP"
1982098,"HYNES, JEAN, MARIE","",4330808,01/01/2015,,"280 CONGRESS STREET","","BOSTON","MA","United States","02210","N","MEMBER OF EXECUTIVE COMMITTEE, WELLINGTON GROUP HOLDINGS LLP"
1982098,"POZEN, DANIEL, JACOB","",7483073,01/01/2022,,"280 CONGRESS STREET","","BOSTON","MA","United States","02110","N","MEMBER OF EXECUTIVE COMMITTEE, WELLINGTON GROUP HOLDINGS LLP"
1982098,"Berg, Jennifer, Nettesheim","",6597559,01/01/2023,,"280 CONGRESS STREET","","BOSTON","MA","United States","02210","N","MEMBER OF EXECUTIVE COMMITTEE, WELLINGTON GROUP HOLDINGS LLP"
1982098,"ANGELI, STEVEN, CARL","",4330754,01/01/2024,,"280 CONGRESS STREET","","BOSTON","MA","United States","02210","N","MEMBER OF EXECUTIVE COMMITTEE, WELLINGTON GROUP HOLDINGS LLP"
1982098,"BUTLER, JOHN, EDWARD","",6429464,01/01/2024,,"280 CONGRESST STREET","","BOSTON","MA","United States","02210","N","MEMBER OF EXECUTIVE COMMITTEE, WELLINGTON GROUP HOLDINGS LLP"
1982098,"ENDERLEIN, CARL, DIRK","",6431453,01/01/2024,,"280 CONGRESS STREET","","BOSTON","MA","United States","02210","N","MEMBER OF EXECUTIVE COMMITTEE, WELLINGTON GROUP HOLDINGS LLP"
