"FilingID","Other Products and Services","Business Name"
1949102,"THE FIRM ALSO ACTS AS A THIRD-PARTY ADMINISTRATOR ON CAPITAL SYNDICATIONS, BUT IS NOT CONSIDERED THE SPONSOR OR ADVISER ON THESE SYNDICATIONS.",""
1957863,"MANAGING MEMBER SERVICES TO CERTAIN PRIVATE FUNDS",""
1947385,"TAX SERVICES  NOTARY SERVICES  REAL ESTATE AGENT","PROUD AMERICAN TAX CHRIS MOBILE NOTARY  PROUD AMERICAN REAL ESTATE"
1952015,"UNREGULATED CONSULTANCY SERVICES IN COMPLIANCE AND RISK MANAGEMENT SUPPORT.",""
1962291,"REAL ESTATE",""
1949024,"N/A",""
1938547,"CERTIFICATES, DEBENTURES, FUTURES, OPTIONS, SHARES, STRUCTURED PRODUCTS, WARRANTS, UNITS, LONG TERM INSURANCE",""
1948160,"WE PROVIDE PROPERTY MANAGEMENT, LEASING AND DEVELOPMENT SERVICES TO OUR PRIVATE FUNDS AND THEIR INVESTMENTS.",""
1950998,"NO",""
1952845,"WE PROVIDE MENTORING AND ADVISORY SERVICES FOR THE ENTREPRENEURIAL ECOSYSTEM, AS WELL AS ACCESS TO WORLD CLASS SPEAKERS AND EVENTS.","ENTERPRIZE EVENTS, INC."
1952559,"BUSINESS CONSULTANCY / INCUBATION",""
1948249,"FUND ADMINISTRATION SERVICES",""
1948423,"PRIVATE EQUITY- PROVIDE EQUITY CAPITAL FOR LOWER-MIDDLE MARKET COMPANIES. REAL ESTATE- OFFER COMPREHENSIVE REAL ESTATE SERVICES.",""
1946249,"WE PROVIDE PROPERTY MANAGEMENT, LEASING AND DEVELOPMENT SERVICES TO OUR PRIVATE FUNDS AND THEIR INVESTMENTS.",""
1939938,"FUND ADMINISTRATION SERVICES TO NON-UNITED STATES CLIENTS.",""
1963928,"PROVIDE CONSULTING SERVICES INCLUDING ASIAN HEDGE FUND DUE DILIGENCE AND HEDGE FUND BUSINESS BUILDING; PRIVATE PLACEMENT OF CERTAIN TYPES OF FINANCIAL INSTRUMENTS.",""
1944278,"OPERATIVE COMPANY CONSULTING AND RESTRUCTURING SERVICES",""
1934906,"PIPER SANDLER LTD. IS AUTHORIZED AND REGULATED WITH THE UK FCA AS AN INVESTMENT FIRM ENGAGED IN THE REGULATED ACTIVITIES OF TRANSMITTING ORDERS IN EQUITY SECURITIES TO THE US BROKER/DEALER AFFILIATE AS WELL AS CONDUCTING M&A ACTIVITIES.",""
1922048,"ADMINISTRATIVE & MANAGEMENT SERVICES",""
1938773,"PORTFOLIO MANAGEMENT",""
1953639,"REPORTING AND ADMINISTRATIVE SERVICES",""
1963013,"PROVIDING AND UPDATING ONE OR MORE INDICES OF SECURITIES VALUES, EITHER INDIVIDUALLY OR THROUGH THIRD PARTY LICENSE AGREEMENTS, AND RESEARCH",""
1972697,"ACM IS ALSO PROVIDING DOMICILIATION AND FUND ACCOUNTING SERVICES FOR ALTERNATIVE INVESTMENTS FUNDS AND RELATED ENTITIES",""
1957565,"INNOVATION CONSULTING SERVICES",""
