"FilingID","Full Legal Name","CIK Number"
1960006,"MORGAN STANLEY",895421
1950858,"MARKEL CORPORATION",1096343
1947026,"DETUSCHE BANK AG",948046
1960462,"SUMITOMO MITSUI TRUST BANK LTD",1046017
1944825,"VAN CLEMENS FINANCIAL CORPORATION",297362
1951166,"GREAT ELM GROUP, INC.",1831096
1928636,"ORIX CORPORATION",1070304
1938939,"LADDER CAPITAL CORP",1577670
1935298,"CITIZENS FINANCIAL GROUP",759944
1953701,"XP INC.",1787425
1949677,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",1022837
1961766,"WINTRUST FINANCIAL CORPORATION",1015328
1961954,"VIRTUS INVESTMENT PARTNERS, INC.",883237
1956905,"EQUITABLE HOLDINGS INC",1333986
1956905,"ALLIANCEBERNSTEIN HOLDING L.P.",825313
1948202,"ASSOCIATED BANC-CORP",7789
1958386,"THE JONES FINANCIAL COMPANIES, L.L.L.P.",815917
1957517,"SILICON VALLEY BANK",1238168
1952040,"JANUS HENDERSON GROUP PLC",1274173
1947849,"ASSOCIATED BANC-CORP",7789
1949315,"DEUTSCHE BANK AG",948046
1949281,"DEUTSCHE BANK AG",948046
1962268,"RAYMOND JAMES FINANCIAL",720005
1962286,"ROYAL BANK OF CANADA",1000275
1949057,"CITIGROUP INC.",831001
1934974,"JOHN HANCOCK LIFE INSURANCE COMPANY (U.S.A.)",1073894
1948810,"JOHN HANCOCK LIFE INSURANCE COMPANY (U.S.A.)",1073894
1948877,"BANK OF AMERICA CORPORATION",70858
1962555,"JANUS HENDERSON GROUP PLC",1274173
1952953,"THE GOLDMAN SACHS GROUP, INC.",886982
1938711,"JP MORGAN CHASE OF DELAWARE",1387526
1950455,"VIRTUS INVESTMENT PARTNERS, INC.",883237
1955483,"STONEMOR PARTNERS L.P.",1286131
1955483,"CORNERSTONE FAMILY SERVICES OF WEST VIRGINIA SUBSIDIARY, INC.",1488975
1955483,"HENLOPEN MEMORIAL PARK SUBSIDIARY LLC",1488980
1955483,"CORNERSTONE FAMILY SERVICES OF WEST VIRGINIA LLC",1489433
1955483,"CEMETERY MANAGEMENT SERVICES, LLC",1489181
1955483,"STOMEMORE OPERATING LLC",1488902
1955483,"STONEMOR INC.",1753886
1955753,"ROYAL BANK OF CANADA",1000275
1956711,"FIRST CITIZENS BANCSHARES, INC.",798941
1940378,"COLLIERS INTERNATIONAL GROUP INC.",913353
1949453,"STONEX GROUP INC.",913760
1950167,"PRINCIPAL FINANCIAL GROUP, INC.",1126328
1947062,"DEUTSCHE BANK AG",948046
1950317,"ROYAL BANK OF CANADA",1000275
1949815,"CVS HEALTH CORPORATION",64803
1945089,"DEUTSCHE BANK AG",948046
1953527,"FEDERATED HERMES, INC.",1056288
1958895,"MSCI INC.",1408198
1949099,"UBS AG",1114446
1949099,"UBS GROUP AG",1610520
1946316,"UMB FINANCIAL CORP",101382
1949078,"PRINCIPAL FINANCIAL GROUP, INC.",1126328
1915180,"VICTORY CAPITAL HOLDINGS, INC.",157082
1942864,"HORACE MANN EDUCATORS CORP.",62011
1945863,"AFFILIATED MANAGERS GROUP, INC",1004434
1945209,"JANUS HENDERSON US (HOLDINGS) INC.",1065865
1956296,"STONEX GROUP INC.",913760
1956306,"STONEX GROUP INC.",913760
