"FilingID","Wrap Fee Program","Sponsor","Sponsor SEC File Number","Sponsor CRD Number"
1925262,"REP AS PM","PARK AVENUE INVESTMENT ADVISORY, LLC","801-119560",310203
1924465,"REVOLUT WEALTH INC. WRAP FEE PROGRAM","REVOLUT WEALTH INC.","",322894
1925331,"PRIVATE LABEL (THROUGH ENVESTNET)","FIRST FINANCIAL EQUITY CORPORATION","801-63970",16507
1925331,"BENJAMIN F. EDWARDS & CO. SMA COVERED (THROUGH LOCKWOOD ADVISORS, INC.)","BENJAMIN F. EDWARDS & COMPANY, INCORPORATED","801-71421",146936
1925331,"CONSULTING & EVALUATION SERVICES","MORGAN STANLEY","801-70103",149777
1925331,"MANAGED ASSET PROGRAM - ELITE CHOICE (THROUGH LOCKWOOD ADVISORS, INC.)","SANDERS MORRIS LLC","801-66300",20580
1925331,"MANAGED ASSET PROGRAM- ELITE (THROUGH LOCKWOOD ADVISORS, INC.)","SANDERS MORRIS LLC","801-66300",20580
1925331,"PRIVATE LABEL (THROUGH ENVESTNET)","OSAIC WEALTH, INC.","801-54859",23131
1925331,"OUTSIDE MANAGED PROGRAM","RAYMOND JAMES & ASSOCIATES, INC.","801-10418",705
1925331,"PRIVATE LABEL (THROUGH ENVESTNET)","ROBERT W. BAIRD & CO. INCORPORATED","801-7571",8158
1925331,"PRIVATE LABEL (THROUGH ENVESTNET)","KESTRA ADVISORY SERVICES, LLC","801-56126",283330
1925331,"PRIVATE LABEL (THROUGH ENVESTNET)","OSAIC ADVISORY SERVICES, LLC","801-80075",171070
1925331,"CONSULTING SERVICES","RAYMOND JAMES & ASSOCIATES, INC.","801-10418",705
1925331,"MANAGED ACCOUNT CONSULTING","UBS FINANCIAL SERVICES INC.","801-7163",8174
1925331,"PRIVATE ADVISORY NETWORK","WELLS FARGO ADVISORS","801-37967",19616
1925331,"INVESTMENT MANAGEMENT SERVICES","MORGAN STANLEY","801-70103",149777
1925331,"PRIVATE LABEL (THROUGH ENVESTNET)","STRATOS WEALTH PARTNERS, LTD","801-71457",153184
1925331,"PRIVATE LABEL (THROUGH ENVESTNET)","TRUIST ADVISORY SERVICES, INC.","801-107729",283390
1925331,"ENVESTNET WEALTH MANAGEMENT SOLUTIONS","ENVESTNET PMC","801-57260",111694
1925331,"PRIVATE LABEL (THROUGH ENVESTNET)","REHMANN WEALTH","801-64587",123047
1925331,"LOCKWOOD MANAGED ACCOUNTS PROGRAM","MADISON AVENUE SECURITIES, LLC","801-69919",23224
1925331,"MANAGED ACCOUNT SELECT PROGRAM","CHARLES SCHWAB & CO., INC.","801-29938",5393
1925331,"MANAGER SELECT ACCOUNT PROGRAM","LPL FINANCIAL LLC","801-10970",6413
1925331,"MANAGER'S CHOICE 19T (THROUGH LOCKWOOD ADVISORS, INC.)","AMERICAN PORTFOLIOS FINANCIAL SERVICES, INC.","8-37085",18487
1925331,"PRIVATE LABEL (THROUGH ENVESTNET)","ADVISORY SERVICES NETWORK","801-71112",146051
1925331,"CONSULTING SERVICES SELECTS SUB-ADVISORY PROGRAM","US TRUST","",
1925331,"LOCKWOOD MANAGED ACCOUNTS PROGRAM","NATIONWIDE PLANNING ASSOCIATES INC.","8-45310",31029
1925331,"MARKETPLACE","CHARLES SCHWAB & CO., INC.","801-29938",5393
1925331,"MANAGED ACCOUNT ADVISOR (THROUGH LOCKWOOD ADVISORS, INC.)","WADDELL & REED","801-16720",866
