"FilingID","Wrap Fee Program","Sponsor","Sponsor SEC File Number","Sponsor CRD Number"
2002588,"WAYFINDING FINANCIAL, LLC","WAYFINDING FINANCIAL, LLC","801-118057",306208
1988204,"MORGAN STANLEY CONSULTING AND EVALUATION SERVICES PROGRAM","MORGAN STANLEY","801-70103",149777
1988204,"MORGAN STANLEY CONSULTING SERVICES PROGRAM","MORGAN STANLEY","801-70103",149777
1988204,"MORGAN STANLEY INVESTMENT MANAGEMENT SERVICES PROGRAM","MORGAN STANLEY","801-70103",149777
1988204,"LOCKWOOD PROGRAMS","BNY ADVISORS","801-52378",106108
1988204,"BLEAKLEY WRAP PROGRAM","BLEAKLEY FINANCIAL GROUP, LLC","801-123232",318366
1988204,"OUTWING MANAGED ACCOUNT PROGRAM","OUTWING PRIVATE WEALTH MANAGEMENT","801-130386",322444
2003821,"IPC PRIVATE WEALTH PROGRAM","COUNSEL PORTFOLIO SERVICES INC.","",
2004436,"AMERIPRISE ACTIVE PORTFOLIOS","AMERIPRISE FINANCIAL SERVICES, LLC","801-28543",6363
2006085,"LFG WRAP FEE PROGRAM","LFG WEALTH PARTNERS, LLC","801-130411",331339
1999418,"CONSULTING SOLUTIONS","RBC CAPITAL MARKETS, LLC","801-13059",31194
1999418,"PERSHING MANAGED ACCOUNT UTILITY PROGRAM","BNY ADVISORS","801-52378",106108
1999418,"PERSHING MANAGED ACCOUNT COMMAND PROGRAM (MAC)","BNY ADVISORS","801-52378",106108
1999418,"RIVERFRONT/BAIRD","ROBERT W. BAIRD & CO. INCORPORATED","801-7571",8158
1999418,"CONSULTING & EVALUATION SERVICES CES","MORGAN STANLEY","801-70103",149777
1999418,"INVESTMENT MANAGEMENT SERVICES (IMS)","MORGAN STANLEY","801-70103",149777
1999418,"MANAGED ACCOUNT PROGRAM (MAP)","RBC CAPITAL MARKETS, LLC","801-13059",31194
1999418,"PRIVATE ADVISOR NETWORK","WELLS FARGO ADVISORS","801-37967",19616
1999418,"RAYMOND JAMES CONSULTING SERVICES","RAYMOND JAMES FINANCIAL SERVICES, INC.","8-17983",6694
1999418,"CLASSIC PROGRAM","JANNEY MONTGOMERY SCOTT LLC","801-7258",463
2003373,"GLOBAL MANAGER STRATEGIES SEPARATE ACCOUNT PROGRAM","GOLDMAN SACHS & CO. LLC","801-16048",361
2003373,"LOCKWOOD FINANCIAL SERVICES","LOCKWOOD CAPITAL MANAGEMENT, INC","801-51863",40655
2003373,"SCHWAB ACCESS PROGRAM","CHARLES SCHWAB & CO., INC.","801-29938",5393
2003373,"UBS ACCESS AND STRATEGIC WEALTH PORTFOLIO PROGRAMS","UBS FINANCIAL SERVICES INC.","801-7163",8174
2001233,"OPTIMA","MANAGED ACCOUNT ADVISORS LLC","801-67569",142558
2006142,"BLUEPATH CAPITAL, LLC WRAP FEE PROGRAM","BLUEPATH CAPITAL, LLC","",
2001481,"PFS WRAP FEE PROGRAM","PERSONALIZED FINANCIAL SOLUTIONS LLC","801-119943",306475
