"FilingID","Other Name","BD","RR","Pool","FCM","Real Estate","Insurance","Bank","Trust","Municipal","Swap Dealer","Swap Participant","Accountant","Lawyer","Other","Other Description"
1995469,"BRAZIL REAL ESTATE PARTNERS GP LTD,","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","SERVING AS GENERAL PARTNER AND MANAGER OF PRIVATE FUNDS DOMICILIED OUTSIDE THE US AND CONDUCING BUSINESS OUTSIDE OF  THE US"
1995469,"BRAZIL REAL ESTATE MANAGER LTD","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","SERVING AS GENERAL PARTNER AND MANAGER OF PRIVATE FUNDS DOMICILIED OUTSIDE THE US AND CONDUCING BUSINESS OUTSIDE OF THE US"
1995469,"BRAZIL REAL ESTATE MANAGER II LTD","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","SERVING AS GENERAL PARTNER AND MANAGER OF PRIVATE FUNDS DOMICILIED OUTSIDE THE US AND CONDUCING BUSINESS OUTSIDE OF THE US"
1995469,"BRAZIL REAL ESTATE PARTNERS GP LTD II LTD","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","SERVING AS GENERAL PARTNER AND MANAGER OF PRIVATE FUNDS DOMICILIED OUTSIDE THE US AND CONDUCING BUSINESS OUTSIDE OF THE US"
1995469,"BRAZIL REAL ESTATE MANAGER III LTD","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","SERVING AS GENERAL PARTNER AND MANAGER OF PRIVATE FUNDS DOMICILIED OUTSIDE THE US AND CONDUCING BUSINESS OUTSIDE OF THE US"
1995469,"VBI AMERICA LLC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","SERVING AS GENERAL PARTNER AND MANAGER OF PRIVATE FUNDS DOMICILIED OUTSIDE THE US AND CONDUCING BUSINESS OUTSIDE OF THE US"
1995469,"BPM2 INC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","SERVING AS GENERAL PARTNER AND MANAGER OF PRIVATE FUNDS DOMICILIED OUTSIDE THE US AND CONDUCING BUSINESS OUTSIDE OF THE US"
1996210,"LEMVEGA HF PARTNERS, LLC.","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","GENERAL PARTNER"
1996210,"LEMVEGA CRYPTO PARTNERS, LLC.","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","GENERAL PARTNER"
1996210,"LEMVEGA PE PARTNERS, LLC.","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","GENERAL PARTNER"
1996210,"LEMVEGA RE PARTNERS, LLC.","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","GENERAL PARTNER"
1996210,"LEMVEGA, LLC.","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","GENERAL PARTNER"
1982178,"FROGMORE REAL ESTATE PARTNERS INVESTMENT MANAGERS LIMITED","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
1995247,"SATURN CAPITAL, INC.","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
2000315,"ACE FINANCIAL SERVICES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1996692,"ACA MIRABELLA","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","BRAND NAME"
