"FilingID","Individual Name","Firm or Organization Name","CRD Number","Effective Date","Termination Date","Street 1","Street 2","City","State","Country","Postal Code","Private Residence?","Description"
1941386,"WALKER, DAVID, J.","",5076929,05/30/2024,,"7575 NW 90TH AVE","","OCALA","FL","United States","34482","N","DAVID WALKER IS 100% OWNER OF THE GENERAL PARTNER AND INVESTMENT MANAGER."
1940109,"Sikes, Stephen, William","",6912545,12/01/2024,,"6 HARRISON ST","","NY","NY","United States","10013","N","CEO OF PUBLIC ADVISORS"
1940109,"Yerramalli, Prashant","",8001754,12/01/2024,,"6 HARRISON ST","","NY","NY","United States","10013","N","CONTROLS THE POLICIES OF THE FIRM."
1935500,"TIPPER, RUSSELL, WINSTON","",2914437,11/01/2023,,"12555 MANCHESTER ROAD","","ST LOUIS","MO","United States","63131","N","PRINCIPAL OF INVESTMENT ADVISORY DEPARTMENT WHO HAS OVERALL RESPONSIBILITY FOR EDWARD JONES INVESTMENT ADVISORY SERVICES."
1943816,"KACHKOVSKY, GARRY","",2911581,04/06/2001,,"3202 GOVERNOR DRIVE","SUITE 204","SAN DIEGO","CA","United States","92122","N","1/2 OWNER OF CORPORATION"
1943816,"FISHER, KRISTIAN, ROBERT","",2827120,04/06/2001,,"30752 SOUTHVIEW DRIVE","SUITE 290","EVERGREEN","CO","United States","80439","N","1/2 OWNER OF CORPORATION"
1935819,"","ADVISORS MANAGEMENT PARTNERS, LLC",,01/01/2020,,"1479 N. HERMITAGE ROAD","","HERMITAGE","PA","United States","16148","N","PURSUANT TO A MANAGEMENT AGREEMENT (THE ""MANAGEMENT AGREEMENT"") BETWEEN JFS WEALTH ADVISORS, LLC (""JFS""), FOCUS, AND ADVISORS MANAGEMENT PARTNERS, LLC (THE ""MANAGEMENT COMPANY""), THE MANAGEMENT COMPANY HAS AGREED TO PROVIDE PERSONS TO SERVE AS OFFICERS AND LEADERS OF JFS WHO, IN SUCH CAPACITY, WILL BE RESPONSIBLE FOR THE MANAGEMENT, SUPERVISION, AND OVERSIGHT OF JFS.  THE MANAGEMENT COMPANY DOES NOT PROVIDE INVESTMENT ADVISORY SERVICES."
1934532,"Castillo, Jessika","",7868762,01/01/2020,,"","","","","","","Y","DIRECTOR OF EL CASTILLO INVESTMENTS, LLC"
1935366,"","CANACCORD GENUITY GROUP INC.",,10/01/2013,,"2200 - 609 GRANVILLE STREET","","VANCOUVER","","Canada","","N","CANACCORD GENUITY WEALTH MANAGEMENT (USA) INC IS INDIRECTLY OWNED BY CANACCORD GENUITY GROUP INC. THROUGH IT'S SUBSIDIARY CANACCORD ADAMS FINANCIAL GROUP INC."
1935366,"","CANACCORD ADAMS FINANCIAL GROUP INC.",,10/01/2013,,"2200 - 609 GRANVILLE STREET","","VANCOUVER","","Canada","","N","CGWM USA IS OWNED DIRECTLY BY CANACCORD ADAMS FINANCIAL GROUP INC., A SUBSIDIARY OF CANACCORD GENUITY GROUP INC."
