"FilingID","Other Products and Services","Business Name"
1992473,"PLEASE SEE THE ""TYPES OF BUSINESS"" ITEMIZED IN BOFA SECURITIES, INC.'S DETAILED REPORT (FROM THE FIRM'S FORM BD) AVAILABLE ON FINRA'S BROKERCHECK WEBSITE AT HTTPS://BROKERCHECK.FINRA.ORG.",""
1992462,"BUSINESS CONSULTING SERVICES.",""
1992487,"TAX PREPARATION, CONSULTING, AND PLANNING SERVICES THROUGH MANAGED TAX SERVICES, LLC., WHOLLY OWNED BY COZAD ASSET MANAGEMENT, INC.","MANAGED TAX SERVICES, LLC"
1992497,"PLEASE SEE THE ""TYPES OF BUSINESS"" ITEMIZED IN BOFA SECURITIES, INC.'S DETAILED REPORT (FROM THE FIRM'S FORM BD) AVAILABLE ON FINRA'S BROKERCHECK WEBSITE AT HTTPS://BROKERCHECK.FINRA.ORG.",""
1992518,"ADVISORS MAY SELL BROKERAGE COMMISSION RETAIL PRODUCTS OR INSURANCE PRODUCTS.",""
1992562,"TAX PREPARATION, CONSULTING, AND PLANNING SERVICES THROUGH MANAGED TAX SERVICES, LLC., WHOLLY OWNED BY COZAD ASSET MANAGEMENT, INC.","MANAGED TAX SERVICES, LLC"
1992460,"THE FIRM IS ALSO A REGISTERED BROKER DEALER AND IN SUCH CAPACITY WILL SELL PRODUCTS AND MAY EARN A COMMISSION OR MARKUP. IN ITS CAPACITY AS AN INSURANCE AGENCY THE FIRM WILL ALSO OFFER FIXED INSURANCE PRODUCTS.",""
1992704,"ADVISER'S PRIMARY BUSINESS IS INVESTMENT ADVISORY SERVICES. ADVISER ALSO LICENSES INTELLECTUAL PROPERTY TO ENTITIES, INCLUDING MUTUAL FUNDS, EXCHANGE TRADED FUNDS AND INDEX PROVIDERS.",""
1992715,"INCLUDED IN SECTION 6.B(2) ABOVE. WE DON'T SELL ANY PRODUCTS, BUT WE DO PROVIDE FINANCIAL PLANNING AND OTHER FINANCIAL SERVICES.",""
1992164,"IMPLEMENTATION OF INSURANCE SALES AND COMMISSIONABLE SECURITIES.","INSURANCE SALES IMPLEMENTED THROUGH INDIVIDUAL AND COMMISSIONABLE SECURITIES THROUGH PROCYON RISK, LLC."
1983772,"INSURANCE SERVICES",""
1993157,"IN ADDITION TO INVESTMENT ADVICE, CAPITAL PLANNING LLC MAY PROVIDE PERSONAL/BUSINESS CONSULTING AND FAMILY LEGACY PLANNING SERVICES AS CLIENT NEEDS DICTATE, WHICH MAY INCLUDE ADVICE ON ISOLATED AREAS OF CONCERN FOR NON-SECURITIES RELATED MATTERS.",""
1993282,"THE KICK-START PROGRAM IS ACTUALLY ADVICE AS WE DO NOT HAVE SUPPORT MATERIALS FOR IT.  THE KICK-START PROGRAM IS $500 AND IS A 12 STEP PROGRAM THAT IS SELF DIRECTED BY THE CLIENT.  WE ARE ALSO AVAILABLE TO ANSWER ANY QUESTIONS OR GIVE ADVICE AT ANY TIME.",""
1992470,"TAX PREPARATION SERVICES","LIFECOURSE TAX SERVICE"
1993239,"STRIVE SELLS SHAREHOLDER VOTING RECOMMENDATIONS, EDUCATION, AND RESEARCH.",""
1992061,"NO OTHER BUSINESS BEYOND THE PRODUCTS AND SERVICES LISTED IN SECTION 6.B.(2).",""
1993410,"ARVEST INVESTMENTS, INC. PROVIDES RETAIL SECURITIES BROKERAGE, RETIREMENT PLAN SVCS, WRAP FEE PROGRAM SPONSOR,WRAP FEE PROGRAM PORTFOLIO MGT (ADVISOR DISCRETION AND IMG PORTFOLIOS), AND PROVIDE ADVICE.",""
1993321,"WE WRITE VARIOUS BOOKS INCLUDING INVESTMENT STRATEGY BOOKS WHICH ARE AVAILABLE FOR SALE IN INDIA.",""
1987613,"SOME REPRESENTATIVES OF STRONG RETIREMENT SOLUTIONS ARE ALSO LICENSED INDEPENDENT INSURANCE AGENTS AND MAY OFFER CLIENTS INSURANCE PRODUCTS.","BALSAM SOLUTIONS"
1991611,"LIFESTYLE MANAGEMENT AND MARKETING SERVICES, BILL PAY SERVICES AND CHARITABLE GIVING AND CONSULTING SERVICES.","LIFFESTYLE & MARKETING SERVICES PROVIDED UNDER NORTHROCK-X. CHARITABLE GIVING & CONSULTING SERVICES UNDER FOUNDATION X."
1988565,"IMPLEMENTATION OF COMMISSIONABLE SECURITIES AND INSURANCE PRODUCTS","JOHNSTONE BROKERAGE SERVICES, LLC / INDIVIDUAL CAPACITY"
1987651,"IMPLEMENTATION OF INSURANCE SALES","INSURANCE SALES IMPLEMENTED THROUGH THE INDIVIDUAL AGENT"
1987588,"WE PROVIDE MARKET RESEARCH TO INSTITUTIONAL CLIENTS.",""
1987691,"FINANCIAL PLANNING SERVICES AND CERTAIN LINES OF INSURANCE",""
1987728,"IN ADDITION TO PROVIDING INVESTMENT ADVISORY SERVICES TO ITS CLIENTS, REGISTRANT ALSO PROVIDES CERTAIN ADMINISTRATIVE AND OTHER SERVICES TO ITS REGISTERED INVESTMENT COMPANY CLIENTS.",""
