"FilingID","Reference ID","4A-3","Schedule","Full Legal Name","DE/FE/I","Entity in Which","Title or Status","Status Acquired","Ownership Code","Control Person","PR","OwnerID"
2000657,2369,"Y","A","RINALDI, MATTHEW, JOSEPH","I","","VICE PRESIDENT AND CHIEF OPERATING OFFICER",09/2008,"NA","Y","N",5879384
2000657,2369,"","B","WEISS, ANDREW, MURRAY","I","WAM GP LLC","MEMBER, MANAGER AND CHIEF EXECUTIVE OFFICER",05/2017,"E","Y","N",4869676
2000657,2369,"Y","A","WEISS, ANDREW, MURRAY","I","","MEMBER AND CHIEF EXECUTIVE OFFICER",05/2017,"C","Y","N",4869676
2000657,2369,"Y","A","NIKITIN, GEORGIY","I","","CHIEF COMPLIANCE OFFICER",09/2008,"NA","Y","N",5879381
2000657,2369,"Y","A","FU, DANIEL, XUN","I","","PRESIDENT",09/2020,"NA","Y","N",7295195
2000657,2369,"Y","A","WAM GP LLC","DE","","MANAGER",08/2019,"NA","Y","N",
2000657,2369,"Y","A","RUIZ, ERIC, LITMAN","I","","GENERAL COUNSEL",03/2023,"NA","Y","N",7711597
2000657,2369,"Y","A","WAM EMPLOYEE LLC","DE","","MEMBER",02/2025,"E","Y","N",
2000657,2369,"","B","WAM GP LLC","DE","WAM EMPLOYEE LLC","MANAGER",02/2025,"F","Y","N",
2000657,2369,"","B","WEISS, ANDREW, MURRAY","I","WAM EMPLOYEE LLC","MEMBER",02/2025,"F","Y","N",4869676
2000657,5878,"N","A","WEISS, ANDREW, MURRAY","I","","DIRECTOR AND CHIEF EXECUTIVE OFFICER",01/2019,"D","Y","N",4869676
2000657,5878,"N","A","RINALDI, MATTHEW, JOSEPH","I","","VICE PRESIDENT AND CHIEF OPERATING OFFICER",01/2019,"NA","Y","N",5879384
2000657,5878,"N","A","NIKITIN, GEORGIY","I","","CHIEF COMPLIANCE OFFICER",01/2019,"NA","Y","N",5879381
2000657,5878,"N","A","KELLY, JAMES, CONNOR","I","","VICE PRESIDENT",01/2019,"NA","Y","N",7082936
2000657,5878,"N","A","FU, DANIEL, XUN","I","","DIRECTOR AND PRESIDENT",09/2020,"D","Y","N",7295195
2000657,5878,"N","A","AINLEY, PATRICK","I","","CHIEF FINANCIAL OFFICER",01/2020,"NA","Y","N",7515246
2000657,5878,"N","A","RUIZ, ERIC, LITMAN","I","","GENERAL COUNSEL",03/2023,"NA","Y","N",7711597
2000657,5878,"N","A","RAUSCH, EMMA","I","","CHIEF PEOPLE OFFICER",03/2024,"NA","Y","N",7884527
2000657,7450,"Y","A","HK HOLDINGS LIMITED","FE","","SHAREHOLDER",03/2019,"E","Y","N",
2000657,7450,"Y","A","HSIAO, JACK, TENG-CHUN","I","","DIRECTOR",03/2019,"NA","Y","N",7245213
2000657,7450,"","B","WEISS ASSET MANAGEMENT LP","DE","HK HOLDINGS LIMITED","SHAREHOLDER",03/2019,"E","Y","N",
2000657,7450,"","B","WAM GP LLC","DE","WEISS ASSET MANAGEMENT LP","GENERAL PARTNER",01/2010,"F","Y","N",
2000657,7450,"","B","WEISS, ANDREW, MURRAY","I","WAM GP LLC","MEMBER, MANAGER AND CHIEF EXECUTIVE OFFICER",05/2017,"E","Y","N",4869676
2000657,7450,"Y","A","NIKITIN, GEORGIY","I","","CHIEF COMPLIANCE OFFICER",03/2019,"NA","Y","N",5879381
2000657,7450,"Y","A","RINALDI, MATTHEW, JOSEPH","I","","VICE PRESIDENT AND CHIEF OPERATING OFFICER",03/2019,"NA","Y","N",5879384
2000657,7450,"Y","A","WEISS, ANDREW, MURRAY","I","","CHIEF EXECUTIVE OFFICER",03/2019,"NA","Y","N",4869676
2000657,7450,"Y","A","FU, DANIEL, XUN","I","","PRESIDENT",05/2022,"NA","Y","N",7295195
2000657,7450,"Y","A","RUIZ, ERIC, LITMAN","I","","GENERAL COUNSEL",03/2023,"NA","Y","N",7711597
2000657,7450,"Y","A","WONG, JEFFREY, SHEK-CHUEN","I","","DIRECTOR",12/2024,"NA","Y","N",4379789
