"Filing ID","Relying Advisor Business Name","Relying Advisor Legal Name","Relying Advisor CRD Number","Reference ID","Principal Address Same as Filer","Main Office Street Address 1","Main Office Street Address 2","Main Office City","Main Office State","Main Office Country","Main Office Postal Code","Main Office Private Residence Flag","Main Office Telephone Number","Main Office Facsimile Number","Mail Address Same as Filer","Mail Office Street Address 1","Mail Office Street Address 2","Mail Office City","Mail Office State","Mail Office Country","Mail Office Postal Code","Mail Office Private Residence Flag","1E2Days","1E2DaysOther","1E2Hours","1G","2A(1)","2A(2)","2A(4)","2A(5)","2A(6)","2A(7)","2A(8)","2A(8) Application","2A(8) Order Date","2A(9)","3A","3AOther","3B","3C-State","3C-Country","4C"
1997183,"MESA WEST DSA, LLC","MESA WEST DSA, LLC",293993,2884,"Y","","","","","","","","310-806-6300","310-806-6301","Y","","","","","","","","MONFRI","","9AM- 7PM","","Y","N","N","N","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
1997313,"","GRAHAM CAPITAL LLP",293697,2679,"N","55 BAKER STREET","","LONDON","","United Kingdom","W1U8EW","N","442078712122","","N","","","","","","","N","MONFRI","","8AM-6PM","549300XFQHPG7JLL5E23","Y","N","N","N","N","N","N","",,"N","Limited Liability Partnership","","12","","United Kingdom","N"
1997398,"SAROFIM GP LLC","SAROFIM GP LLC",321014,9695,"Y","","","","","","","","2146944200","2146924201","Y","","","","","","","","MONFRI","","8:00-5:30","","Y","N","N","N","N","N","N","",,"N","Limited Liability Company","","12","DE","United States",""
1999277,"DDELTA REI","DELTA TALENT, LLC",328971,11126,"Y","","","","","","","","512-457-0300","","N","","","","","","","N","MONFRI","","8:00 AM - 5:00PM","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","TX","United States","N"
1999277,"DDELTA REI","DDELTA REAL ESTATE VENTURES, LLC",328972,11127,"Y","","","","","","","","512-457-0300","","N","","","","","","","N","MONFRI","","8:00 AM - 5:00PM","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","TX","United States","N"
1999277,"DDELTA REI","FONDEUSA DELTA, LLC",328973,11128,"Y","","","","","","","","512-457-0300","","N","","","","","","","N","MONFRI","","8:00 AM - 5:00PM","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","TX","United States","N"
1999277,"3N STRATEGIES, LLC","3N STRATEGIES, LLC",328974,11129,"Y","","","","","","","","512-457-0300","","N","","","","","","","N","MONFRI","","8:00 AM - 5:00PM","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","TX","United States","N"
1999937,"","VISTRIA REAL ESTATE MANAGEMENT COMPANY, LP",337621,12797,"N","175 GREENWICH STREET","68TH FLOOR","NEW YORK","NY","United States","10007","N","312-626-1100","312-453-1651","N","175 GREENWICH STREET","68TH FLOOR","NEW YORK","NY","United States","10007","N","MONFRI","","8AM TO 5-M","","Y","N","N","N","N","N","N","",,"N","Limited Partnership","","12","DE","United States","N"
1999665,"IBORROW SPECIAL OPPORTUNITIES GP, INC.","IBORROW SPECIAL OPPORTUNITIES GP, INC.",322456,9847,"Y","","","","","","","","(310) 903-4300","(310) 843-0888","N","","","","","","","N","MONFRI","","9:00AM-6:00PM","","N","N","N","Y","N","N","N","",,"N","Corporation","","12","CA","United States","N"
1998850,"","ALINDA CAPITAL PARTNERS IV LLC",311096,8008,"Y","","","","","","","","203-930-3800","","N","","","","","","","N","MONFRI","","9:00 AM - 5:00 PM","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
1998850,"","ATA MANAGER 2 LLC",311480,8009,"Y","","","","","","","","203-930-3800","","N","","","","","","","N","MONFRI","","9:00 AM - 5:00 PM","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
1998850,"","ASTATINE ADVISORS LLC",324078,10042,"Y","","","","","","","","203-930-3800","","N","","","","","","","N","MONFRI","","9:00 AM - 5:00 PM","254900LUTQX8YXMNM116","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
1989583,"","WALLEYE CAPITAL (UK) LIMITED",329477,11195,"N","MOSS HOUSE, FLOOR 2","15-16 BROOKS MEWS","LONDON","","United Kingdom","W1K 4DS","N","+44 020 391 23129","","N","","","","","","","N","MONFRI","","8:00AM - 6:00PM","","N","N","Y","N","N","N","N","",,"N","Corporation","","12","","United Kingdom",""
1989583,"DOCKSIDE PLATFORMS","DOCKSIDE LLC",330606,11351,"N","120 FIFTH AVENUE","11TH FLOOR","NEW YORK","NY","United States","10011","N","646-756-1199","","N","","","","","","","N","MONFRI","","8:00AM - 6:00PM","","Y","N","N","N","N","N","N","",,"N","Limited Liability Company","","12","DE","United States",""
1989583,"","WALLEYE CAPITAL (DIFC) LIMITED",330782,11397,"N","OFFICE 8, LEVEL 5","GATE DISTRICT PRECINCT BUILDING 04, DIFC","DUBAI","","United Arab Emirates","","N","00971544065172","","N","","","","","","","N","MONFRI","","8:00AM - 6:00PM","","N","N","Y","N","N","N","N","",,"N","Corporation","","12","","United Arab Emirates",""
