"FilingID","Reference ID","4A-3","Schedule","Full Legal Name","DE/FE/I","Entity in Which","Title or Status","Status Acquired","Ownership Code","Control Person","PR","OwnerID"
1922434,5876,"Y","A","FORTRESS OPERATING ENTITY I L.P.","DE","","SOLE MEMBER",01/2007,"E","Y","N",
1922434,5876,"Y","A","BROOKS, DAVID, NICHOLS","I","","VICE PRESIDENT, SECRETARY, SECURITY OFFICER AND GENERAL COUNSEL",02/2007,"NA","N","N",5314938
1922434,5876,"Y","A","BASS, DANIEL, NEAL","I","","CHIEF FINANCIAL OFFICER",12/2003,"NA","N","N",4747757
1922434,5876,"","B","FIG BLUE LLC","DE","FORTRESS OPERATING ENTITY I L.P.","GENERAL PARTNER",01/2007,"F","Y","N",
1922434,5876,"","B","FORTRESS INVESTMENT GROUP LLC","DE","FIG BLUE LLC","SOLE MEMBER",01/2007,"E","Y","N",
1922434,5876,"","B","FINCO I INTERMEDIATE HOLDCO LLC","DE","FORTRESS INVESTMENT GROUP LLC","SOLE MEMBER",12/2017,"E","Y","N",
1922434,5876,"","B","FINCO I LLC","DE","FINCO I INTERMEDIATE HOLDCO LLC","SOLE MEMBER",12/2017,"E","Y","N",
1922434,5876,"","B","FIG PARENT, LLC","DE","FINCO I LLC","SOLE MEMBER",12/2017,"E","Y","N",
1922434,5876,"Y","A","Pack, Joshua, Anthony","I","","CO-CHIEF EXECUTIVE OFFICER",05/2023,"NA","Y","N",7432078
1922434,5876,"Y","A","MCKNIGHT, ANDREW, ADDISON","I","","CO-CHIEF EXECUTIVE OFFICER",05/2023,"NA","Y","N",4234427
1922434,5876,"Y","A","NEUMARK, JACK, ADAM","I","","MANAGING PARTNER",05/2024,"NA","Y","N",7930279
1922434,5876,"","B","FIG BUYER GP, LLC","DE","FOUNDATION HOLDCO LP","GENERAL PARTNER",05/2024,"F","Y","N",
1922434,5876,"","B","FIG BUYER GP, LLC","DE","FM INVESTOR AGGREGATOR LP","GENERAL PARTNER",05/2024,"F","Y","N",
1922434,5876,"","B","MC FOUNDATION HOLDINGS LP","DE","FOUNDATION HOLDCO LP","LIMITED PARTNER",12/2017,"D","Y","N",
1922434,5876,"","B","BRIGER, PETER, LIONEL","I","FIG BUYER GP, LLC","MEMBER",05/2024,"C","Y","N",1867239
1922434,5876,"","B","KOKKO, KEVIN, MIKAEL","I","MC FIG GP, LLC","MEMBER",07/2023,"C","Y","N",7183444
1922434,5876,"","B","CANNON, RODNEY, WAYNE","I","MC FIG GP, LLC","MEMBER",05/2023,"C","Y","N",7227307
1922434,5876,"","B","Pack, Joshua, Anthony","I","FIG BUYER GP, LLC","MEMBER",05/2024,"C","Y","N",7432078
1922434,5876,"","B","FM INVESTOR AGGREGATOR LP","DE","FOUNDATION HOLDCO LP","LIMITED PARTNER",05/2024,"C","Y","N",
1922434,5876,"","B","FIG BUYER LP","DE","FIG CAYMAN LP","LIMITED PARTNER",06/2023,"E","Y","N",
1922434,5876,"","B","FIG BUYER LP","DE","FIG BUYER SUB LLC","MEMBER",05/2023,"E","Y","N",
1922434,5876,"","B","FOUNDATION HOLDCO LP","DE","FIG PARENT, LLC","SOLE MEMBER",12/2017,"E","Y","N",
1922434,5876,"","B","FIG CAYMAN LP","FE","MC FOUNDATION HOLDINGS LP","LIMITED PARTNER",05/2024,"D","Y","N",
1922434,5876,"","B","MC FOUNDATION HOLDINGS (GP) LLC","FE","MC FOUNDATION HOLDINGS LP","GENERAL PARTNER",02/2017,"F","Y","N",
1922434,5876,"","B","MC FIG GP, LLC","FE","FIG CAYMAN LP","GENERAL PARTNER",06/2023,"F","Y","N",
1922434,5876,"","B","MC FIG GROUP LP","FE","FIG BUYER LP","LIMITED PARTNER",05/2023,"E","Y","N",
1922434,5876,"","B","MC FIG GP, LLC","FE","FIG BUYER LP","GENERAL PARTNER",05/2024,"F","Y","N",
1922434,5876,"","B","MC FIG GP, LLC","FE","MC FIG GROUP LP","GENERAL PARTNER",05/2023,"F","Y","N",
