"FilingID","ReferenceID","Name of Partner, etc."
1936122,17703,"D. E. SHAW & CO., L.L.C."
1936122,17706,"D. E. SHAW & CO., L.L.C."
1936122,44782,"D. E. SHAW MANAGER, L.L.C."
1936122,162332,"D. E. SHAW MANAGER, L.L.C."
1936122,205060,"D. E. SHAW MANAGER, L.L.C."
1936122,247247,"D. E. SHAW MANAGER, L.L.C."
1936122,421101,"D. E. SHAW DIOPTER MANAGER II, L.L.C."
1936122,281191,"D. E. SHAW MANAGER III, L.L.C."
1936122,363785,"D. E. SHAW ALKALI HOLDINGS VI, L.L.C."
1936122,313166,"D. E. SHAW DIOPTER MANAGER, L.L.C."
1936122,17710,"D. E. SHAW TERRELLA FUND GP, L.L.C."
1936122,17708,"D. E. SHAW MULTI-ASSET MANAGER, L.L.C."
1936122,63664,"D. E. SHAW MANAGER, L.L.C."
1936122,120508,"D. E. SHAW & CO., L.L.C."
1936346,180932,"QUADRANT GP LLC"
1936346,180933,"QUADRANT GP LLC"
1936346,214656,"QUADRANT GP LLC"
1936346,281895,"QUADRANT PCS GP LLC"
1933941,266976,"XPONANCE ADVISORS, LLC"
1930825,168677,"WONG KAM TO - DIRECTOR"
1930825,168677,"MENG TAT LIM - DIRECTOR"
1939002,8083,"ACADIAN ASSET MANAGEMENT LLC"
1938170,357652,"CABLE CAR CAPITAL, LP"
1939002,437795,"ACADIAN ASSET MANAGEMENT LLC"
1939002,437800,"ACADIAN ASSET MANAGEMENT LLC"
1939002,8120,"ACADIAN ASSET MANAGEMENT LLC"
1939002,425954,"ACADIAN ASSET MANAGEMENT LLC"
1939002,166823,"ACADIAN ASSET MANAGEMENT LLC"
1939002,8214,"ACADIAN ASSET MANAGEMENT LLC"
1939002,245123,"ACADIAN ASSET MANAGEMENT LLC"
1939002,190692,"ACADIAN ASSET MANAGEMENT LLC"
1939002,8101,"ACADIAN ASSET MANAGEMENT LLC"
1939002,8209,"ACADIAN ASSET MANAGEMENT LLC"
1939002,8092,"ACADIAN ASSET MANAGEMENT LLC"
1939002,8129,"ACADIAN ASSET MANAGEMENT LLC"
1939002,316936,"ACADIAN ASSET MANAGEMENT LLC"
1939002,279919,"ACADIAN ASSET MANAGEMENT LLC"
1939002,166822,"ACADIAN ASSET MANAGEMENT LLC"
1939002,8075,"ACADIAN ASSET MANAGEMENT LLC"
1939002,8108,"ACADIAN ASSET MANAGEMENT LLC"
1939002,120706,"ACADIAN ASSET MANAGEMENT LLC"
