"FilingID","Full Legal Name","CIK Number"
1928157,"FRANKLIN RESOURCES, INC.",38777
1928317,"ACADIAN ASSET MANAGEMENT INC.",1748824
1920908,"KKR & CO. INC.",1404912
1924333,"NOMURA HOLDINGS, INC. (FORMERLY NAMED THE NOMURA SECURITIES CO., LTD.)",1163653
1927921,"WELLS FARGO AND COMPANY",105598
1922697,"BLACKSTONE INC.",1393818
1921721,"DIGITALBRIDGE GROUP, INC.",1679688
1922441,"LPL FINANCIAL HOLDINGS INC.",1397911
1928948,"BANK OF MONTREAL",927971
1928454,"CANADIAN IMPERIAL BANK OF COMMERCE",16847
1921122,"BANK OF MONTREAL",927971
1930568,"THE BANK OF NOVA SCOTIA",9631
1926442,"CI FINANCIAL CORP.",1829948
1928409,"ROYAL BANK OF CANADA",1000275
1922475,"MORGAN STANLEY",895421
1926782,"DEUTSCHE BANK AG",948046
1927971,"TPG INC",18806
1922685,"LPL FINANCIAL HOLDINGS INC.",1397911
1931557,"VIRTUS INVESTMENT PARTNERS, INC.",883237
1928331,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088
1933106,"RAYMOND JAMES FINANCIAL, INC.",720005
1927111,"HORACE MANN EDUCATORS CORP.",62011
1927385,"VICTORY CAPITAL HOLDINGS, INC.",157082
1917586,"DETUSCHE BANK AG",948046
1926467,"ALTI GLOBAL, INC.",1838615
1927104,"FNB CORPORATION",37808
1924005,"VIRTUS INVESTMENT PARTNERS, INC.",883237
1924305,"T. ROWE PRICE GROUP, INC.",1113169
1924313,"T. ROWE PRICE GROUP, INC.",1113169
1922221,"NOMURA HOLDINGS, INC. (FORMERLY NAMED THE NOMURA SECURITIES CO., LTD.)",1163653
1920909,"KKR & CO. INC",1404912
1932162,"ALLIANCEBERNSTEIN L.P.",1109448
1932162,"EQUITABLE HOLDINGS, INC.",727920
1931570,"THE BANK OF NOVA SCOTIA",9631
1927005,"THE TORONTO-DOMINION BANK",947263
1930981,"THE CARLYLE GROUP INC.",1527166
1923706,"THE HARTFORD FINANCIAL SERVICES GROUP, INC.",874766
1924934,"EQUITABLE FINANCIAL, INC",888002
1924934,"EQUITABLE HOLDINGS, INC",1333986
1930039,"AGNC INVESTMENT CORP",1423689
1928556,"VIRTUS INVESTMENT PARTNERS, INC.",883237
1930919,"JOHN HANCOCK LIFE INSURANCE COMPANY (U.S.A.)",1073894
1929795,"COHEN & STEERS, INC.",128481
1931039,"CITIGROUP INC.",831001
1929589,"UBS AG",1114446
1929589,"UBS GROUP AG",1610520
1931250,"ROYAL BANK OF CANADA",1000275
1929735,"FRANKLIN RESOURCES, INC.",38777
1929763,"BANK OF AMERICA CORPORATION",70858
1921822,"APOLLO GLOBAL MANAGEMENT, INC.",1858681
1921822,"APOLLO ASSET MANAGEMENT, INC.",1411494
1928410,"APOLLO GLOBAL MANAGEMENT, INC.",1858681
1928716,"J.P. MORGAN TRUST CO OF DELAWARE",1387526
1929981,"COLLIERS INTERNATIONAL GROUP INC.",913353
1928917,"UBS GROUP AG",1610520
