"FilingID","Wrap Fee Program","Sponsor","Sponsor SEC File Number","Sponsor CRD Number"
1931835,"CAPITAL CITY WEALTH MANAGEMENT, INC.","CAPITAL CITY WEALTH MANAGEMENT, INC.","",
1936503,"MONECO ADVIOSRS WRAP FEE PROGRAM","MONECO ADVISORS, LLC","",
1936818,"BIRNAM WOOD CAPITAL WRAP PROGRAM","BIRNAM WOOD CAPITAL, LLC","",269897
1930942,"PW NOVA FINANCIAL SERVICES WRAP FEE PROGRAM","PW NOVA FINANCIAL SERVICES","",
1928625,"NON-SPONSORED ACCOUNT COMMAND PROGRAM","LOCKWOOD FINANCIAL","",
1928625,"PROFESSIONAL ASSET MANAGEMENT PROGRAM (PRO AM)","NBC SECURITIES","",
1928625,"SPONSORED SMA PROGRAM","LOCKWOOD FINANCIAL","",
1928625,"RBC DOMINION SECURITIES ACCESS PROGRAM","ENVESTNET","",
1928625,"MANAGER SELECT","LPL FINANCIAL","",
1928625,"MANAGER ACCESS SELECT","LPL FINANCIAL","",
1934380,"INSPIRION WEALTH ADVISORS, LLC - WRAP FEE PROGRAM","INSPIRION WEALTH ADVISORS, LLC","801-77181",165174
1928461,"CIM WRAP FEE PROGRAM","CATALYST INVESTMENT MANAGEMENT LLC","",298122
1935242,"MUTUAL FUND/EXCHANGE TRADED FUNDS ADVISORY PROGRAM","CETERA INVESTMENT ADVISERS LLC","801-20406",105644
1935242,"AMERIPRISE SELECT SEPARATE ACCOUNT PROGRAM","AMERIPRISE FINANCIAL SERVICES, LLC","801-28543",6363
1935242,"AMERIPRISE ACTIVE PORTFOLIOS PROGRAM","AMERIPRISE FINANCIAL SERVICES, LLC","801-28543",6363
1938195,"OPUS WRAP PROGRAM","OPUS PRIVATE WEALTH GROUP, LLC","",
1941635,"BFA WRAP FEE PROGRAM","BILL FEW ASSOCIATES, INC.","801-29235",133561
1941725,"ERG WRAP FEE PROGRAM","ELITE WEALTH MANAGEMENT","",
1934770,"WATERWAY WEALTH MANAGEMENT WRAP FEE PROGRAM","WATERWAY WEALTH MANAGEMENT, L.L.C.","801-77571",164975
1939714,"MALTIN WEALTH MANAGEMENT WRAP FEE PROGRAM","MALTIN WEALTH MANAGEMENT, INC.","",
1941718,"THEPARTNERS WEALTH MANAGEMENT WRAP FEE PROGRAM BROCHURE","THEPARTNERS WEALTH MANAGEMENT","801-122637",314816
1938294,"GOLDMAN SACHS AYCO PRIVATE ACCESS ACCOUNT STRATEGIES WRAP FEE PROGRAM","THE AYCO COMPANY, L.P.","801-48238",106693
1930685,"CHARLES SCHWAB WRAP FEE PROGRAM","CHARLES SCHWAB & CO., INC.","801-29938",5393
1937014,"MANAGER SELECT","LPL FINANCIAL","",
1937014,"CONNECT PROGRAM","STIFEL NICOLAUS","",
1937014,"INVESTMENT MANAGEMENT SOLUTIONS","MORGAN STANLEY SMITH BARNEY","",
1937014,"MANAGED ACCOUNT PLATFORM","RBC WEALTH MANAGEMENT","",
1937014,"OUTSIDE MANAGER PROGRAM","RAYMOND JAMES & ASSOCIATES, INC","",
1937014,"PRIVATE ADVISOR NETWORK","WELLS FARGO ADVISORS","",
1937014,"RECOMMENDED MANAGERS","RW BAIRD","",
1937014,"MANAGER ACCESS SELECT","LPL FINANCIAL LLC","",
1937014,"PAS PLATFORM","LOCKWOOD ADVISORS, INC.","",
1938469,"NETWORK ACCOUNT","WELLS FARGO SECURITIES, LLC","8-65876",126292
1935341,"ASSET PLANNING CORPORATION WRAP FEE PROGRAM","ASSET PLANNING CORPORATION","",
1927510,"LATKO WEALTH MANAGEMENT WRAP FEE PROGRAM","LATKO WEALTH MANAGEMENT, LTD.","801-113279",282423
1941811,"ORG PARTNERS WRAP PROGRAM","ORG PARTNERS","801-120444",312728
1941494,"DAVID P. GILLIAM & ASSOCIATES WRAP PROGRAM","LPL FINANCIAL LLC","801-10970",6413
1932629,"ONESEVEN","ONESEVEN","801-107829",283087
1923586,"LRI INVESTMENTS WRAP FEE PROGRAM","LRI INVESTMENTS","801-127277",323556
1939918,"PARTNER-ADVISOR AS PORTFOLIO MANAGER","HILLTOP SECURITIES INC.","801-55529",6220
1939918,"PREMIER ADVISORS","HILLTOP SECURITIES INC.","801-55529",6220
1937910,"ADVISOR'S CHOICE SEPARATELY MANAGED ACCOUNT PROGRAM","CONCOURSE FINANCIAL GROUP ADVISORS","801-56010",15708
1937747,"THE CLIENT 1ST WRAP FEE PROGRAM","CLIENT 1ST ADVISORY GROUP","801-78052",167790
1940393,"CAAMS SELECT MANAGER","LINCOLN","",
1940393,"PRIVATE NETWORK ADVISOR PROGRAM","WELLS FARGO","",
1940393,"MANAGED ACCOUNT CONSULTING (MAC)","UBS FINANCIAL SERVICES","",
1940393,"CAAMS SELECT ADVISORY","LINCOLN","",
1940393,"MANAGED ACCOUNTS PROGRAM (MAP)","RBC WEALTH MANAGEMENT","",
1940393,"INVESTMENT MANAGER SERVICES","MORGAN STANLEY","",
1922011,"INNOVATIVE WEALTH BUILDING LLC WRAP FEE PROGRAMS","INNOVATIVE WEALTH BUILDING LLC","",314942
1922250,"CX MULTI-STRATEGY PLATFORM PROGRAM","CX INSTITUTIONAL, LLC","801-112742",292627
1940839,"FULCRUM EQUITY MANAGEMENT MODELS PROGRAM","FULCRUM EQUITY MANAGEMENT, LLC","801-79524",159099
1940839,"SMARTX","SMARTX ADVISORY SOLUTIONS","801-113795",297680
1940839,"MANAGED ACCOUNT COMMAND","BENJAMIN F. EDWARDS & COMPANY, INCORPORATED","801-71421",146936
1940839,"OPPENHEIMER ASSET MANAGEMENT","OPPENHEIMER & CO. INC.","801-887",249
1940839,"MANAGER SELECT/MANAGER ACCESS SELECT/MODEL WEALTH PORTFOLIOS","LPL FINANCIAL LLC","801-10970",6413
1940839,"PERSONALIZED UMA","WELLS FARGO ADVISORS","801-57434",11025
1940839,"ADHESION WEALTH","ADHESION WEALTH ADVISOR SOLUTIONS","801-67829",143593
1940839,"SMA","ENVESTNET PMC","801-57260",111694
1932873,"TRUEWEALTH FINANCIAL PARTNERS WRAP FEE PROGRAM","TRUEWEALTH FINANCIAL PARTNERS","",316079
1938491,"WRAP FEE PROGRAM","BOOTHE INVESTMENT GROUP INC.","",
1935500,"ADVISORY SOLUTIONS UNIFIED MANAGED ACCOUNT (UMA) MODELS (RESEARCH MODELS)","EDWARD JONES","801-3297",250
1935500,"ADVISORY SOLUTIONS FUND MODELS  (RESEARCH MODELS)","EDWARD JONES","801-3297",250
1946244,"UBS ACCESS/SWP/AAP","UBS SECURITIES LLC","8-22651",7654
1944252,"LINDBROOK CAPITAL, LLC'S MUTUAL FUND WRAP FEE PROGRAM","LINDBROOK CAPITAL, LLC","801-72193",155812
1923669,"NETWORK ACCOUNT","WELLS FARGO SECURITIES, LLC","8-65876",126292
1941159,"FIRST HEARTLAND CONSULTANTS WRAP FEE PROGRAM","FIRST HEARTLAND CONSULTANTS, INC.","801-46595",110377
1941159,"FIRST HEARTLAND CONSULTANTS WRAP FEE PROGRAM-EMPLOYER SPONSORED PLANS","FIRST HEARTLAND CONSULTANTS, INC.","801-46595",110377
1941159,"FIRST HEARTLAND CONSULTANTS WRAP FEE PROGRAM-ASSET STRATEGIES","FIRST HEARTLAND CONSULTANTS, INC.","801-46595",110377
1943816,"KACHKOVSKY & FISHER, INC. WRAP FEE PROGRAM","KACHKOVSKY & FISHER, INC.","801-114268",117811
1945314,"BUCKRAM WEALTH MANAGEMENT PROGRAM","BUCKRAM SECURITIES LTD.","",
