"FilingID","2A1","2A2","2A3","2A4","2A5","2A6","2A7","2A8","2A9","2A10","2A11","2A11(1)","2A11(2)","2A12","2A13","2-AL","2-AK","2-AZ","2-AR","2-CA","2-CO","2-CT","2-DE","2-DC","2-FL","2-GA","2-HI","2-ID","2-IL","2-IN","2-IA","2-KS","2-KY","2-LA","2-ME","2-MD","2-MA","2-MI","2-MN","2-MS","2-MO","2-MT","2-NE","2-NV","2-NH","2-NJ","2-NM","2-NY","2-NC","2-ND","2-OH","2-OK","2-OR","2-PA","2-PR","2-RI","2-SC","2-SD","2-TN","2-TX","2-UT","2-VT","2-VA","2-WA","2-WV","2-WI","2-GU","2-VI","3A","3A-Other","3B","3C","3C-State","3C-Country"
1949000,"Y","","","","","","","","","","","","","","","","","Y","","","","","","","","","","Y","","","","","","Y","","","","","","","","","","","","","","","","","","","Y","","","","","","","Y","","","","Y","","","","","Corporation","","DECEMBER","","Oregon","United States"
1997900,"","","","","","","","","Y","","","","","","","Y","","","","Y","Y","","","","Y","","","","","","","","","Y","","","","Y","","","","","","","","","","","","","","","","","","","","","Y","Y","","","","","","","","","Limited Liability Company","","DECEMBER","","Louisiana","United States"
1998700,"Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","Limited Liability Company","","DECEMBER","","Delaware","United States"
1999900,"Y","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","Y","","","","","","","","","","","","","","","","","","","","","Limited Partnership","","DECEMBER","","Delaware","United States"
2001800,"Y","","","","","","","","","","","","","","","","","Y","","Y","Y","","","","Y","","","","","","","","","Y","","","","","","","","","","","","Y","","Y","","","","","","Y","Y","","","","","","","","","Y","","","","","Limited Liability Company","","DECEMBER","","Florida","United States"
2001900,"Y","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Limited Liability Company","","DECEMBER","","Florida","United States"
2002400,"Y","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","Y","","Y","","","","","","Y","","","Limited Liability Company","","DECEMBER","","Delaware","United States"
2002600,"Y","","","","","","","","","","","","","","","","","","","Y","Y","","","","","","","","","","","","","Y","","","Y","","","","","","","","","","","Y","Y","","","","","","","","","","","Y","","","","Y","","","","","Limited Liability Company","","DECEMBER","","Washington","United States"
2002800,"","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","Y","","","Y","","","","","","","","","","","","Y","","","","","","","","","Limited Liability Company","","DECEMBER","","New York","United States"
2002900,"","","","Y","","","","","","","","","","","","","","","","Y","","","Y","","Y","","","","Y","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","Corporation","","DECEMBER","","","Sweden"
2003700,"Y","","","","","","","","","","","","","","","","","Y","Y","Y","Y","","","","Y","Y","","","Y","","","Y","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","Y","Y","","","","","","","","","Limited Liability Company","","DECEMBER","","Delaware","United States"
2003800,"Y","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Limited Liability Company","","DECEMBER","","California","United States"
2004200,"","Y","","","","","","","","","","","","","","","","","","Y","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","Y","","Y","Y","","","Y","","","","","","","","Y","Y","","","","","","","","Limited Liability Company","","DECEMBER","","New York","United States"
2004300,"Y","","","","","","","","","","","","","","","","","","","Y","Y","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","Y","","","","","","","","Limited Liability Company","","DECEMBER","","Utah","United States"
2004800,"Y","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","Y","Corporation","","DECEMBER","","Ohio","United States"
2004900,"Y","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Limited Liability Company","","DECEMBER","","Delaware","United States"
2005000,"Y","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","","Limited Liability Company","","DECEMBER","","Massachusetts","United States"
2005300,"Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Limited Liability Company","","DECEMBER","","Delaware","United States"
2006000,"Y","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","Y","Limited Liability Company","","DECEMBER","","Florida","United States"
2006300,"Y","","","","","","","","","","","","","","","Y","","","","","","","","","Y","Y","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","Y","","","","","","Y","","","","","","Limited Liability Company","","DECEMBER","","South Carolina","United States"
2006800,"Y","","","","","","","","","","","","","","","","","","","Y","Y","","Y","","Y","","","","Y","","","","","","","","","","Y","","","","","","Y","","","","","","","","","","","","","Y","","Y","","","","","","Y","","","Limited Liability Company","","DECEMBER","","Minnesota","United States"
1950950,"","","","","","","","","","","Y","Y","N","","","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","","Limited Liability Company","","DECEMBER","","Delaware","United States"
1960721,"Y","","","","","","","","","","","","","","","","","Y","","Y","","Y","","","Y","Y","","","","","","","","","Y","","Y","","","","","","","","Y","Y","","Y","Y","","Y","","","Y","","","","","","Y","","","Y","","","","","","Corporation","","DECEMBER","","New Jersey","United States"
1973467,"Y","","","Y","","","","","","","","","","","","","","","","Y","","","Y","","Y","","","","","","","","","","","","","","","","","","","","Y","","","Y","","","","","","","","","","","","Y","","","","Y","","","","","Corporation","","DECEMBER","","","Switzerland"
1974001,"Y","","","","Y","","","","","","","","","","","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","Y","Limited Liability Company","","DECEMBER","","Delaware","United States"
1974409,"Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","Limited Liability Company","","DECEMBER","","Delaware","United States"
1974499,"Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","Limited Liability Company","","DECEMBER","","Virginia","United States"
1975302,"Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","Limited Liability Company","","DECEMBER","","Tennessee","United States"
1975650,"Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","Y","","","","","","","","","Limited Liability Company","","DECEMBER","","Ohio","United States"
