"FilingID","2A1","2A2","2A3","2A4","2A5","2A6","2A7","2A8","2A9","2A10","2A11","2A11(1)","2A11(2)","2A12","2A13","2-AL","2-AK","2-AZ","2-AR","2-CA","2-CO","2-CT","2-DE","2-DC","2-FL","2-GA","2-HI","2-ID","2-IL","2-IN","2-IA","2-KS","2-KY","2-LA","2-ME","2-MD","2-MA","2-MI","2-MN","2-MS","2-MO","2-MT","2-NE","2-NV","2-NH","2-NJ","2-NM","2-NY","2-NC","2-ND","2-OH","2-OK","2-OR","2-PA","2-PR","2-RI","2-SC","2-SD","2-TN","2-TX","2-UT","2-VT","2-VA","2-WA","2-WV","2-WI","2-GU","2-VI","3A","3A-Other","3B","3C","3C-State","3C-Country"
1950000,"","Y","","","","","","","","","","","","","","","","","","Y","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","Y","","Y","Y","","","Y","","","","","","","","Y","Y","","","","","","","","Limited Liability Company","","DECEMBER","","New York","United States"
1917300,"Y","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","Y","","","","","","","Y","","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","Limited Liability Company","","DECEMBER","","New York","United States"
1918700,"Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","Y","","","","","","","","","Limited Partnership","","DECEMBER","","Delaware","United States"
1921500,"Y","","","","","","","","","","","","","","","","Y","Y","","Y","Y","Y","","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","Y","Y","Y","Y","","Y","","Y","Y","Y","Y","Y","Y","Y","","Y","","Y","Y","","Y","Y","","Y","Y","Y","","Y","Y","","Y","","","Limited Liability Company","","DECEMBER","","Delaware","United States"
1924500,"Y","","","","","","","","","","","","","","","Y","","","","","","","","","Y","Y","","","Y","Y","","","","","","","","","","Y","Y","","","","","","","","Y","","","","","","","","","","Y","Y","","","","","","","","","Limited Liability Company","","DECEMBER","","Illinois","United States"
1924800,"Y","","","","","","","","","","","","","","","","","Y","","","","Y","","","Y","Y","","","","","","","","","Y","","Y","","","","","","","","Y","","","","Y","","","","","","","","Y","","","Y","","","","","","","","","Corporation","","DECEMBER","","Massachusetts","United States"
1925800,"Y","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","Corporation","","DECEMBER","","Florida","United States"
1926500,"Y","","","","","","","","","","","","","","","","","Y","","Y","Y","","","","","","","Y","","","","","","Y","","","","","","","","","Y","","","","Y","","","","","Y","","","","","","","","Y","Y","","","","","","","","Corporation","","DECEMBER","","Utah","United States"
1927600,"Y","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","Limited Partnership","","DECEMBER","","Delaware","United States"
1929500,"Y","","","","","","","","","","","","","","","Y","","Y","Y","Y","Y","Y","Y","Y","Y","Y","","","Y","","","Y","","Y","Y","Y","Y","","Y","","Y","","","","Y","Y","","Y","","","Y","","Y","Y","","","Y","","Y","Y","Y","Y","Y","Y","","Y","","","Limited Liability Company","","DECEMBER","","Arkansas","United States"
