"FilingID","Miscellaneous"
1938323,"www.watertowerventures.com  @watertowerventures Watertower Ventures Linkedin"
1939865,"SCHEDULE B: THERE ARE NO SHAREHOLDERS OF 3I GROUP PLC WHO OWN 25% OR MORE OF A CLASS OF ITS VOTING SECURITIES.  ** SCHEDULE D, SECTION 7.A: INFORMATION HAS BEEN PROVIDED FOR 3I GC GP LIMITED, THE GENERAL PARTNER OF 3I GROWTH CAPITAL B LP. THE OTHER PRIVATE FUNDS DESCRIBED HEREIN HAVE VARIOUS GENERAL PARTNERS, THE INFORMATION FOR EACH OF WHICH IS IDENTICAL TO THAT OF 3I GC GP LIMITED EXCEPT FOR THE NAME AND FORM OF ORGANIZATION. AS A RESULT INFORMATION FOR THESE OTHER GENERAL PARTNERS HAS NOT BEEN PROVIDED BECAUSE IT WOULD BE REDUNDANT. **SCHEDULE D, SECTION 7.B.(1), QUESTION 3: THE ADVISER IS THE MANAGER FOR EACH OF THE FUNDS LISTED IN SCHEDULE D, SECTION 7.B.(1) AND AS SUCH HAS COMPLETE DISCRETION OVER INVESTMENT DECISIONS. SEE THE RESPONSE ABOVE REGARDING INFORMATION ABOUT THE GENERAL PARTNERS OF THE FUNDS.  ** SCHEDULE D, SECTION 7.B.(1) FOR 3I INFRASTRUCTURE PLC: 3I INFRASTRUCTURE PLC'S OUTSTANDING SECURITIES ARE PUBLICLY TRADED ON THE LONDON STOCK EXCHANGE. AS A RESULT, SHARE OWNERSHIP CHANGES ON A DAILY BASIS BASED ON SECONDARY MARKET TRADING. THE ADVISER IS NOT ABLE TO OBTAIN ACCURATE INFORMATION REGARDING BENEFICIAL OWNERSHIP OF THE FUND'S SHARES. THERFORE, IN RESPECT OF QUESTION 13, THE RESPONSE REFLECTS THE NUMBER OF REGISTERED INSTITUTIONAL SHAREHOLDERS AT THE END OF MARCH 2024 BUT DOES NOT TAKE INTO ACCOUNT THE NOMINEE ACCOUNTS FOR WHICH THEY HOLD. NOR DOES IT INCLUDE INDIVIDUAL SHAREHOLDERS WHO TOGETHER HOLD LESS THAN 3% ISSUED SHARE CAPITAL. IN RESPECT OF QUESTION 15, WE HAVE ENTERED 0 AS WE DO NOT HAVE SUCH INFORMATION. QUESTION 16 IS DETERMINED BY AN ANALYSIS OF REGISTERED SHAREHOLDERS RATHER THAN BENEFICIAL OWNERSHIP.  **SCHEDULE D, SECTION 7.B.(1), QUESTIONS 19- 20: CERTAIN PRIVATE FUNDS ADVISED BY 3I INVESTMENTS PLC INVEST IN OTHER FUNDS ADVISED BY 3I INVESTMENTS PLC EVEN THOUGH SUCH FUNDS ARE NOT ""SOLICITED"" TO INVEST IN THE 3I FUNDS.   **SCHEDULE D, SECTION 7.B.(1), QUESTION 25: IN SOME CASES, OTHER PARTIES MAY ALSO HOLD PROPERTY OF A PARTICULAR FUND, SUCH AS A THIRD PARTY DEPOSITARY OR BANKS AT WHICH A FUND MAINTAINS AN ACCOUNT (OVER WHICH 3I INVESTMENTS PLC HAS MANDATE) TO HOLD CASH PRIOR TO AN INVESTMENT OR ONCE AN INVESTMENT IS SOLD. ALL OF THESE PARTIES ARE OUTSIDE THE US.  **SCHEDULE D, SECTION 7.B.(1): FOR THE PURPOSES OF IDENTIFYING ITS PRIVATE FUNDS, THE ADVISER HAS NOT INCLUDED (I) VEHICLES THROUGH WHICH 3I'S EMPLOYEES AND FORMER EMPLOYEES (INCLUDING US EMPLOYEES AND FORMER US EMPLOYEES) PARTICIPATE IN CARRIED INTEREST ARRANGMENTS AND (II) VEHICLES IN WHICH SUCH CARRIED INTEREST VEHICLES HAVE A PARTICIPATION AND WHERE THERE ARE NO OTHER US BENEFICIAL OWNERS.  **SCHEDULE D, SECTION 7.B.(1)23(a)(2) WITH RESPECT TO THE PRIVATE FUNDS, THE FINANCIAL STATEMENTS ARE PREPARED IN ACCORDANCE WITH IFRS WHICH IS SUBSTANTIALLY SIMILAR TO US GAAP AND ANY MATERIAL DIFFERENCES ARE RECONCILED IN ACCORDANCE WITH SEC GUIDANCE. **SECTION 7.B.(1)23(d) WITH RESPECT TO THE PRIVATE FUNDS SUBJECT TO AN ANNUAL AUDIT, THE AUDITING FIRM IS NOT REQUIRED TO MEET THE DEFINITION OF AN INDEPENDENT PUBLIC ACCOUNTANT AS 3I INVESTMENTS PLC IS CLASSIFIED AS AN EXEMPT REPORTING ADVISOR. IT IS FOR THIS REASON THAT WE HAVE CHECKED ‘NO’ TO THIS QUESTION."
1925134,"ADDITIONAL INFORMATION FOR SECTION 7.B.(1) (DEEP BAY FUND) QUESTION 23.(A)(2): THE FUND'S FINANCIAL STATEMENT ARE PREAPRED IN ACCORDANCE WITH INTERNATIONAL STANDARDS ON AUDITING.  INFORMATIONFOR SECTION 7.B.1 (RED DOOR MASTER FUND) QUESTION 6(b) AND QUESTION 7: REFERENCE TO RED DOOR (OFFSHORE FEEDER) FUND HAS BEEN REMOVED FOLLOWING ITS DE-REGISTRATION WITH THE CAYMAN ISLANDS MONETARY AUTHORITY WITH EFFECT FROM 27 JUNE 2024 AND IS CURRENTLY UNDER DISSOLUTION.   INFORMATION FOR SECTION 7.B.1 (RED DOOR MASTER FUND) QUESTION 11, QUESTION 13, QUESTION 14 AND QUESTION 20: THE ANSWERS OF THESE QUESTIONS ARE ZERO GIVEN IT IS IN PROCESS OF DE-REGISTERATION FROM THE CAYMAN ISLANDS MONETARY AUTHORITY AND LIQUIDATION."
1940788,"The audit of fiscal year ending March 31, 2024 for NTT Venture Capital, L.P. (the “Fund”) has been completed and the reports delivered to investors."
1942291,"This filing reflects clients and assets as of February 20, 2025."
1939857,"INFORMATION FOR SECTION 7.B.(1) QUESTION 11, QUESTION 13, QUESTION 14, QUESTION 15(A), QUESTION 16 AND QUESTION 20: ALL ANSWERS ARE AS AT 31 DECEMBER 2024."
1944965,"Regulatory assets under management reported herein are unaudited and based on a good faith estimate as of December 31, 2024."
1945625,"The reporter advises private funds as reported in Item 7.B.(2) that collectively exceed $25 million USD in gross assets under management. AngelList Advisors, LLC, an exempt reporting adviser with the SEC, serves as the primary investment adviser and reporter for these funds on its Form ADV, the Reporter is a subadviser. Updated gross assets under management for each private fund advised by Footprint Coalition Ventures, LLC are reflected on AngelList Advisors, LLC’s Form ADV under Item 7.B.1."
1940074,"We are filing this amendment dated 2/13/25 to remove the CIO, Luong Duy Nguyen from Schedule A as of 1/17/25   In response to Q.13 of Item 7, MDF indicated the number of the equity owners of the fund entities (limited partners  in an LP entity and members in the LLC entities). Each fund is a debt fund that offers notes to investors in  exchange for their investment capital versus pooled investment vehicle interests. Given this structure, the underlying investors become noteholders and creditors of the respective fund entities but not beneficial owners; therefore, MDF did not count the noteholders as beneficial owners of the funds.  In response to Q.11 of Section 7.B(1) of Schedule D, the indicated gross asset value of the following private funds is inclusive of the amounts of grants available to such funds. Superficially, the reported gross asset value of MDF Fund I, LP includes a grant of $200,000, and the reported gross asset value of PE FUND II, LLC includes a grant of $181,981."
1932150,"The sub advisory agreement between Scalebuilder LLC, SEC file number: 801-126334, and Anavio Capital Partners LLP for the Scalebuilder Allocation Format, LP ,fund, private fund identification number: 805-6372209330, was terminated as of 30th December 2024. On this basis reference to the Scalebuilder Allocation Format, LP, fund has been removed from item 7b2."
