"FilingID","Individual Name","Firm or Organization Name","CRD Number","Effective Date","Termination Date","Street 1","Street 2","City","State","Country","Postal Code","Private Residence?","Description"
1997154,"","KENNEDY LEWIS MANAGEMENT LP",290399,05/01/2024,,"225 LIBERTY STREET","SUITE 4210","NEW YORK","NY","United States","10281","N","KENNEDY LEWIS INVESTMENT MANAGEMENT LLC (KLIM) HAS TWO OF THE FIVE BOARD SEATS OF SANCTUARY WEALTH GROUP, LLC WHICH OWNS 100% OF TRU INDEPENDENCE ASSET MANAGEMENT, LLC. KLIM, WITH THE BOARD SEATS, HAS 40% OF THE VOTING RIGHTS."
1996639,"WERKMEISTER, MARC, WILLIAM","",5185131,03/01/2015,,"501 S. JEFFERS","","NORTH PLATTE","NE","United States","69101","N","PARTICIPATES IN MANAGEMENT."
1994227,"","RETIREMENT PLAN ADVISORS GROUP, LLC",,01/01/2014,,"29 E. MADISON ST","SUITE 500","CHICAGO","IL","United States","60602-3205","N","RETIREMENT PLAN ADVISORS GROUP, LLC EXISTS AS CONTROL PERSON BY SOLE OWNERSHIP."
1994227,"","RETIREMENT PLAN ADVISORS HOLDINGS, INC.",,12/22/2021,,"29 E. MADISON ST","SUITE 500","CHICAGO","IL","United States","60602-3205","N","THIS IS AN INDIRECT OWNER"
1986781,"","REDWOOD PRIVATE WEALTH",312942,09/16/2021,,"E. RAY ROAD","3930","PHOENIX","AZ","United States","85044","N","REDWOOD PRIVATE WEALTH LLC (""REDWOOD""),AN SEC REGISTERED INVESTMENT ADVISER AND CCO, KIMBERLEY RAIMONDO,ESQ CONTROLS AND DIRECTS THE MANAGEMENT AND POLICIES OF BROOKWOOD INVESTMENT GROUP."
1999720,"","SOUTHSTATE BANK, N.A.",,01/01/2025,,"520 GERVAIS ST","","COLUMBIA","SC","United States","29201","N","PRIVATE CAPITAL MANAGEMENT, LLC IS A WHOLLY OWNED SUBSIDIARY OF SOUTHSTATE BANK, DOING BUSINESS AS SOUTHSTATE. SOUTHSTATE BANK IS A WHOLLY OWNED SUBSIDIARY OF SOUTHSTATE CORPORATION."
2000486,"","KENNEDY LEWIS MANAGEMENT LP",290399,06/30/2022,,"225 LIBERTY STREET","SUITE 4210","NEW YORK","NY","United States","10281","N","KENNEDY LEWIS INVESTMENT MANAGEMENT LLC ( KLIM ) HAS 2 OF THE 5 BOARD SEATS OF SANCTUARY WEALTH GROUP, LLC WHICH OWNS 100% OF SANCTUARY ADVISORS LLC. KLIM WITH THESE 2 BOARDS SEATS HAS 40% OF THE VOTING RIGHTS."
1996734,"","HIVE ENTERPRISES, LLC",,03/12/2021,,"6968 W RD  150 N","","BARGERSVILLE","IN","United States","46106","N","EVAN S FRUITS IS THE 100% OWNER AND SOLE MEMBER OF HIVE ENTERPRISES, LLC., WHICH IS THE 100% OWNER AND SOLE MEMBER OF KOON FINANCIAL PLANNING & CONSULTING, LLC"
1995815,"SLOVIN, CLIVE","",1101301,07/06/2016,,"2200 CENTURY PARKWAY","SUITE 500","ATLANTA","GA","United States","30345","N","MR. SLOVIN IS THE PRESIDENT OF SFA HOLDING, INC., PARENT COMPANY OF STRATEGIC BLUEPRINT."
1995815,"MACKAY, JAMES","",2615173,04/22/2022,,"CENTURY PARKWAY","2200","ATLANTA","GA","United States","30345","N","MR. MACKAY IS THE PRESIDENT AND COO OF SFA PARTNERS, AN AFFILIATED COMPANY THAT PROVIDES SHARED SERVICES TO STRATEGIC BLUEPRINT AND ITS SISTER COMPANIES, INCLUDING ACCOUNTING, MARKETING, RECRUITING, ADVISOR RELATIONS, AND BACK OFFICE FUNCTIONS."
1996767,"NEARY, JOSEPH, DANIEL","",2993505,10/01/2014,,"200 N SEPULVEDA BLVD","SUITE 1200","EL SEGUNDO","CA","United States","90245","N","MR. NEARY IS THE CHIEF RISK OFFICER OF THE CETERA FINANCIAL GROUP NETWORK OF BROKER DEALERS/RIAS AND HAS THE POWER, DIRECTLY OR INDIRECTLY, TO DIRECT THE MANAGEMENT OR POLICIES OF THE FIRM."
1998837,"SCHWARZMAN, STEPHEN, ALLEN","",861435,08/01/2013,,"345 PARK AVENUE","","NEW YORK","NY","United States","10154","N","STEPHEN A. SCHWARZMAN INDIRECTLY CONTROLS (AS DEFINED IN FORM ADV) THE REGISTRANT IN HIS ROLE AS CHAIRMAN AND CHIEF EXECUTIVE OFFICER OF BLACKSTONE INC., THE REGISTRANT'S INDIRECT PARENT."
1998837,"GRAY, JONATHAN, DAVID","",2289544,03/01/2018,,"345 PARK AVENUE","","NEW YORK","NY","United States","10154","N","JONATHAN D. GRAY INDIRECTLY CONTROLS (AS DEFINED IN FORM ADV) THE REGISTRANT IN HIS ROLE AS PRESIDENT AND CHIEF OPERATING OFFICER OF BLACKSTONE INC., THE REGISTRANT'S INDIRECT PARENT."
1995092,"BURNHAM, CHRISTOPHER, NEAL","",5164028,09/29/2023,,"4350 LASSITER AT NORTH HILLS AV","SUITE 340","RALEIGH","NC","United States","27609","N","MORE THAN A 50% OWNER AND EXECUTIVE OFFICER"
1995092,"DAIGLE, ADAM, SUMNER","",6088021,09/29/2023,,"4350 LASSITER AT NORTH HILLS AV","SUITE 340","RALEIGH","NC","United States","27609","N","MORE THAN A 25% OWNER AND EXECUTIVE OFFICER"
