"FilingID","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","Telephone Number","Facsimile Number","Branch Number","Employees","BD","Bank","Insurance","Commodity","Municipal","Accounting","Law","Other"
1989160,"","","","","","","Y","402-216-9066","",,1,"N","N","N","N","N","N","N",""
1989160,"","","","","","","Y","248-670-1485","",,1,"N","N","N","N","N","N","N",""
1995469,"RUA FUNCHAL","418","SAO PAULO","","Brazil","04551060","N","551153442525","",,36,"N","N","N","N","N","N","N",""
1995951,"","","","","","","Y","7576392441","",,1,"N","N","N","Y","N","N","N",""
1997335,"867 BOYLSTON STREET","5TH FLOOR","BOSTON","MA","United States","02116","N","(628) 216-5529","",,1,"N","N","N","N","N","N","N",""
1983709,"50 RAFFLES PLACE","#30-18 SINGAPORE LAND TOWER","SINGAPORE","","Singapore","048623","N","65-6632-3688","",,0,"N","N","N","N","N","N","N",""
1993469,"","","","","","","Y","+44 2079079254","",,1,"N","N","N","N","N","N","N","PROVIDES CRYDER CAPITAL PARTNERS LLP WITH SUPPORT SERVICES SUCH AS OPERATIONS, ADMIN, COMPLIANCE, INVESTOR RELATIONS AND CLIENT SERVICES."
1993469,"","","","","","","Y","+44 2079079250","",,1,"N","N","N","N","N","N","N","PROVIDES CRYDER CAPITAL PARTNERS LLP WITH INVESTMENT RELATED SUPPORT SERVICES SUCH AS RESEARCH, MONITORING THE PORTFOLIO, INVESTMENT RECOMMENDATIONS AND INVESTOR RELATIONS/MARKETING."
1989808,"UNIT 6508, 65/F, BUILDING A, KINGKEY TIMEMARK","NO. 9289, BINHE AVENUE, FUTIAN DISTRICT","SHENZHEN","","China","","N","85234683282","",,6,"N","N","N","N","N","N","N",""
1987737,"MERIDIEN HOUSE","OFFICE 405 42 UPPER BERKELEY STREET","LONDON","","United Kingdom","W1H 5QL","N","+44 7810 80790","",,0,"N","N","N","N","N","N","N",""
1997777,"67 MASON STREET","SECOND FLOOR","GREENWICH","CT","United States","06830","N","2036024235","",,5,"N","N","N","N","N","N","N",""
1994992,"DOREY COURT","ELIZABETH AVENUE","ST PETER PORT","","Guernsey","GY1 2HT","N","00441481733900","",,3,"N","N","N","N","N","N","N","BRANCH OFFICE FROM WHICH WE PROVIDE INVESTMENT ADVISORY SERVICES ONLY TO NON US CLIENTS"
1994992,"55 ATHOL STREET","","DOUGLAS","","Isle of Man","IM1 1LA","N","+441624 690100","",,1,"N","N","N","N","N","N","N","BRANCH OFFICE FROM WHICH WE PROVIDE INVESTMENT ADVISORY SERVICES ONLY TO NON US CLIENTS"
1997777,"60 EAST 42ND STREET","11TH FLOOR","NEW YORK","NY","United States","10025","N","212-488-5509","",,5,"Y","N","N","N","N","N","N",""
1999780,"4299 SAN FELIPE ST. SUITE 320","","HOUSTON","TX","United States","77027","N","203-905-9236","",,1,"N","N","N","N","N","N","N",""
1997700,"SENDLINGER STRAßE 4","80331","MUNICH","","Germany","","N","+4916097826301","",,8,"N","N","N","N","N","N","N",""
1997700,"NORRMALMSTORG 14","","STOCKHOLM","","Sweden","111 46","N","46 8 459 6660","",,5,"N","N","N","N","N","N","N",""
1997700,"SUITE 2028, HKRI TAIKOO HUI CENTER I","288 SHI MEN YI ROAD","SHANGHAI","","China","200041","N","+8613701959858","",,2,"N","N","N","N","N","N","N",""
1997700,"CALLE ALCALA 54","","MADRID","","Spain","28014","N","+34 910800881","",,1,"N","N","N","N","N","N","N",""
1997700,"1 KIM SENG PROMENADE, LEVEL 18","GREAT WORLD CITY WEST OFFICE TOWER","SINGAPORE","","Singapore","237994","N","+65 6964 0692","",,3,"N","N","N","N","N","N","N",""
1997700,"78 SW 7TH STREET","","MIAMI","FL","United States","33130-3402","N","+1786-479-5134","",,6,"N","N","N","N","N","N","N",""
1997588,"125 HIGH STREET","SUITE 220","BOSTON","MA","United States","02110","N","203-355-3904","",,2,"N","N","N","N","N","N","N",""
1996132,"586 GRISCOM RD.","","BUCK HILL FALLS","PA","United States","18323","N","917-399-4979","",,0,"N","N","N","N","N","N","N",""
1993452,"CENTROPOLIS, 26 ULJEONGGUK-RO, JONGNO-GU","18TH FLOOR, UNIT A","SEOUL","","Korea, South","03161","N","82 2 3705 8500","",,1,"N","N","N","N","N","N","N",""
1993452,"1 ELIZABETH STREET","","SYDNEY NSW","","Australia","2000","N","6128232 3333","",,2,"Y","N","N","N","N","N","N",""
1993452,"28 ROPEMAKER STREET, LEVEL 10","28","LONDON","","United Kingdom","EC2Y 9HD","N","44 20 3037 200","",,1,"Y","N","N","N","N","N","N",""
1997181,"PIAZZA BARBERINI, 52","","ROME","","Italy","00187","N","+390645506734","",,7,"N","N","N","N","N","N","N","INVESTMENT/PORTFOLIO MANAGEMENT ACTIVITIES, ORIGINATION, RESEARCH AND OPERATIONS, MARKETING"
1997181,"JOSÉ ABASCAL, 56","","MADRID","","Spain","28003","N","+34 91 9269233","",,3,"N","N","N","N","N","N","N","INVESTMENT/PORTFOLIO MANAGEMENT ACTIVITIES, ORIGINATION, RESEARCH AND OPERATIONS, MARKETING"
1997181,"11 MOUNT STREET UPPER","","DUBLIN","","Ireland","D02 DV52","N","+353 852894203","",,5,"N","N","N","N","N","N","N","INVESTMENT/PORTFOLIO MANAGEMENT ACTIVITIES, ORIGINATION, RESEARCH AND OPERATIONS, MARKETING"
1997332,"224 COUNTY LINE RD.","","WAYNE","PA","United States","19087","N","854-500-9780","",,2,"N","N","N","N","N","N","N","INVESTMENT ACTIVITY OF A RELATED PERSON IS ALSO CONDUCTED AT THIS OFFICE LOCATION."
1987936,"1 BARTHOLOMEW LANE","","LONDON","","United Kingdom","EC2N 2AX","N","+41 41 5470326","",,2,"N","N","N","N","N","N","N",""
1987936,"VIA DEL LAURO","1","MILAN","","Italy","","N","+39 02 8961745","",,9,"N","N","N","N","N","N","N",""
1987936,"MARSTALLSTRASSE 11","","MUNICH","","Germany","","N","+49 89 4357150","",,18,"N","N","N","N","N","N","N",""
1994389,"","","","","","","Y","203-769-2345","",,1,"N","N","N","N","N","N","N",""
1995247,"","","","","","","Y","617-574-3330","",,1,"Y","N","N","N","N","N","N",""
1996609,"LEVEL 14, 197 ST GEORGES TERRACE","","PERTH","","Australia","6000","N","61 2 9257 5000","",,2,"N","N","N","Y","N","N","N",""
